
[00:00:00.000 --> 00:00:02.920]  我們會繼續在這個季度一起思想
[00:00:02.920 --> 00:00:06.000]  聖靈喜樂,照明人生的主題
[00:00:06.000 --> 00:00:09.160]  也特別思想喜樂的源由
[00:00:09.160 --> 00:00:13.480]  我們看聖經的《路加福音》第十章第十七節的經文
[00:00:13.480 --> 00:00:17.640]  我想先提一件事情就是
[00:00:17.640 --> 00:00:21.160]  在生活上相信大家都有很多不同的體驗
[00:00:21.160 --> 00:00:23.680]  其中一件事情有時候會體驗到
[00:00:23.680 --> 00:00:25.880]  有些自己以為沒有的
[00:00:25.880 --> 00:00:27.880]  但原來其實是有的
[00:00:28.840 --> 00:00:30.960]  是什麼事情呢?我最近有一個經歷
[00:00:30.960 --> 00:00:35.160]  就是有一次跟太太早上去做運動
[00:00:35.160 --> 00:00:37.160]  去一些地方玩跑
[00:00:37.160 --> 00:00:41.200]  一邊跑的時候因為看到很猛烈的太陽
[00:00:41.200 --> 00:00:44.240]  所以我就戴了太陽眼鏡
[00:00:44.240 --> 00:00:46.640]  一邊跑一邊戴著眼鏡
[00:00:46.640 --> 00:00:49.160]  跑啊跑的時候突然間發覺
[00:00:49.160 --> 00:00:51.440]  咦?眼鏡不見了
[00:00:51.440 --> 00:00:54.760]  我就自己到處摸
[00:00:54.760 --> 00:00:57.000]  是不是放在其他地方呢?
[00:00:57.000 --> 00:00:58.160]  沒有
[00:00:58.160 --> 00:01:00.840]  我想是跑的時候掉了
[00:01:00.840 --> 00:01:03.880]  我就問旁邊的太太
[00:01:03.880 --> 00:01:06.360]  太太,看到我的太陽眼鏡嗎?
[00:01:06.360 --> 00:01:08.240]  她看著我
[00:01:08.240 --> 00:01:11.240]  「你不是戴著了嗎?」
[00:01:11.240 --> 00:01:15.360]  我說「是的,我真的在戴著」
[00:01:15.360 --> 00:01:18.760]  但自己以為是掉了
[00:01:18.760 --> 00:01:20.360]  以為自己沒有戴
[00:01:20.360 --> 00:01:24.720]  笑了一會之後有時候真的會這樣
[00:01:24.720 --> 00:01:26.440]  自己擁有一些東西
[00:01:26.440 --> 00:01:30.760]  但以為自己沒有留意或忘記了
[00:01:30.760 --> 00:01:33.600]  我回想很多時候
[00:01:33.600 --> 00:01:35.080]  主都是這樣應許我們
[00:01:35.080 --> 00:01:36.800]  祂賜給我們恩惠
[00:01:36.800 --> 00:01:38.600]  特別是主耶穌曾經說
[00:01:38.600 --> 00:01:41.240]  祂說「我將我的喜樂
[00:01:41.240 --> 00:01:43.560]  存在你們心裡」
