
[00:00:00.000 --> 00:00:04.000]  那今天講到的經文就是一段
[00:00:04.000 --> 00:00:08.000]  我相信對大家來說不太陌生的經文吧
[00:00:08.000 --> 00:00:09.000]  對吧
[00:00:09.000 --> 00:00:12.000]  因為在三卷的輔類福音書裡面
[00:00:12.000 --> 00:00:14.000]  就是馬太福音、馬可福音
[00:00:14.000 --> 00:00:17.000]  還有路加福音裡面都有記載的
[00:00:17.000 --> 00:00:21.000]  故事內容不陌生也不難懂
[00:00:21.000 --> 00:00:23.000]  一段熟悉的經文
[00:00:23.000 --> 00:00:25.000]  但當重複去看的話
[00:00:25.000 --> 00:00:27.000]  我會發現有幾個地方
[00:00:27.000 --> 00:00:30.000]  我很想跟我們的弟兄姊妹一起去分享
[00:00:30.000 --> 00:00:33.000]  那今天就跟大家一起去看看
[00:00:33.000 --> 00:00:39.000]  到底是看見還是看不見呢
[00:00:39.000 --> 00:00:43.000]  首先就想問大家一個問題
[00:00:43.000 --> 00:00:45.000]  就是請問這名
[00:00:45.000 --> 00:00:48.000]  就在這段經文裡面記載的譚子
[00:00:48.000 --> 00:00:53.000]  他是有多少個朋友帶著來到耶穌那裡的呢
[00:00:53.000 --> 00:00:56.000]  有多少位呢
[00:00:56.000 --> 00:01:01.000]  大家都好快就說四個人了
[00:01:01.000 --> 00:01:03.000]  不過當我再去看
[00:01:03.000 --> 00:01:06.000]  是不是真的是四個人的時候呢
[00:01:06.000 --> 00:01:10.000]  我就想起一個聖經裡面的記載
[00:01:10.000 --> 00:01:12.000]  就是當我們每次述說
[00:01:12.000 --> 00:01:15.000]  主耶穌基督為我們降生的時候
[00:01:15.000 --> 00:01:19.000]  我們一般都會說有多少位博士
[00:01:19.000 --> 00:01:22.000]  帶禮物來送給就是Baby Jesus
[00:01:22.000 --> 00:01:25.000]  主耶穌呢我們通常說幾位呢
[00:01:25.000 --> 00:01:27.000]  三位
[00:01:27.000 --> 00:01:33.000]  可是聖經裡面有真的提到有三位博士來送禮物嗎
[00:01:33.000 --> 00:01:35.000]  對
[00:01:35.000 --> 00:01:36.000]  很快
[00:01:36.000 --> 00:01:38.000]  只有說三份禮物喔
[00:01:38.000 --> 00:01:40.000]  沒有說是三位博士喔
[00:01:40.000 --> 00:01:42.000]  但是我們可能就會覺得
[00:01:42.000 --> 00:01:45.000]  哇送禮物給主耶穌喔
[00:01:45.000 --> 00:01:48.000]  很重要的很隆重的一個場合
[00:01:48.000 --> 00:01:51.000]  至少就是每個人要送一份吧
[00:01:51.000 --> 00:01:53.000]  不可能就幾個人湊份
[00:01:53.000 --> 00:01:55.000]  那送一份禮物那太不行了
[00:01:55.000 --> 00:01:57.000]  所以我們就覺得三份禮物
[00:01:57.000 --> 00:01:59.000]  至少就是每人一份
[00:01:59.000 --> 00:02:02.000]  所以就覺得是三位博士
[00:02:02.000 --> 00:02:05.000]  所以事實上可以是三位博士
[00:02:05.000 --> 00:02:09.000]  但也可能是少過三位也行的
[00:02:09.000 --> 00:02:11.000]  也可能是多過三位
[00:02:11.000 --> 00:02:14.000]  所以我們回到這段經文的時候
[00:02:14.000 --> 00:02:16.000]  可以就想一想
[00:02:16.000 --> 00:02:22.000]  是不是真的是四位呢
[00:02:22.000 --> 00:02:24.000]  可以是四位
[00:02:24.000 --> 00:02:26.000]  那也可能就不只四位
[00:02:26.000 --> 00:02:30.000]  再想一想有些人可能他有力氣
[00:02:30.000 --> 00:02:33.000]  可能好像Carson或者是蔥
[00:02:33.000 --> 00:02:35.000]  或者是我們志勇哥
[00:02:35.000 --> 00:02:36.000]  比較強壯的
[00:02:36.000 --> 00:02:39.000]  他們就可以出力氣去抬吧
[00:02:39.000 --> 00:02:40.000]  對不對
[00:02:40.000 --> 00:02:43.000]  但是有些人可能好像我那樣
[00:02:43.000 --> 00:02:45.000]  沒有什麼力氣啊
[00:02:45.000 --> 00:02:47.000]  那又可以怎麼樣呢
[00:02:47.000 --> 00:02:50.000]  可能也可以做一點點的事情
[00:02:50.000 --> 00:02:52.000]  就出個嘴巴吧
[00:02:52.000 --> 00:02:53.000]  對不對
[00:02:53.000 --> 00:02:55.000]  當別人在抬的時候
[00:02:55.000 --> 00:02:57.000]  我們可以做人若導航
[00:02:57.000 --> 00:03:00.000]  就說前面不遠了
