
[00:00:00.000 --> 00:00:06.140]  第二個特色的表現就是知識之外的力量
[00:00:06.140 --> 00:00:10.260]  就是我們潛意識有時出來產生的力量
[00:00:10.260 --> 00:00:20.680]  是用物理不能解釋甚至超過物理學所能解釋的範圍
[00:00:20.680 --> 00:00:24.080]  所以Power and Knowledge這兩樣東西
[00:00:24.080 --> 00:00:27.840]  是指向潛意識人的潛意識裡面
[00:00:27.840 --> 00:00:31.680]  似乎有些接觸點 而那些接觸點的來源並不是自己
[00:00:31.680 --> 00:00:35.840]  而是自己以外的超然領域
[00:00:35.840 --> 00:00:39.680]  我們講到這裡 我順便想提醒一下
[00:00:39.680 --> 00:00:44.240]  我相信大家都會留意到 或者如果你沒有留意的話
[00:00:44.240 --> 00:00:46.800]  如果你留意聖經神學或者神學裡面
[00:00:46.800 --> 00:00:49.200]  你講到聖靈的工作
[00:00:49.200 --> 00:00:54.480]  聖靈的工作其實最明顯最重要的是兩樣東西
[00:00:54.480 --> 00:00:56.960]  聖經裡面告訴你 如果你看新約聖經就是
[00:00:56.960 --> 00:00:58.400]  聖靈的工作最重要的是什麼呢?
[00:00:58.400 --> 00:01:02.880]  第一是智慧 因為他是我們的保衛師
[00:01:02.880 --> 00:01:06.480]  在約翰福音裡面 聖經裡面有幾處地方是專門講聖靈的
[00:01:06.480 --> 00:01:08.800]  是很清楚的 就是約翰福音裡面
[00:01:08.800 --> 00:01:12.000]  耶穌臨別的時候對門徒所說的那句話
[00:01:12.000 --> 00:01:15.200]  我去 然後我猜派聖靈來
[00:01:15.200 --> 00:01:18.720]  他就是你們的保衛師 他會帶領你們進入真理
[00:01:18.720 --> 00:01:20.640]  有些事情你們現在還不知道
[00:01:20.640 --> 00:01:22.480]  但是聖靈來他就會告訴你
[00:01:22.480 --> 00:01:26.640]  這是講到聖靈一個很重要的職份 工作
[00:01:26.640 --> 00:01:30.800]  action就是他的knowledge 智慧
[00:01:30.800 --> 00:01:33.680]  在你人生走的路上 走到一個地方的時候
[00:01:33.680 --> 00:01:36.000]  你不知道怎麼去 你不知道要向左還是向右
[00:01:36.000 --> 00:01:37.040]  要怎麼做的時候
[00:01:37.040 --> 00:01:41.680]  聖靈在你裡面提醒你 告訴你應該怎麼樣
[00:01:41.680 --> 00:01:43.360]  這是聖靈第一個很重要的工作
[00:01:43.360 --> 00:01:47.280]  因為聖靈能夠預知 知道萬事 看透萬事
[00:01:47.280 --> 00:01:51.520]  所以在我們心裡面對我們指引我們
[00:01:51.520 --> 00:01:56.080]  knowledge 一種超然的智慧賜給我們
