
[00:00:00.000 --> 00:00:03.800]  我們今天特別思想到聖經的十誡
[00:00:03.800 --> 00:00:07.120]  是火中出來的聲音
[00:00:07.120 --> 00:00:10.760]  在思想經文之前我想先分享一件事情
[00:00:10.760 --> 00:00:14.000]  很多年之前我曾經有機會聽到一位青年朋友
[00:00:14.000 --> 00:00:18.680]  跟我說他在兒童期的一個經歷
[00:00:18.680 --> 00:00:21.080]  他本身出身一個很基層的家庭
[00:00:21.080 --> 00:00:23.040]  家庭背景很貧窮
[00:00:23.040 --> 00:00:29.320]  至少他自己很羨慕或者很妒忌一些人擁有汽車
[00:00:29.320 --> 00:00:32.640]  很多時候當他在街上看到一些很名貴的房車
[00:00:32.640 --> 00:00:35.080]  或者一些很漂亮的跑車的時候
[00:00:35.080 --> 00:00:37.480]  他裡面就會很憤怒
[00:00:37.480 --> 00:00:41.680]  他嘗試有幾次在自己的袋子裡面拿出一塊蠔子
[00:00:41.680 --> 00:00:46.840]  走到汽車的旁邊伸手一刮
[00:00:46.840 --> 00:00:53.600]  就將汽車的車身刮花
[00:00:53.600 --> 00:00:55.960]  這件事後來他爸爸知道之後就勸告他
[00:00:55.960 --> 00:00:58.400]  你不要這樣做 人家很痛心的
[00:00:58.400 --> 00:01:01.680]  人家的汽車很漂亮 你怎麼刮花人家
[00:01:01.680 --> 00:01:03.840]  但是他的兒子沒有聽他說
[00:01:03.840 --> 00:01:05.640]  爸爸再勸告他 如果你再這樣做
[00:01:05.640 --> 00:01:07.720]  人家會抓你坐牢的
[00:01:07.720 --> 00:01:11.720]  但是父親勸告之下 兒子還是不聽
[00:01:11.720 --> 00:01:13.840]  有一次當他再做之後
[00:01:13.840 --> 00:01:17.360]  爸爸就在家裡跟他說
[00:01:17.360 --> 00:01:21.120]  然後接著看到他沒有反應
[00:01:21.120 --> 00:01:25.480]  爸爸就突然轉身去拿了他自己最心愛
[00:01:25.480 --> 00:01:29.520]  兒子最心愛的幾隻色術
[00:01:29.520 --> 00:01:33.320]  他在外面拿回來跟人家鬥色術
[00:01:33.320 --> 00:01:35.520]  然後一聲不吭
[00:01:35.520 --> 00:01:41.120]  一手指就按死了其中的色術
[00:01:41.120 --> 00:01:43.560]  一按死的時候 兒子就大聲地叫
[00:01:43.560 --> 00:01:46.240]  爸爸你幹什麼
[00:01:46.240 --> 00:01:49.680]  爸爸說 你很痛心 是不是
[00:01:49.680 --> 00:01:53.280]  你知不知道人家給你刮花的車的時候
[00:01:53.280 --> 00:01:56.240]  都是這麼痛心的
[00:01:56.240 --> 00:01:58.480]  這個兒子當時很深刻
[00:01:58.480 --> 00:02:02.640]  從此之後 他就沒有再去刮人家的車
