
[00:00:00.000 --> 00:00:02.000]  我們今天的題目
[00:00:02.000 --> 00:00:06.000]  剛才我們主席曉榮姐妹讀得很準確
[00:00:06.000 --> 00:00:09.000]  愛就是包容一切
[00:00:09.000 --> 00:00:12.000]  高一點的心理是一個問號
[00:00:12.000 --> 00:00:15.000]  不是肯定
[00:00:15.000 --> 00:00:17.000]  愛是包容
[00:00:17.000 --> 00:00:19.000]  不過究竟愛是不是包容一切呢
[00:00:19.000 --> 00:00:21.000]  今天我就選了啟示錄
[00:00:21.000 --> 00:00:25.000]  其中一封我們復活的主寫給教會的信
[00:00:25.000 --> 00:00:27.000]  寫給推也推拉教會的信
[00:00:27.000 --> 00:00:29.000]  來一起思想這個題目
[00:00:29.000 --> 00:00:31.000]  我們的時間不多
[00:00:31.000 --> 00:00:33.000]  我們只能夠很簡略
[00:00:33.000 --> 00:00:38.000]  但希望準確地了解這段說話
[00:00:38.000 --> 00:00:42.000]  這封我們的主寫給推也推拉的信
[00:00:42.000 --> 00:00:44.000]  推也推拉教會就不是很熟悉
[00:00:44.000 --> 00:00:46.000]  這七個教會裡面
[00:00:46.000 --> 00:00:47.000]  七封信裡面
[00:00:47.000 --> 00:00:50.000]  我猜以弗所、路底家這些就很熟悉
[00:00:50.000 --> 00:00:51.000]  推也推拉
[00:00:51.000 --> 00:00:54.000]  名字都說不出來
[00:00:54.000 --> 00:00:56.000]  這封信為什麼會選這封信
[00:00:56.000 --> 00:00:59.000]  因為當中有很重要的信息
[00:00:59.000 --> 00:01:00.000]  這個才是重要
[00:01:00.000 --> 00:01:01.000]  一開始的時候
[00:01:01.000 --> 00:01:02.000]  我們的主說
[00:01:02.000 --> 00:01:04.000]  祂是有一位眼睛好像火焰
[00:01:04.000 --> 00:01:08.000]  祂雙腳好像光的銅一樣
[00:01:08.000 --> 00:01:09.000]  就表示了
[00:01:09.000 --> 00:01:12.000]  我們的主的眼睛好像火焰一樣
[00:01:12.000 --> 00:01:13.000]  祂是體察一切
[00:01:13.000 --> 00:01:14.000]  祂知道一切
[00:01:14.000 --> 00:01:16.000]  難怪一開始十九節
[00:01:16.000 --> 00:01:19.000]  祂說我知道你們的行為
[00:01:19.000 --> 00:01:22.000]  也都知道你們後來要做的事
[00:01:22.000 --> 00:01:24.000]  我們的主是知道一切
[00:01:24.000 --> 00:01:25.000]  祂是體察一切
[00:01:25.000 --> 00:01:27.000]  好像火焰一樣
[00:01:27.000 --> 00:01:29.000]  祂的腳好像光的銅
[00:01:29.000 --> 00:01:30.000]  有份量
[00:01:30.000 --> 00:01:31.000]  不搖動
