
[00:00:00.000 --> 00:00:05.920]  有時候外表和實際是有很大的差異的
[00:00:05.920 --> 00:00:10.800]  我曾經說過,幾個星期前我去華基堂的港島
[00:00:10.800 --> 00:00:12.800]  發生了一個小插曲
[00:00:12.800 --> 00:00:18.400]  去華基堂,或者有外圍港元來茶灣堂也好
[00:00:18.400 --> 00:00:22.800]  我們都會送上一杯東西給他喝的
[00:00:22.800 --> 00:00:25.440]  一般來說都是水來的
[00:00:25.440 --> 00:00:27.920]  這是我自己的印象
[00:00:27.920 --> 00:00:34.000]  星期六晚上,遇上一個主席,就說要送一杯東西給我
[00:00:34.000 --> 00:00:38.000]  我就放在一邊,因為我自己有帶自己的飲品
[00:00:38.000 --> 00:00:40.000]  我就沒有理會他
[00:00:40.000 --> 00:00:44.240]  那天有些聲沙,大家也有聽過
[00:00:44.240 --> 00:00:47.920]  求恩,第二天又要在華基堂講三堂道
[00:00:47.920 --> 00:00:54.640]  到第二天,也有人送我同一個杯子
[00:00:54.640 --> 00:00:58.160]  就是一個熟悉的傳道人
[00:00:58.160 --> 00:01:02.640]  他說他很享用這個茶,很好喝的
[00:01:02.640 --> 00:01:04.640]  我問他,這是茶來的嗎?
[00:01:04.640 --> 00:01:06.640]  什麼茶來的?
[00:01:06.640 --> 00:01:12.000]  他一喝,就說,很棒,原來是類似桑寄生茶的茶
[00:01:12.000 --> 00:01:14.000]  是潤喉的茶
[00:01:14.000 --> 00:01:16.000]  我跟著就在那邊猜猜猜
[00:01:16.000 --> 00:01:20.800]  幫我渡過了三堂的港島
[00:01:20.800 --> 00:01:24.880]  我有點擔心,昨晚應該喝了桑寄生茶
[00:01:24.880 --> 00:01:29.760]  這麼好喝,居然放在一邊,沒有喝
[00:01:29.760 --> 00:01:33.600]  以為是水,但其實是茶,很好喝的茶
[00:01:33.600 --> 00:01:42.080]  今天,門徒以為耶穌所說的「敲」或「教」是怎樣發音的
[00:01:42.080 --> 00:01:44.640]  以為是在說麵包,其實不是的
[00:01:44.640 --> 00:01:46.640]  是在說人的教導
[00:01:46.640 --> 00:01:50.960]  我們看看這段經文對我們有什麼應用
[00:01:50.960 --> 00:01:55.600]  這段經文一開始,第十五節
[00:01:55.600 --> 00:02:02.160]  耶穌說你們要謹慎防備法理賽人的「敲」或希臘的「敲」
[00:02:02.160 --> 00:02:13.840]  我們知道,如果大家家裡有麵包機,要把麵粉發大,讓它發大成為麵包
[00:02:13.840 --> 00:02:17.920]  「敲」可以用得很正面的
[00:02:17.920 --> 00:02:20.400]  特別是在馬達福音第十三章
[00:02:20.400 --> 00:02:23.600]  33節,耶穌說到天國的比喻
[00:02:23.600 --> 00:02:29.760]  放一些麵「敲」進去的時候,就會把整個團發大
[00:02:29.760 --> 00:02:35.760]  是在說天國的道理,好像很有能力,很有影響力
[00:02:35.760 --> 00:02:39.760]  滲入了世界不同的地方,改變了人的生命
[00:02:39.760 --> 00:02:45.840]  意識不到的,但見不到的,但神的國就是這樣擴張
[00:02:45.840 --> 00:02:49.360]  可以用得很正面的看法
[00:02:49.360 --> 00:02:55.840]  不過,今天的經文也是在馬達福音同一段記載的經文
[00:02:55.840 --> 00:03:00.160]  是用負面的角度去看「敲」
[00:03:00.160 --> 00:03:13.760]  他會說到「敲」是一個聚的滲透性,很容易令我們墮入了一個殺人的網絡
[00:03:13.760 --> 00:03:18.640]  「敲」這個字的出現,在哥倫多前書第五章
[00:03:18.640 --> 00:03:23.360]  那時候的背景就是保羅責備哥倫多教會
[00:03:23.360 --> 00:03:27.840]  其中發生了一件事,有人跟他的繼母發生性關係
[00:03:27.840 --> 00:03:32.640]  教會不但沒有去處理,而且還在榮揚這件事發生
[00:03:32.640 --> 00:03:38.160]  甚至覺得很自豪,外邦也沒有,只有我們教會有
[00:03:38.160 --> 00:03:46.160]  保羅就說,哥倫多教會,你們裡面真的有惡毒和邪惡的「敲」在當中
[00:03:46.160 --> 00:03:52.640]  但他又說,其實我們教會本身就應該是一個無「敲」或無「教」的面
[00:03:52.640 --> 00:04:00.320]  應該是沒有這些雜質的,應該是純潔的,追求上帝所喜悅的事情
[00:04:00.320 --> 00:04:05.280]  當要把這些罪結證,除去
[00:04:05.280 --> 00:04:10.080]  所以在哥倫多前書第五章,還有今天的經文是說到
[00:04:10.080 --> 00:04:15.040]  有些事情可能你覺得很微小,不過它的影響力是很大
[00:04:15.040 --> 00:04:21.040]  甚至令我們離開了真道,讓我們要小心防範
[00:04:21.040 --> 00:04:30.320]  今天的經文,剛才上了一節,是說有希律和法利塞人的「敲」
[00:04:30.320 --> 00:04:36.080]  希律是很明顯的,希律在分封王
[00:04:36.080 --> 00:04:47.440]  應該是指向追求了地上的權力、享樂和迷戀人的榮耀
[00:04:47.440 --> 00:04:52.560]  這是很明顯的,世俗化,我們要留心
[00:04:52.560 --> 00:04:56.080]  世教很多思潮可能會影響我們
[00:04:56.080 --> 00:05:01.680]  這可能是從一個社會向度、政治向度去看
[00:05:01.680 --> 00:05:05.840]  但宗教向度去用,就是法利塞人的「敲」
[00:05:05.840 --> 00:05:09.840]  今天我就多放一些時間去探討這個議題
[00:05:09.840 --> 00:05:12.720]  法利塞人的「敲」,究竟是什麼意思呢?
[00:05:12.720 --> 00:05:15.360]  我們要小心法利塞人什麼教導呢?
[00:05:15.360 --> 00:05:19.520]  有兩段經文幫助我們,今天這一段是其中一段
[00:05:19.520 --> 00:05:23.680]  我先看另外一段經文,是加拉太書第五章的經文
[00:05:23.680 --> 00:05:28.080]  加拉太書第五章的背景是這樣
[00:05:28.080 --> 00:05:34.400]  保羅寫加拉太書,因為有別的福音進入了這間教會當中
[00:05:34.400 --> 00:05:41.520]  保羅在加拉太,其實是屬於北加拉太學派還是南加拉太學派
[00:05:41.520 --> 00:05:45.760]  不同時段有不同學者認為保羅寫了一封書信
[00:05:45.760 --> 00:05:48.720]  無論如何,簡單來說
[00:05:48.720 --> 00:05:55.280]  加拉太教會在外邦地方有些猶太人
[00:05:55.280 --> 00:05:57.280]  猶太人信了耶穌
[00:05:57.280 --> 00:06:00.720]  信了耶穌,他們覺得信耶穌也好,這是真道
[00:06:00.720 --> 00:06:05.040]  不過,因為猶太人謹守摩西五經的律法
[00:06:05.040 --> 00:06:07.760]  所以行國禮是必須的
[00:06:07.760 --> 00:06:15.120]  所以他們不單只認信耶穌是基督,守住這個道理
[00:06:15.120 --> 00:06:19.280]  並且要加上行國禮這兩件事
[00:06:19.280 --> 00:06:25.360]  神的道加上行國禮這個律法
[00:06:25.360 --> 00:06:27.680]  然後才能稱為義
[00:06:27.680 --> 00:06:31.120]  保羅說有些人的教導就是別的福音
[00:06:31.120 --> 00:06:34.320]  跟我們所宣揚的不符
[00:06:34.320 --> 00:06:38.480]  所以這裡提到加拉太書第五章
[00:06:38.480 --> 00:06:42.240]  有一點的面教能使全團都發起來
[00:06:42.240 --> 00:06:44.240]  就是這個道理
[00:06:44.240 --> 00:06:47.680]  神的福音再加上守國禮
[00:06:47.680 --> 00:06:51.840]  這件事才能讓一個人蒙神的月立
[00:06:51.840 --> 00:06:54.320]  這就是一個面教
[00:06:54.320 --> 00:06:56.800]  所以應當小心
[00:06:56.800 --> 00:07:01.840]  我們因信,稱義是存在乎於相信耶穌基督
[00:07:01.840 --> 00:07:03.360]  加拉太書二章二十節
[00:07:03.360 --> 00:07:05.920]  我已經與基督同釘十字架
[00:07:05.920 --> 00:07:10.800]  現在活著的不再是我,乃是基督在我裡面活著
[00:07:10.800 --> 00:07:13.200]  並且我如今在肉身活著
