
[00:00:00.000 --> 00:00:04.920]  耶穌平靜風浪這件事不單單記載在馬克福音
[00:00:04.920 --> 00:00:07.400]  馬太福音第八章
[00:00:07.400 --> 00:00:10.280]  路加福音第八章都是記載這件事
[00:00:10.280 --> 00:00:13.680]  不過記載的角度有少少不同
[00:00:13.680 --> 00:00:19.200]  還有所說的話互相補充
[00:00:19.200 --> 00:00:22.000]  待會我講到的時候會參考其他
[00:00:22.000 --> 00:00:24.960]  大家不需要看其他經文
[00:00:24.960 --> 00:00:28.800]  聽著我說和看著大綱就可以了
[00:00:29.800 --> 00:00:33.560]  我相信平靜風浪這件事
[00:00:33.560 --> 00:00:36.880]  如果大家是基督徒應該都很熟悉
[00:00:36.880 --> 00:00:40.040]  也是耶穌比較出名的其中一件事
[00:00:40.040 --> 00:00:44.680]  今天我們拿這件事件來說
[00:00:44.680 --> 00:00:47.200]  我們很想試一下
[00:00:47.200 --> 00:00:50.720]  將我們認為很明白的這件事件
[00:00:50.720 --> 00:00:53.880]  帶到二千年前的現場
[00:00:54.640 --> 00:00:59.040]  來看看耶穌的心路歷程是怎樣
[00:00:59.040 --> 00:01:01.720]  又看看門徒的掙扎是怎樣
[00:01:01.720 --> 00:01:03.360]  當然更重要的是
[00:01:03.360 --> 00:01:08.400]  將它看在我們有共同的或共鳴的
[00:01:08.400 --> 00:01:11.400]  掙扎和學習到的事
[00:01:11.400 --> 00:01:14.760]  所以這就是我們今天要做的功夫
[00:01:14.760 --> 00:01:16.040]  短短的幾節
[00:01:16.040 --> 00:01:17.480]  但你看下去的時候
[00:01:17.480 --> 00:01:20.440]  有很多事你會沒有留意
[00:01:20.440 --> 00:01:21.720]  其實不是這麼簡單
[00:01:21.720 --> 00:01:23.520]  不如我們一起祈禱
[00:01:23.520 --> 00:01:26.040]  我們祈求耶穌基督教我們
[00:01:26.040 --> 00:01:28.040]  這件關於祂自己的事
[00:01:28.040 --> 00:01:29.360]  我們的主耶穌基督
[00:01:29.360 --> 00:01:34.120]  我們求祢今天帶我們去到祢當日的現場
[00:01:34.120 --> 00:01:37.440]  讓我們體貼祢的心意
[00:01:37.440 --> 00:01:43.360]  亦體會門徒的掙扎和恐懼
[00:01:43.360 --> 00:01:46.880]  最後今天我們都落在這些困境
[00:01:46.880 --> 00:01:51.640]  掙扎、恐懼、煩惱和無助之中
[00:01:51.640 --> 00:01:56.440]  我們都求祢自己透過祢當日要教導門徒的功課
[00:01:56.440 --> 00:01:58.440]  同樣教導我們
[00:01:58.440 --> 00:02:03.080]  主啊 我們很需要祢自己親自開啟我們明白
[00:02:03.080 --> 00:02:04.680]  並且改變我們
[00:02:04.680 --> 00:02:06.440]  奉耶穌名祈禱
[00:02:06.440 --> 00:02:07.440]  Amen
[00:02:07.440 --> 00:02:12.800]  好 現在我們進到當日的現場
[00:02:12.800 --> 00:02:17.600]  我選了《馬可福音》第四章
[00:02:17.600 --> 00:02:19.080]  因為《馬可福音》第四章
[00:02:19.080 --> 00:02:24.480]  不單止記載了耶穌平靜風浪的事件
[00:02:24.480 --> 00:02:27.680]  還記載了平靜風浪之前
[00:02:27.680 --> 00:02:30.000]  究竟發生了什麼事
[00:02:30.000 --> 00:02:33.920]  如果大家從《馬可福音》第四章
[00:02:33.920 --> 00:02:35.600]  第一節開始
[00:02:35.600 --> 00:02:36.960]  看下去的時候
[00:02:36.960 --> 00:02:38.280]  原來我們發覺
[00:02:38.280 --> 00:02:42.000]  那天差不多是耶穌講道日
[00:02:42.000 --> 00:02:44.480]  講完道之後
[00:02:44.480 --> 00:02:47.160]  可以說是黃昏左右
[00:02:47.160 --> 00:02:52.760]  才去過加利利海
[00:02:52.760 --> 00:02:54.240]  有什麼特別呢?
[00:02:54.240 --> 00:02:56.520]  一會兒講下去你就會留意
[00:02:56.520 --> 00:02:59.960]  我用第一個分題想和大家講
[00:02:59.960 --> 00:03:02.560]  當然耶穌有耶穌門徒有門徒
[00:03:02.560 --> 00:03:04.360]  當時他們的生活
[00:03:04.360 --> 00:03:06.200]  和他們所面對的問題
[00:03:06.200 --> 00:03:09.200]  但今天你和我人生都有面對這些問題
[00:03:09.200 --> 00:03:10.520]  首先我們看看
[00:03:10.520 --> 00:03:14.360]  其實平靜風浪這件事發生之前
[00:03:14.360 --> 00:03:15.760]  都有些問題
[00:03:15.760 --> 00:03:17.000]  什麼問題呢?
[00:03:17.000 --> 00:03:19.000]  就是耶穌開始講道就已經有問題
[00:03:19.000 --> 00:03:20.680]  可以看到
[00:03:20.680 --> 00:03:23.360]  我引用了第四章第一節和第二節
[00:03:23.360 --> 00:03:24.440]  那裡說
[00:03:24.440 --> 00:03:27.520]  耶穌又在海邊教導人
[00:03:27.520 --> 00:03:30.680]  有一大群人聚集在灘下裡
[00:03:30.680 --> 00:03:35.160]  因此他就要上船坐下來講
[00:03:35.160 --> 00:03:37.040]  船在海中
[00:03:37.040 --> 00:03:40.960]  群眾都朝著水站在岸上
[00:03:40.960 --> 00:03:45.200]  他就用比喻教訓他們很多事
[00:03:45.200 --> 00:03:47.840]  這件事我們發覺
[00:03:47.840 --> 00:03:51.040]  如果我們可以進入當天的現場
[00:03:51.040 --> 00:03:53.200]  我們可以想像當天其實
[00:03:53.200 --> 00:03:54.720]  開始耶穌講道
[00:03:54.720 --> 00:03:56.200]  正如很普通的每天
[00:03:56.200 --> 00:03:57.520]  有時可能那天就是
[00:03:57.520 --> 00:04:00.200]  很多群眾甚至有很大群的人
