
[00:00:00.000 --> 00:00:04.000]  差不多到了耶穌被釘十字架的前一幕
[00:00:04.000 --> 00:00:08.000]  在公會上耶穌被審判
[00:00:08.000 --> 00:00:12.000]  被斷定要上十字架
[00:00:12.000 --> 00:00:16.000]  當時耶穌本來在公會上受審
[00:00:16.000 --> 00:00:20.000]  當時的罪名是「你是否神的兒子」
[00:00:20.000 --> 00:00:24.000]  基督耶穌當下馬上承認「我是上帝的兒子」
[00:00:24.000 --> 00:00:27.000]  如果大家還記得這些是宣稱
[00:00:27.000 --> 00:00:32.000]  他們已經知道自己與上帝的身份有同等身份的地位
[00:00:32.000 --> 00:00:36.000]  所以一班宗教領袖就說
[00:00:36.000 --> 00:00:41.000]  耶穌已經做了一個褻瀆上帝的罪
[00:00:41.000 --> 00:00:46.000]  還用說什麼理由去釘耶穌的罪呢?
[00:00:46.000 --> 00:00:51.000]  所以在這一刻他們已經定義要將耶穌致死
[00:00:51.000 --> 00:00:54.000]  但是他們沒有權去這樣做
[00:00:54.000 --> 00:01:02.000]  所以他們就將耶穌交給當時的政府部門去審訊
[00:01:02.000 --> 00:01:08.000]  唯有在政府部門裡面才能夠將耶穌致之死地
[00:01:08.000 --> 00:01:14.000]  所以當時的宗教領袖就將耶穌交給彼拉多
[00:01:14.000 --> 00:01:17.000]  而罪名是什麼呢?
[00:01:17.000 --> 00:01:23.000]  罪名不是說耶穌在猶太教裡去褻瀆上帝的命
[00:01:23.000 --> 00:01:25.000]  所以交給你不是
[00:01:25.000 --> 00:01:30.000]  他們的焦點就放在耶穌說他是猶太人的王
[00:01:30.000 --> 00:01:33.000]  他是來作王
[00:01:33.000 --> 00:01:36.000]  在這個罪名裡面交給彼拉多
[00:01:36.000 --> 00:01:40.000]  當然這個罪名就不是一個宗教上的罪名
[00:01:40.000 --> 00:01:44.000]  這是一個極端嚴重的政治罪名
[00:01:44.000 --> 00:01:46.000]  因為這是一個叛國罪
[00:01:46.000 --> 00:01:48.000]  就是你要作猶太人的王
[00:01:48.000 --> 00:01:51.000]  也就是說猶太國要獨立
[00:01:51.000 --> 00:01:56.000]  所以這個在當時的羅馬帝國來說是一個叛國的罪名
[00:01:56.000 --> 00:02:03.000]  彼拉多在主侯大約26年就被當時的羅馬皇帝凱撒委任
[00:02:03.000 --> 00:02:06.000]  成為這個地方的一個巡撫
[00:02:06.000 --> 00:02:07.000]  一個最高的
[00:02:07.000 --> 00:02:10.000]  這個地方差不多最高的一個指揮官
[00:02:10.000 --> 00:02:12.000]  他的權力是很大的
[00:02:12.000 --> 00:02:17.000]  他可以在他的領土的範圍裡面
[00:02:17.000 --> 00:02:20.000]  去斷定一個人的死罪
[00:02:20.000 --> 00:02:25.000]  有人形容歷史的一些記載
[00:02:25.000 --> 00:02:29.000]  彼拉多其實都是一個相當尊橫的統治者
[00:02:29.000 --> 00:02:33.000]  他曾經盜用了聖殿裡面的錢
[00:02:33.000 --> 00:02:37.000]  去做一些社會上的公益的事
[00:02:37.000 --> 00:02:43.000]  在當時耶路撒冷的人就很不喜歡他這麼做
[00:02:43.000 --> 00:02:46.000]  因為聖殿的錢不可以這樣做
[00:02:46.000 --> 00:02:47.000]  在這個宗教上面
[00:02:47.000 --> 00:02:51.000]  而且當耶路撒冷的居民有些騷亂的時候
[00:02:51.000 --> 00:02:54.000]  他就派兵去殺了不少的猶太人
[00:02:54.000 --> 00:02:59.000]  所以猶太人對彼拉多其實沒什麼好感
[00:02:59.000 --> 00:03:02.000]  彼拉多也對猶太人基本上也沒什麼好感
[00:03:02.000 --> 00:03:07.000]  接著在第二這裡經文下去的時候
[00:03:07.000 --> 00:03:11.000]  第三至第十節就講到猶大那個結局
[00:03:11.000 --> 00:03:17.000]  在這裡當耶穌被定罪之後
[00:03:17.000 --> 00:03:21.000]  在公會上猶大就懊悔
[00:03:21.000 --> 00:03:24.000]  在這裡猶大懊悔的事
[00:03:24.000 --> 00:03:28.000]  其實聖馬太坊的作者他不是想強調
[00:03:28.000 --> 00:03:32.000]  究竟猶大有沒有去真正悔改
[00:03:32.000 --> 00:03:34.000]  心是怎樣
[00:03:34.000 --> 00:03:38.000]  馬太坊的作者是強調
[00:03:38.000 --> 00:03:45.000]  猶大這個死其實是應驗了舊約宣之裡面的寓言
[00:03:45.000 --> 00:03:50.000]  在這裡猶大說當耶穌被定罪了
[00:03:50.000 --> 00:03:51.000]  他就懊悔
[00:03:51.000 --> 00:03:53.000]  為什麼會懊悔呢
[00:03:53.000 --> 00:03:56.000]  其實如果大家還記得我上次去講的時候
[00:03:56.000 --> 00:04:01.000]  說猶大其實極可能他是一個叫憤慮黨的一個人
[00:04:01.000 --> 00:04:05.000]  就是很想藉著武力武裝革命
[00:04:05.000 --> 00:04:10.000]  去讓自己的猶大國重新建立起來
[00:04:10.000 --> 00:04:12.000]  當他跟著耶穌一段時間之後
