
[00:00:00.000 --> 00:00:04.720]  我們來到啟示錄七教會的第五間教會
[00:00:04.720 --> 00:00:06.320]  推也推拉教會
[00:00:06.320 --> 00:00:10.000]  我們大家一起看回聖經的第二章的經文
[00:00:10.000 --> 00:00:18.400]  當我們思想到聖經對我們的提醒
[00:00:18.400 --> 00:00:21.680]  就是如何能夠誠實地行道
[00:00:21.680 --> 00:00:25.200]  我就想起以前自己聽過的一件事情
[00:00:25.200 --> 00:00:27.000]  在一間教會
[00:00:27.000 --> 00:00:29.440]  當我們要買一個物業的時候
[00:00:29.440 --> 00:00:31.320]  他們一直尋索
[00:00:31.320 --> 00:00:34.960]  最終想好要買一個地方
[00:00:34.960 --> 00:00:38.520]  在過程當中他們發現一間物業
[00:00:38.520 --> 00:00:41.440]  有一部分的面積是僭建的
[00:00:41.440 --> 00:00:43.800]  因此他們就和業主商量
[00:00:43.800 --> 00:00:46.480]  這部分不應該計算在尺格上
[00:00:46.480 --> 00:00:48.880]  業主同意他們的想法
[00:00:48.880 --> 00:00:51.520]  因此那部分便可以撇除出來
[00:00:51.520 --> 00:00:53.880]  當他們買了物業之後
[00:00:53.880 --> 00:00:55.240]  他們有很多裝修
[00:00:55.240 --> 00:00:57.880]  後來就搬進去用這個地方
[00:00:58.360 --> 00:01:03.120]  但是教會沒有把這部分的僭建物業拆除
[00:01:03.120 --> 00:01:05.360]  然後用來做一些用途
[00:01:05.360 --> 00:01:07.520]  當弟兄姊妹進去之後
[00:01:07.520 --> 00:01:08.120]  有人就問
[00:01:08.120 --> 00:01:10.360]  為什麼這部分地方好像是僭建的
[00:01:10.360 --> 00:01:12.000]  為什麼沒有拆除呢?
[00:01:12.000 --> 00:01:14.680]  在那個時候弟兄姊妹竟然說
[00:01:14.680 --> 00:01:16.000]  他說不要緊
[00:01:16.000 --> 00:01:18.240]  現在是神勇的地方
[00:01:18.240 --> 00:01:19.880]  已經結正了
[00:01:19.880 --> 00:01:24.280]  是不是真的不要緊呢?
