
[00:00:00.000 --> 00:00:02.400]  大家會知道在今個季度
[00:00:02.400 --> 00:00:04.400]  教會開始一個新的季題
[00:00:04.400 --> 00:00:07.200]  在崇拜裏面我們會談到關於一個主題
[00:00:07.200 --> 00:00:09.700]  就是基督愛教會
[00:00:09.700 --> 00:00:13.900]  我們會一起探討究竟教會是甚麼來的
[00:00:13.900 --> 00:00:16.400]  教會的使命是甚麼
[00:00:16.400 --> 00:00:20.600]  神對我們教會的心意是甚麼
[00:00:20.600 --> 00:00:23.200]  教會一直來到成長
[00:00:23.200 --> 00:00:24.900]  它將來的前途會是怎樣
[00:00:24.900 --> 00:00:27.100]  在運行當中它的發展
[00:00:27.100 --> 00:00:29.100]  它的終局會是怎樣
[00:00:30.000 --> 00:00:33.000]  這個絕對不是一些很離身的事情
[00:00:33.000 --> 00:00:36.000]  是和你和我有直接關係的事情
[00:00:36.000 --> 00:00:39.000]  所以我們今個月和下兩個月
[00:00:39.000 --> 00:00:42.700]  會小心一路去思想聖經裏面關於教會的真理
[00:00:42.700 --> 00:00:44.200]  我們大家一起來探討
[00:00:44.200 --> 00:00:46.400]  今天大家一起思想一個課題
[00:00:46.400 --> 00:00:48.800]  就請講到一個極大的奧秘
[00:00:48.800 --> 00:00:52.000]  就在《已忽所書》我們剛才讀過經文裏面
[00:00:52.000 --> 00:00:53.000]  大家一起看
[00:00:53.000 --> 00:00:58.000]  《已忽所書》第五章
[00:00:58.900 --> 00:01:01.900]  第二十二到三十三節
[00:01:01.900 --> 00:01:06.900]  大家不要誤會我們今天不會講關於婚禮、婚姻的事情
[00:01:06.900 --> 00:01:12.900]  但是你看見聖經是在講夫妻關係的背景下
[00:01:12.900 --> 00:01:15.900]  來講到教會和基督的關係
[00:01:15.900 --> 00:01:20.900]  本來以夫妻的關係來比喻基督和教會的關係
[00:01:20.900 --> 00:01:24.900]  而我們今天會集中講基督和教會的關係
[00:01:24.900 --> 00:01:28.900]  我們首先看第五章三十二節
[00:01:28.900 --> 00:01:33.900]  聖經說:這是極大的奧秘
[00:01:33.900 --> 00:01:37.900]  但我是指著基督和教會說的
[00:01:37.900 --> 00:01:40.900]  聖經提到一個很大的奧秘
[00:01:40.900 --> 00:01:46.900]  是人不能夠憑自己的理智、理性去完全了解
[00:01:46.900 --> 00:01:52.900]  這個奧秘就是耶穌基督和教會成為一體
[00:01:53.900 --> 00:01:56.900]  當然聖經絕對不是在講建築物
[00:01:56.900 --> 00:02:00.900]  教會是在講被主所拯救的一群
[00:02:00.900 --> 00:02:02.900]  但是你再想深一層
[00:02:02.900 --> 00:02:05.900]  你發覺好像不是很可能的事情
[00:02:05.900 --> 00:02:11.900]  怎麼可能一位創造主和我們這些被造者
