
[00:00:00.000 --> 00:00:05.420]  我們今天先上一段我們熟悉的主耶穌的一個比喻
[00:00:05.420 --> 00:00:07.060]  《楊圈》的比喻
[00:00:07.060 --> 00:00:08.760]  《楊福音》第十章的經文
[00:00:08.760 --> 00:00:10.760]  我們剛才所讀的經文
[00:00:10.760 --> 00:00:14.060]  在翻譯經文之前我想說一件事情
[00:00:14.060 --> 00:00:17.060]  就是周日剛剛星期三晚上
[00:00:17.060 --> 00:00:19.060]  我當晚比較有空間
[00:00:19.060 --> 00:00:21.560]  我就比較小心看報紙
[00:00:21.560 --> 00:00:26.560]  當晚看完報紙之後有一個很沉重的感覺
[00:00:26.560 --> 00:00:28.560]  久不久也會有這樣的感受
[00:00:29.560 --> 00:00:33.560]  幾件事情突然間都同時在報紙報道
[00:00:33.560 --> 00:00:37.560]  是什麼事呢?第一件事大家可能都會懷疑到
[00:00:37.560 --> 00:00:40.560]  就是在北美有一個家庭有十三個子女
[00:00:40.560 --> 00:00:42.560]  大家知道這件事
[00:00:42.560 --> 00:00:45.560]  但看著看著覺得很奇怪
[00:00:45.560 --> 00:00:49.560]  為什麼十三個子女會被人禁錮在家裡
[00:00:49.560 --> 00:00:52.560]  父母不讓他們出街
[00:00:52.560 --> 00:00:55.560]  甚至有部分子女用鐵鏈鎖在床邊
[00:00:55.560 --> 00:00:58.560]  而且不讓他們吃
[00:00:59.560 --> 00:01:01.560]  應該說一天吃一餐
[00:01:01.560 --> 00:01:04.560]  一年洗一次澡
[00:01:04.560 --> 00:01:07.560]  一邊看的時候就想
[00:01:07.560 --> 00:01:09.560]  為什麼會有這樣的事情
[00:01:09.560 --> 00:01:11.560]  為什麼人作為父母
[00:01:11.560 --> 00:01:13.560]  這樣對待自己的子女
[00:01:13.560 --> 00:01:16.560]  再看的時候可能是北美多一些這樣的情況
[00:01:16.560 --> 00:01:18.560]  再看香港一件事情
[00:01:18.560 --> 00:01:20.560]  香港有一個家庭
[00:01:20.560 --> 00:01:25.560]  有一個剛剛出生半個月的小朋友BB
[00:01:25.560 --> 00:01:27.560]  他一直在哭
[00:01:27.560 --> 00:01:29.560]  爸爸忍受不了
[00:01:29.560 --> 00:01:34.560]  很難明白有人會期望BB不哭
[00:01:34.560 --> 00:01:37.560]  但當他看到BB哭的時候
[00:01:37.560 --> 00:01:40.560]  忍受不了就用力掌摑BB
[00:01:40.560 --> 00:01:43.560]  這幾個BB在搖擋他
[00:01:43.560 --> 00:01:47.560]  後來被人發現之後BB送去醫院
[00:01:47.560 --> 00:01:49.560]  現在變成植物人
[00:01:49.560 --> 00:01:52.560]  完全不能有任何的活動
[00:01:53.560 --> 00:01:56.560]  有時候看為什麼會作為父母
[00:01:56.560 --> 00:01:59.560]  應該很愛惜自己所生的小朋友
[00:01:59.560 --> 00:02:01.560]  但竟然會這樣反應
[00:02:01.560 --> 00:02:03.560]  再看一段新聞
[00:02:03.560 --> 00:02:04.560]  在中國內地一件事情
[00:02:04.560 --> 00:02:06.560]  我看完之後想了一輪
[00:02:06.560 --> 00:02:08.560]  一個當地的
[00:02:08.560 --> 00:02:10.560]  在江蘇省一個藥廠
[00:02:10.560 --> 00:02:12.560]  藥廠買了一部車
[00:02:12.560 --> 00:02:14.560]  不是普通的車
[00:02:14.560 --> 00:02:16.560]  是洗衣機的車
[00:02:16.560 --> 00:02:19.560]  很奇怪為什麼藥廠要買一部洗衣機車
[00:02:19.560 --> 00:02:22.560]  難道想做公益的事情嗎
[00:02:23.560 --> 00:02:28.560]  但他們竟然將藥廠排出化學廢水
[00:02:28.560 --> 00:02:30.560]  黃色的廢水
[00:02:30.560 --> 00:02:32.560]  駐滿洗衣機車
[00:02:32.560 --> 00:02:36.560]  然後晚上出去靜靜地放水
[00:02:36.560 --> 00:02:39.560]  人們以為他在洗衣
[00:02:39.560 --> 00:02:41.560]  但他在放水
[00:02:41.560 --> 00:02:42.560]  很多人都不察覺
[00:02:42.560 --> 00:02:44.560]  幾個月之後發現
[00:02:44.560 --> 00:02:48.560]  原來他已經放了5000噸的廢水
[00:02:48.560 --> 00:02:52.560]  整個地區已經被他污染得非常嚴重
[00:02:52.560 --> 00:02:55.560]  我一路看的時候
[00:02:55.560 --> 00:02:58.560]  為什麼有人真的可以不理人生死
[00:02:58.560 --> 00:03:01.560]  只是顧全自己的利益
[00:03:01.560 --> 00:03:03.560]  解決自己的問題
[00:03:03.560 --> 00:03:07.560]  一路看的時候是一種沉重的感覺
[00:03:07.560 --> 00:03:09.560]  但再次體會到
[00:03:09.560 --> 00:03:13.560]  這個世界需要服人
[00:03:13.560 --> 00:03:16.560]  有太多很多敗壞的事情
[00:03:16.560 --> 00:03:18.560]  傷害人的事情
[00:03:18.560 --> 00:03:20.560]  如果不是有福音
[00:03:20.560 --> 00:03:22.560]  沒有出路
[00:03:22.560 --> 00:03:25.560]  但亦給自己一個提醒
[00:03:25.560 --> 00:03:26.560]  就是沒錯
[00:03:26.560 --> 00:03:28.560]  雖然看到很多這些事情
[00:03:28.560 --> 00:03:30.560]  這個世界仍然有盼望
[00:03:30.560 --> 00:03:32.560]  因為有一位上帝
[00:03:32.560 --> 00:03:35.560]  他愛世間上的人
[00:03:35.560 --> 00:03:37.560]  包括剛才說的父母
[00:03:37.560 --> 00:03:39.560]  那些商人
[00:03:39.560 --> 00:03:42.560]  神的愛仍然在他們身上
[00:03:42.560 --> 00:03:43.560]  可以改變他們
[00:03:43.560 --> 00:03:46.560]  可以讓他們再次得著生命
[00:03:46.560 --> 00:03:49.560]  弟兄姊妹
[00:03:49.560 --> 00:03:52.560]  當我們今天來思想到廣傳福音的時候
[00:03:52.560 --> 00:03:54.560]  不是一些口號
[00:03:54.560 --> 00:03:57.560]  而是一種生命之道
[00:03:57.560 --> 00:04:01.560]  是真是上帝他愛人的訊息
[00:04:01.560 --> 00:04:03.560]  要傳出去
[00:04:03.560 --> 00:04:06.560]  以致生命能夠改變
[00:04:06.560 --> 00:04:08.560]  可以釋放你和我
[00:04:08.560 --> 00:04:10.560]  能夠真的見到
[00:04:11.560 --> 00:04:14.560]  有更多的人能夠得到
[00:04:14.560 --> 00:04:17.560]  釋放回到主的陽圈裡
[00:04:17.560 --> 00:04:20.560]  陽圈的比喻大家都認識
[00:04:20.560 --> 00:04:23.560]  但今天我們試著再想想
[00:04:23.560 --> 00:04:25.560]  主為什麼會透過這個比喻
[00:04:25.560 --> 00:04:28.560]  勉勵我們去留意
[00:04:28.560 --> 00:04:30.560]  去體貼他愛人的心
[00:04:30.560 --> 00:04:32.560]  在剛才大家讀過的
[00:04:32.560 --> 00:04:33.560]  聖經陽福音第十章
[00:04:33.560 --> 00:04:35.560]  我們再回到聖經
[00:04:35.560 --> 00:04:37.560]  在第十章開始
[00:04:37.560 --> 00:04:40.560]  主耶穌說出那個陽圈的比喻
[00:04:40.560 --> 00:04:42.560]  然後來到第七節的時候
[00:04:42.560 --> 00:04:44.560]  主耶穌就進一步解釋
[00:04:44.560 --> 00:04:47.560]  這個比方的意思是什麼
[00:04:47.560 --> 00:04:49.560]  在第七節主耶穌就說
[00:04:49.560 --> 00:04:52.560]  我實際在在告訴你們
[00:04:52.560 --> 00:04:54.560]  我就是陽的門
[00:04:54.560 --> 00:04:56.560]  然後第九節
[00:04:56.560 --> 00:04:58.560]  我就是門
[00:04:58.560 --> 00:05:00.560]  如果有人直著我進來
[00:05:00.560 --> 00:05:02.560]  就必定得救
[00:05:02.560 --> 00:05:04.560]  並且可以出可以入
[00:05:04.560 --> 00:05:06.560]  表示著那種生命的自由
[00:05:07.560 --> 00:05:09.560]  也可以找到草場
[00:05:09.560 --> 00:05:12.560]  神給人生命的供應
[00:05:12.560 --> 00:05:14.560]  聖經提到一件事情
[00:05:14.560 --> 00:05:17.560]  就是當時有很多的牧羊人
[00:05:17.560 --> 00:05:19.560]  他們都有一個經驗
[00:05:19.560 --> 00:05:22.560]  就是他們每天放完羊之後
[00:05:22.560 --> 00:05:24.560]  將羊帶到羊圈
[00:05:24.560 --> 00:05:27.560]  而且可能很多的牧羊人
[00:05:27.560 --> 00:05:29.560]  不同的羊群去到同一個羊圈
[00:05:29.560 --> 00:05:31.560]  但到早上的時候
[00:05:31.560 --> 00:05:32.560]  牧羊人來到
[00:05:32.560 --> 00:05:34.560]  開門的知道是誰
[00:05:34.560 --> 00:05:35.560]  認得他們
[00:05:35.560 --> 00:05:36.560]  讓他們進去
[00:05:36.560 --> 00:05:38.560]  然後接著牧羊人
[00:05:38.560 --> 00:05:40.560]  就會認得哪些是他的羊
[00:05:40.560 --> 00:05:43.560]  而且羊也會認得這把聲音
[00:05:43.560 --> 00:05:45.560]  是他的主人
