
[00:00:00.000 --> 00:00:01.200]  我們講風水
[00:00:01.200 --> 00:00:06.500]  現在我們看由地而影響的吉凶
[00:00:06.500 --> 00:00:10.000]  就是中國我們早出名的風水
[00:00:10.000 --> 00:00:15.000]  風水如果比較在紫微斗數來說
[00:00:15.000 --> 00:00:18.500]  絕不遜色在今日的我們香港的社會裏面
[00:00:18.500 --> 00:00:22.000]  由賣菜的阿嬸
[00:00:22.000 --> 00:00:26.000]  到百萬富翁投資中國地王
[00:00:26.000 --> 00:00:28.000]  都信風水
[00:00:28.000 --> 00:00:30.000]  而且信得很認真
[00:00:30.000 --> 00:00:32.000]  不是拿來玩的
[00:00:32.000 --> 00:00:34.000]  洞瓷一百幾十萬投資
[00:00:34.000 --> 00:00:36.000]  就是因為風水
[00:00:36.000 --> 00:00:40.000]  由沒有讀過書的阿公
[00:00:40.000 --> 00:00:44.000]  到港大的高級講師
[00:00:44.000 --> 00:00:48.000]  建築系的都信風水
[00:00:48.000 --> 00:00:50.000]  那你就服了
[00:00:50.000 --> 00:00:54.000]  那究竟風水是怎樣的呢
[00:00:54.000 --> 00:00:58.000]  我試一試跟大家講
[00:00:58.000 --> 00:01:00.000]  首先最簡單
[00:01:00.000 --> 00:01:02.000]  也是人都知道的
[00:01:02.000 --> 00:01:04.000]  如果你真的不知道
[00:01:04.000 --> 00:01:06.000]  那我沒意義說你不是人
[00:01:06.000 --> 00:01:08.000]  就是應該知道
[00:01:08.000 --> 00:01:10.000]  風水有兩種
[00:01:10.000 --> 00:01:12.000]  陰風水和陽風水
[00:01:12.000 --> 00:01:14.000]  你都知道吧
[00:01:14.000 --> 00:01:16.000]  陰風水就是說
[00:01:16.000 --> 00:01:20.000]  墳墓的山墳撞的地方
[00:01:20.000 --> 00:01:22.000]  的學問
[00:01:22.000 --> 00:01:24.000]  陽風水呢
[00:01:24.000 --> 00:01:30.000]  就是說你現在住的房子的學問
[00:01:30.000 --> 00:01:32.000]  兩句講完了
[00:01:32.000 --> 00:01:36.000]  風水的派系可能不是太多人知道
[00:01:36.000 --> 00:01:38.000]  風水的派系
[00:01:38.000 --> 00:01:42.000]  特別是由陰風水開始發展出來的
[00:01:42.000 --> 00:01:44.000]  風水的歷史我不講了
[00:01:44.000 --> 00:01:46.000]  可以追溯到很久的
[00:01:46.000 --> 00:01:48.000]  可以追溯到周朝
[00:01:48.000 --> 00:01:50.000]  安藏那些
[00:01:50.000 --> 00:01:54.000]  對我們現在的實際情況無關
[00:01:54.000 --> 00:01:57.000]  陰風水發展出來的呢
[00:01:57.000 --> 00:02:00.000]  通常我們叫做一種叫做聯體派
[00:02:00.000 --> 00:02:02.000]  山聯的聯
[00:02:02.000 --> 00:02:04.000]  聯體派就是說
[00:02:04.000 --> 00:02:08.000]  山勢是一個很重要的影響
[00:02:08.000 --> 00:02:14.000]  這個聯體派的做法是怎樣呢
[00:02:14.000 --> 00:02:16.000]  我們說這個聯體派呢
[00:02:16.000 --> 00:02:20.000]  最主要就是找哪個地方的墳墓是最好的
[00:02:20.000 --> 00:02:22.000]  一個地點
[00:02:22.000 --> 00:02:24.000]  那個地點怎樣找出來
[00:02:24.000 --> 00:02:28.000]  那個地點是好的地方還是不好的地方
[00:02:28.000 --> 00:02:30.000]  究竟根據什麼呢
[00:02:30.000 --> 00:02:34.000]  就根據我們所謂的龍氣
[00:02:34.000 --> 00:02:36.000]  中國人相信
[00:02:36.000 --> 00:02:40.000]  龍是一個吉祥之物
[00:02:40.000 --> 00:02:44.000]  也是宇宙的力量的一個具體的表現
[00:02:44.000 --> 00:02:46.000]  這個不需要解釋
[00:02:46.000 --> 00:02:48.000]  中國人也是相信
