
[00:00:00.000 --> 00:00:02.200]  在思想今天的經文之前
[00:00:02.200 --> 00:00:04.200]  我想首先提幾方面
[00:00:04.200 --> 00:00:06.280]  大家都會有印象
[00:00:06.280 --> 00:00:08.400]  就是我們有些機會的時候
[00:00:08.400 --> 00:00:10.080]  讀到教會的歷史
[00:00:10.080 --> 00:00:12.360]  知道有宗教改革
[00:00:12.360 --> 00:00:14.640]  在宗教改革的期間
[00:00:14.640 --> 00:00:18.280]  有很多重要的信念重新提出來
[00:00:18.280 --> 00:00:21.120]  糾正當時的錯誤
[00:00:21.120 --> 00:00:22.920]  其中一點很清楚地說
[00:00:22.920 --> 00:00:27.000]  就是聖經是我們信仰的唯一
[00:00:27.000 --> 00:00:29.160]  和最高的權威
[00:00:29.600 --> 00:00:31.240]  所以在當時很清楚地說
[00:00:31.240 --> 00:00:33.440]  就是唯獨聖經
[00:00:33.440 --> 00:00:36.640]  唯獨聖經意味著我們以聖經
[00:00:36.640 --> 00:00:40.920]  作為我們信仰最高的一個準則和權威
[00:00:40.920 --> 00:00:43.360]  所以你發覺在聖經裏面
[00:00:43.360 --> 00:00:45.920]  很多時候不斷地講述
[00:00:45.920 --> 00:00:49.120]  整個道是不可以被輕視的
[00:00:49.120 --> 00:00:51.280]  而你看回整本聖經
[00:00:51.280 --> 00:00:52.800]  由舊約到新約
[00:00:52.800 --> 00:00:55.320]  一個核心就是耶穌基督
[00:00:55.320 --> 00:00:57.080]  舊約的預言
[00:00:57.080 --> 00:00:59.760]  新約講到基督耶穌的生平
[00:00:59.760 --> 00:01:01.560]  和有關祂的教導
[00:01:01.560 --> 00:01:03.480]  所以信仰的核心
[00:01:03.480 --> 00:01:05.360]  亦都在耶穌基督身上
[00:01:05.360 --> 00:01:09.680]  任何的信仰偏離了基督耶穌
[00:01:09.680 --> 00:01:12.000]  就不再有福音
[00:01:12.000 --> 00:01:15.880]  所以因此聖經裏面提到的基督耶穌
[00:01:15.880 --> 00:01:19.240]  亦都是我們今天會常常去講述的
[00:01:19.240 --> 00:01:22.720]  但是我們看回我們今天所身處的社會
[00:01:22.720 --> 00:01:24.800]  是一個多元化的社會
[00:01:24.800 --> 00:01:27.720]  強調要學習去尊重不同的文化
[00:01:27.720 --> 00:01:29.560]  不同背景的群體
[00:01:29.560 --> 00:01:31.120]  這是應該的
[00:01:31.120 --> 00:01:34.080]  地上的萬俗都是神所創造的
[00:01:34.080 --> 00:01:37.600]  但是將多元化推到極端
[00:01:37.600 --> 00:01:40.800]  一切的事情都是多元化
[00:01:40.800 --> 00:01:43.760]  你就會發覺人會否定
[00:01:43.760 --> 00:01:47.640]  聖經是神的獨一的真理
[00:01:47.640 --> 00:01:51.960]  會否定這個世界有獨一的真神
[00:01:52.720 --> 00:01:55.920]  不能夠接受有絕對的真理
[00:01:55.920 --> 00:01:58.720]  多元推到絕對
[00:01:58.720 --> 00:02:02.080]  就不接受有絕對的真理
[00:02:02.080 --> 00:02:06.000]  當你看到整個社會的情況的時候
[00:02:06.000 --> 00:02:08.040]  你就會發覺當你要堅守著
[00:02:08.040 --> 00:02:09.920]  聖經是真理的時候
[00:02:09.920 --> 00:02:13.520]  你會發覺很多人會說你是很保守的
[00:02:13.520 --> 00:02:15.520]  你很偏擇的
[00:02:15.520 --> 00:02:17.520]  你很霸道的
[00:02:17.520 --> 00:02:20.520]  很多這樣的批評就會出現
[00:02:20.520 --> 00:02:23.800]  甚至當你堅持一些信仰的立場的時候
[00:02:23.800 --> 00:02:27.440]  會有很多很強烈的字眼
[00:02:27.440 --> 00:02:29.000]  甚至暴力的語言
[00:02:29.000 --> 00:02:31.600]  來衝擊你、批評你
[00:02:31.600 --> 00:02:36.200]  這是我們所見到今天社會上出現的事情
[00:02:36.200 --> 00:02:39.320]  大家可能會留意最近有一個
[00:02:39.320 --> 00:02:43.200]  在八月份香港有一個港九培靈研經大會
[00:02:43.200 --> 00:02:45.200]  我想有部分的影子會有參與
[00:02:45.200 --> 00:02:48.520]  其中一位講員他叫做D.A. Carson
[00:02:48.520 --> 00:02:49.920]  Carson博士
[00:02:50.520 --> 00:02:52.720]  Carson博士他曾經寫了一本書
[00:02:52.720 --> 00:02:54.720]  這本書的書名很特別
[00:02:54.720 --> 00:02:59.920]  英文名叫做《The Intolerance of Tolerance》
[00:02:59.920 --> 00:03:03.320]  如果稍微翻譯就是
[00:03:03.320 --> 00:03:06.720]  一個不能寬容的凡事寬容
[00:03:06.720 --> 00:03:08.920]  什麼都要承受的
[00:03:08.920 --> 00:03:11.920]  什麼都要容許、什麼都要接納的
[00:03:11.920 --> 00:03:15.120]  Carson博士就指出這個觀念
[00:03:15.120 --> 00:03:17.520]  其實內部是自相矛盾的
[00:03:18.120 --> 00:03:21.120]  你不可能所有東西都寬容
[00:03:21.120 --> 00:03:23.520]  因此他說這個是intolerable的
[00:03:23.520 --> 00:03:26.320]  是不可以寬容的凡事寬容
[00:03:26.320 --> 00:03:30.720]  他這本書就在分析這種矛盾的狀況
[00:03:30.720 --> 00:03:33.720]  但是今天的世界就不斷有人提出
[00:03:33.720 --> 00:03:36.320]  要來接受不同
[00:03:36.320 --> 00:03:39.720]  甚至是錯誤的、不正當的
[00:03:39.720 --> 00:03:41.920]  一些觀念、一些行為
[00:03:41.920 --> 00:03:46.120]  剛才我們很感謝沈牧師讓我們明白
[00:03:46.120 --> 00:03:48.720]  在英國的一些情況
[00:03:48.720 --> 00:03:53.120]  如果你留心這次教會派的家訓
[00:03:53.120 --> 00:03:54.720]  你現在不要看字了
[00:03:54.720 --> 00:03:58.920]  你發覺中間有一篇文章是
[00:03:58.920 --> 00:04:01.120]  在參全年會的信息
