
[00:00:00.000 --> 00:00:04.800]  剛才大家讀到一些宗教改革的歷史的時候
[00:00:04.800 --> 00:00:07.000]  你會留意到很特別
[00:00:07.000 --> 00:00:10.000]  上帝興起一位德國的修士
[00:00:10.000 --> 00:00:12.000]  在五百年之前
[00:00:12.000 --> 00:00:14.000]  做了一件很重要的事情
[00:00:14.000 --> 00:00:20.000]  是他很認真、很細心來讀聖經
[00:00:20.000 --> 00:00:24.000]  你說為甚麼當時其他人好像沒有認真地讀呢?
[00:00:24.000 --> 00:00:26.000]  因為在那個時候
[00:00:26.000 --> 00:00:30.000]  聖經是用希臘文和拉丁文來發行
[00:00:30.000 --> 00:00:34.000]  絕大多數的信徒是沒有機會來自己讀聖經
[00:00:34.000 --> 00:00:37.000]  所以不知道聖經所說的
[00:00:37.000 --> 00:00:41.000]  只能聽某一些人所傳達的
[00:00:41.000 --> 00:00:45.000]  馬丁·路德將聖經翻譯成當時流行的德文
[00:00:45.000 --> 00:00:47.000]  大家讀聖經
[00:00:47.000 --> 00:00:50.000]  因此在他做這件事情之前
[00:00:50.000 --> 00:00:54.000]  他首先提出一個很重要的關鍵
[00:00:54.000 --> 00:00:57.000]  就是人要歸回聖經
[00:00:57.000 --> 00:01:01.000]  也是宗教改革上所說的唯讀聖經
[00:01:01.000 --> 00:01:03.000]  所以在17年
[00:01:03.000 --> 00:01:06.000]  當他在德國的威登堡
[00:01:06.000 --> 00:01:08.000]  大家剛才留意到
[00:01:08.000 --> 00:01:12.000]  在教堂的大門貼上了95條的論綱
[00:01:12.000 --> 00:01:15.000]  一個出名的論綱
[00:01:15.000 --> 00:01:18.000]  正正是在講述人要歸回聖經
[00:01:18.000 --> 00:01:22.000]  特別針對當時在羅馬教廷
[00:01:22.000 --> 00:01:26.000]  他們提出贖罪券的錯謬真理
[00:01:26.000 --> 00:01:28.000]  當他提出的時候
[00:01:28.000 --> 00:01:30.000]  同時清楚指出一件事情
[00:01:30.000 --> 00:01:32.000]  就是在神和人之間
[00:01:32.000 --> 00:01:34.000]  是不需要有宗教的
[00:01:34.000 --> 00:01:36.000]  剛才你看到
[00:01:36.000 --> 00:01:39.000]  兩者之間好像突然間有一個宗教
[00:01:39.000 --> 00:01:42.000]  人必須透過某些教會的組織
[00:01:42.000 --> 00:01:44.000]  或者透過某一些人物
[00:01:44.000 --> 00:01:46.000]  教皇 神父
[00:01:46.000 --> 00:01:49.000]  才能夠得到救恩
[00:01:49.000 --> 00:01:52.000]  但路德清楚從聖經裡面解明
[00:01:52.000 --> 00:01:56.000]  就是人可以直接到神面前
[00:01:56.000 --> 00:01:59.000]  不是因為人比別人強一些
[00:01:59.000 --> 00:02:01.000]  所以那些就可以
[00:02:01.000 --> 00:02:04.000]  而是因為耶穌基督所承傳的救恩
[00:02:04.000 --> 00:02:08.000]  只因為相信神所成就的
[00:02:08.000 --> 00:02:11.000]  也都憑著神的恩典
[00:02:11.000 --> 00:02:13.000]  不是憑著人的努力
[00:02:13.000 --> 00:02:18.000]  人可以白白地被神稱為義
[00:02:18.000 --> 00:02:20.000]  因此今天當你和我
[00:02:20.000 --> 00:02:22.000]  我們說我們信主就向主祈禱
[00:02:22.000 --> 00:02:24.000]  求神拯救我們
[00:02:24.000 --> 00:02:26.000]  其實是因為有很多人
[00:02:26.000 --> 00:02:29.000]  清楚地把聖經的真理講述出來
[00:02:29.000 --> 00:02:32.000]  以致我們可以領受一個很大的憑據
[00:02:32.000 --> 00:02:36.000]  就是我們可以靠著恩典
[00:02:36.000 --> 00:02:38.000]  領受救恩
[00:02:38.000 --> 00:02:40.000]  看前面這個歷史
[00:02:40.000 --> 00:02:42.000]  其實是不斷地提醒我們
[00:02:42.000 --> 00:02:44.000]  今天我們蒙恩
[00:02:44.000 --> 00:02:46.000]  是因為曾經有先賢
[00:02:46.000 --> 00:02:49.000]  他們堅守聖經真理
[00:02:49.000 --> 00:02:51.000]  以致我們今天可以確定地
