
[00:00:00.000 --> 00:00:03.800]  (字幕:我是聖結石,歡迎訂閱)
[00:00:03.800 --> 00:00:06.960]  大家好
[00:00:06.960 --> 00:00:10.160]  我們今天又看看大家有什麼問題
[00:00:10.160 --> 00:00:12.520]  耶穌怎麼看紋身?
[00:00:12.520 --> 00:00:14.200]  如果我是基督徒
[00:00:14.200 --> 00:00:16.600]  是不是不應該紋身呢?
[00:00:16.600 --> 00:00:19.960]  紋身這個問題可以從不同角度去看
[00:00:19.960 --> 00:00:22.520]  第一個角度是文化的角度
[00:00:22.520 --> 00:00:25.440]  我想以前可能曾經有一個時期
[00:00:25.440 --> 00:00:27.240]  社會看紋身都是一些所謂
[00:00:27.240 --> 00:00:29.680]  「排仔」「排女」做的事
[00:00:29.680 --> 00:00:30.840]  黑幫的人
[00:00:30.840 --> 00:00:32.920]  左青龍右白虎
[00:00:32.920 --> 00:00:37.560]  那個年代紋身當然被人印象很差
[00:00:37.560 --> 00:00:39.840]  今時今日就變了很多
[00:00:39.840 --> 00:00:43.840]  你可以說紋身正面了很多
[00:00:43.840 --> 00:00:46.520]  很多時候我們去見公
[00:00:46.520 --> 00:00:48.520]  起碼某一類的公
[00:00:48.520 --> 00:00:51.760]  就算見公的人見到我們有某些紋身
[00:00:51.760 --> 00:00:54.880]  都未必會有反感
[00:00:54.880 --> 00:00:58.720]  不過當然教會就比較保守一點
[00:00:58.720 --> 00:01:00.720]  如果大家是回教會
[00:01:00.720 --> 00:01:02.920]  其實是一個實際的建議
[00:01:02.920 --> 00:01:04.680]  大家要紋身
[00:01:04.680 --> 00:01:06.440]  真的要紋身的話
[00:01:06.440 --> 00:01:10.240]  就紋在穿了衣服可以遮蓋的地方
[00:01:10.240 --> 00:01:13.720]  就無謂叫別人絆倒
[00:01:13.720 --> 00:01:16.800]  這個未必一定是紋身本身是錯
[00:01:16.800 --> 00:01:18.640]  但是如果我們做一些事
[00:01:18.640 --> 00:01:21.200]  引來教會一些不必要的爭辯
[00:01:21.200 --> 00:01:22.920]  又可以避免的話
[00:01:22.920 --> 00:01:24.440]  那就避了它
[00:01:24.440 --> 00:01:28.200]  這個都是一個所謂謹慎的選擇
[00:01:28.200 --> 00:01:30.680]  不過從另一個角度來看
[00:01:30.680 --> 00:01:37.600]  紋身其實都是一種所謂入侵性的小手術
[00:01:37.600 --> 00:01:41.680]  即是紋身的人要刺在你的皮下
[00:01:41.680 --> 00:01:45.600]  將一些染料射到你的皮下
[00:01:45.600 --> 00:01:48.760]  始終都有些健康的危險
[00:01:48.760 --> 00:01:51.320]  所以我一般會說
[00:01:51.320 --> 00:01:54.600]  紋身不應該是你隨便做的事
[00:01:54.600 --> 00:01:56.800]  因為你做了一個紋身
[00:01:56.800 --> 00:01:58.200]  有一天你不喜歡
[00:01:58.200 --> 00:02:00.360]  你可以神意激光整走它
[00:02:00.360 --> 00:02:02.080]  但是又不一定做得到
[00:02:02.080 --> 00:02:04.520]  所以紋身不是不可以做
[00:02:04.520 --> 00:02:07.640]  不過又不要隨便很衝動地去做
[00:02:07.640 --> 00:02:11.240]  隨時做了一些我們會後悔的紋身
[00:02:11.240 --> 00:02:14.720]  或者甚至帶來皮膚發炎
[00:02:14.720 --> 00:02:16.120]  所以這個都是一個
[00:02:16.120 --> 00:02:19.160]  要比較想清楚的一個選擇
[00:02:19.160 --> 00:02:20.640]  最後就是說
[00:02:20.640 --> 00:02:25.440]  紋身對現代的人有什麼重要呢
[00:02:25.440 --> 00:02:26.760]  或者可以這樣說
[00:02:26.760 --> 00:02:28.360]  如果有健康的危險
[00:02:28.360 --> 00:02:31.320]  為什麼人要做紋身呢?
[00:02:31.320 --> 00:02:34.200]  當然這個涉及到我們的
[00:02:34.200 --> 00:02:38.200]  所謂身體和心靈其實是一體
[00:02:38.200 --> 00:02:40.360]  對一些人來說
[00:02:40.360 --> 00:02:45.360]  在他身上紋了一些花紋
[00:02:45.360 --> 00:02:47.440]  這些花紋可能代表他
[00:02:47.440 --> 00:02:51.240]  生命之中一些很重要的事情
[00:02:51.240 --> 00:02:51.800]  可以這樣說
[00:02:51.800 --> 00:02:54.440]  譬如有人會紋一些公仔
[00:02:54.440 --> 00:02:56.880]  代表他的配偶
[00:02:56.880 --> 00:03:01.200]  代表他曾經很深愛的一個人
[00:03:01.200 --> 00:03:03.240]  這些將一個記憶
[00:03:03.240 --> 00:03:05.760]  紋在自己的身體裏面
[00:03:05.760 --> 00:03:08.760]  好像將記憶和我的身體結合
[00:03:08.760 --> 00:03:10.400]  對某些人來說
[00:03:10.400 --> 00:03:15.080]  這是一個很有意義和很重要的事情
