
[00:00:00.000 --> 00:00:01.800]  慈悲的父神
[00:00:01.800 --> 00:00:05.000]  我們用心靈和誠實的敬拜祢
[00:00:05.000 --> 00:00:07.800]  我們願意將心奉獻給祢
[00:00:07.800 --> 00:00:11.600]  讓我們的身心靈在祢救贖之後
[00:00:11.600 --> 00:00:13.100]  得到祢的解救
[00:00:13.100 --> 00:00:14.300]  得到祢的充滿
[00:00:14.300 --> 00:00:15.800]  得到祢的實用
[00:00:15.800 --> 00:00:17.300]  讓我們用感恩的心
[00:00:17.300 --> 00:00:20.800]  喜樂的心來侍奉祢
[00:00:20.800 --> 00:00:21.900]  昨天我們想到
[00:00:21.900 --> 00:00:25.300]  在保羅身上的恩典和他的反應
[00:00:25.300 --> 00:00:27.900]  他比眾世俗格外的牢固
[00:00:27.900 --> 00:00:30.700]  他認為祢的恩典在他的身上
[00:00:30.700 --> 00:00:32.000]  不是突然的
[00:00:32.000 --> 00:00:33.600]  所以我但願我們能夠
[00:00:33.600 --> 00:00:35.000]  見到同樣的光
[00:00:35.000 --> 00:00:36.900]  祢的恩典在我們的身上
[00:00:36.900 --> 00:00:39.100]  也不是突然的
[00:00:39.100 --> 00:00:43.200]  求祢使我們在祢所安排的崗位上
[00:00:43.200 --> 00:00:45.600]  有祢所賜的能力
[00:00:45.600 --> 00:00:47.800]  用愛祢的心 衷心
[00:00:47.800 --> 00:00:49.600]  來侍奉 醫治到底
[00:00:49.600 --> 00:00:51.000]  再接再厲
[00:00:51.000 --> 00:00:53.300]  願主成為我們的力量
[00:00:53.300 --> 00:00:55.500]  使我們不退後 不冷淡
[00:00:55.500 --> 00:00:57.600]  讓我們了解主的心意
[00:00:57.600 --> 00:01:00.000]  按照主為我們的安排
[00:01:00.000 --> 00:01:04.000]  來獻上我們從主所領受的恩賜
[00:01:04.000 --> 00:01:07.000]  主啊 我們這個時間交託在祢手中
[00:01:07.000 --> 00:01:08.800]  求祢親自地教導我們
[00:01:08.800 --> 00:01:10.600]  幫助這兩個孩子
[00:01:10.600 --> 00:01:12.500]  將信息傳達清楚
[00:01:12.500 --> 00:01:14.300]  我們一同領受
[00:01:14.300 --> 00:01:16.100]  我們這樣祈求感謝
[00:01:16.100 --> 00:01:18.400]  奉主耶穌基督的聖名
[00:01:18.400 --> 00:01:20.800]  (主人:阿們)
[00:01:20.800 --> 00:01:26.000]  請大家翻到哥林多前書
[00:01:26.000 --> 00:01:30.200]  第十二章
[00:01:30.200 --> 00:01:34.400]  哥林多前書十二章
[00:01:34.400 --> 00:01:37.700]  第七節
[00:01:37.700 --> 00:01:40.500]  「臨前十二章第七節
[00:01:40.500 --> 00:01:42.900]  聖靈顯在各人身上
[00:01:42.900 --> 00:01:46.300]  是要叫人得益處」
[00:01:46.300 --> 00:01:48.100]  和第十一節
[00:01:48.100 --> 00:01:51.100]  「這一切都是這位聖靈所運行
[00:01:51.100 --> 00:01:54.100]  隨己意分給各人的」
[00:01:54.100 --> 00:01:57.800]  今天我們繼續領受關於侍奉的信息
[00:01:57.800 --> 00:02:01.200]  (主人:今天我們繼續領受關於侍奉的信息)
[00:02:01.200 --> 00:02:03.700]  侍奉需要恩賜
[00:02:03.700 --> 00:02:05.600]  (主人:侍奉是需要恩賜的)
[00:02:05.600 --> 00:02:07.800]  今天我們的信息的重點
[00:02:07.800 --> 00:02:09.600]  (主人:今天我們信息的重點)
[00:02:09.600 --> 00:02:10.900]  是在恩賜上
[00:02:10.900 --> 00:02:13.800]  (主人:是在恩賜上)
[00:02:13.800 --> 00:02:17.300]  我要先講一個侍奉的小插曲
