
[00:00:00.000 --> 00:00:02.000]  當我們說要發揮恩賜
[00:00:02.000 --> 00:00:03.440]  參與侍奉的時候
[00:00:03.440 --> 00:00:05.600]  其實背後有一個更基礎
[00:00:05.600 --> 00:00:08.400]  更重要的態度
[00:00:08.400 --> 00:00:12.440]  就是我們所有的都是來自上帝
[00:00:12.440 --> 00:00:17.000]  我們如何好好善用上帝給我們的資源
[00:00:17.000 --> 00:00:19.840]  在這段經文裡
[00:00:19.840 --> 00:00:23.200]  記載了耶穌說過的一個比喻
[00:00:23.200 --> 00:00:27.200]  這個比喻其實在馬太福音24-25章
[00:00:27.200 --> 00:00:30.200]  耶穌說過末世的過程裡
[00:00:30.200 --> 00:00:34.200]  耶穌揭開了末世的序幕
[00:00:34.200 --> 00:00:42.200]  在過程裡我們都是一群等待著去見耶穌的一群人
[00:00:42.200 --> 00:00:45.200]  終極的審判必然會來臨
[00:00:45.200 --> 00:00:48.200]  過程裡我應該如何等待耶穌的再來呢
[00:00:48.200 --> 00:00:54.200]  其實耶穌在24-25章用了很多篇幅去說這個心態
[00:00:54.200 --> 00:00:58.200]  在前面有幾個比喻都說了
[00:00:58.200 --> 00:01:00.200]  我們要有一個警醒
[00:01:00.200 --> 00:01:02.200]  主人什麼時候回來我們不知道
[00:01:02.200 --> 00:01:05.200]  但是主人一定會回來
[00:01:05.200 --> 00:01:08.200]  在這裡等待主人的回來不是被動的坐著
[00:01:08.200 --> 00:01:14.200]  而是主動的去履行主人交託給我們的責任
[00:01:14.200 --> 00:01:18.200]  直到見主人再回來的日子
[00:01:18.200 --> 00:01:26.200]  在第十四第十五章說到主人要離開一段時間
[00:01:26.200 --> 00:01:30.200]  把家產交託給這三個僕人
[00:01:30.200 --> 00:01:36.200]  在古代的世界奴僕所享有的責任和權利都是很多的
[00:01:36.200 --> 00:01:41.200]  主人把資產全交託給這三個僕人
[00:01:41.200 --> 00:01:44.200]  一般人都估計
[00:01:44.200 --> 00:01:52.200]  當時這三個僕人和主人的關係有合作夥伴的關係
[00:01:52.200 --> 00:01:57.200]  當這些資產能夠賺到更多的資源的時候
[00:01:57.200 --> 00:02:00.200]  他們可以分享一些利潤
[00:02:00.200 --> 00:02:02.200]  這個五千他年得
[00:02:02.200 --> 00:02:07.200]  五千能子一千能子二千能子的千
[00:02:07.200 --> 00:02:09.200]  其實是一個兌換的單位
[00:02:09.200 --> 00:02:11.200]  叫他年得
[00:02:11.200 --> 00:02:13.200]  和今天的相比
[00:02:13.200 --> 00:02:15.200]  一個他年得大約多少錢呢
[00:02:15.200 --> 00:02:21.200]  有人估計大約是當時一個工人二十年的工資
[00:02:21.200 --> 00:02:24.200]  所以相當多的錢
[00:02:24.200 --> 00:02:29.200]  這個主人按照他們不同能力的評估
[00:02:29.200 --> 00:02:32.200]  把不同的資源分給他們
[00:02:32.200 --> 00:02:36.200]  而在這裡說到有五千有二千有一千
[00:02:36.200 --> 00:02:38.200]  很強調一個原則
[00:02:38.200 --> 00:02:42.200]  就是給多一點資源的那個人
[00:02:42.200 --> 00:02:46.200]  那個人就應該要給更多給主人
[00:02:46.200 --> 00:02:49.200]  這裡很強調這個原則
[00:02:49.200 --> 00:02:53.200]  在這裡把他年得
[00:02:53.200 --> 00:02:58.200]  我們不能局限在理解人的才幹
[00:02:58.200 --> 00:02:59.200]  人的能力
[00:02:59.200 --> 00:03:00.200]  不是
[00:03:00.200 --> 00:03:02.200]  其實這裡是一個很闊的象徵
[00:03:02.200 --> 00:03:09.200]  象徵著上帝把資源給了我們每一個人
[00:03:09.200 --> 00:03:12.200]  可以應用到不同的情況
[00:03:12.200 --> 00:03:14.200]  可以是金錢可以是時間
[00:03:14.200 --> 00:03:15.200]  可以是所有東西
[00:03:15.200 --> 00:03:18.200]  上帝把資源給了我們
