
[00:00:00.000 --> 00:00:06.800]  翻到诗篇一百一十九篇,请大家翻到诗篇一百一十九篇。
[00:00:06.800 --> 00:00:15.800]  这篇诗刚刚是在《圣经》当中的地方。
[00:00:15.800 --> 00:00:24.700]  我这一本《圣经》是每一面有两栏的版本。
[00:00:24.700 --> 00:00:36.400]  一共有一千五百零三页,用二来除,在当中的地方是七百五十一页。
[00:00:36.400 --> 00:00:40.500]  用二来除,当中的版本是七百五十一页。
[00:00:40.500 --> 00:00:49.400]  当我翻到七百五十一页的时候,刚刚是诗篇一百一十九篇。
[00:00:49.400 --> 00:00:58.900]  大家都知道这篇诗每一节里面都讲到神的话。
[00:00:58.900 --> 00:01:02.900]  大家都知道这一篇诗篇每一节里面都讲到神的话。
[00:01:02.900 --> 00:01:06.600]  所以这是一篇神的话的诗篇。
[00:01:06.600 --> 00:01:11.200]  所以一篇神的话的诗篇,《圣经》是神的话。
[00:01:11.200 --> 00:01:12.600]  《圣经》是神的话。
[00:01:12.600 --> 00:01:17.500]  而《圣经》的中心呢,就是神的话的诗篇。
[00:01:17.500 --> 00:01:21.700]  而《圣经》的中心呢,就是神的话的诗篇。
[00:01:21.700 --> 00:01:26.700]  这篇诗篇也是全部《圣经》里面最长的一章。
[00:01:26.700 --> 00:01:30.800]  这一篇诗篇也是全部《圣经》里面最长的一章。
[00:01:30.800 --> 00:01:33.500]  一共有一百七十六节。
[00:01:33.500 --> 00:01:35.700]  一共有一百七十六节。
[00:01:35.700 --> 00:01:37.800]  每一节都提到神的话。
[00:01:37.800 --> 00:01:39.800]  每一节都提到神的话。
[00:01:39.800 --> 00:01:42.700]  很多人很关心这一篇诗。
[00:01:42.700 --> 00:01:44.900]  很多人很关心这一篇诗。
[00:01:44.900 --> 00:01:46.900]  那么我们再问一问。
[00:01:46.900 --> 00:01:48.200]  那么我们再问一问。
[00:01:48.200 --> 00:01:51.500]  这一篇诗篇的中心是在哪里?
[00:01:51.500 --> 00:01:54.300]  这一篇诗篇的中心在哪里?
[00:01:54.300 --> 00:01:57.000]  一百七十六节除二。
[00:01:57.000 --> 00:01:59.200]  一百七十六节除二。
[00:01:59.200 --> 00:02:00.600]  是多少?
[00:02:00.600 --> 00:02:02.100]  是多少?
[00:02:02.100 --> 00:02:04.600]  当中的地方是什么?在哪里?
[00:02:04.600 --> 00:02:04.600]  当中的地方是什么?在哪里?
[00:02:04.600 --> 00:02:07.000]  当中的地方是什么?在哪里?
[00:02:07.000 --> 00:02:09.900]  八十八,我听见柳牧师说八十八。
[00:02:09.900 --> 00:02:11.600]  听见柳牧师说八十八。
[00:02:11.600 --> 00:02:12.500]  对不对?
[00:02:12.500 --> 00:02:13.600]  对不对?
[00:02:13.600 --> 00:02:14.600]  有人说对,有人说不对。
[00:02:14.600 --> 00:02:16.600]  有人说对,有人说不对。
[00:02:16.600 --> 00:02:17.900]  有人说对,有人说不对。
[00:02:17.900 --> 00:02:19.400]  有人说不对?
[00:02:19.400 --> 00:02:20.600]  不对。
[00:02:20.600 --> 00:02:21.900]  不对。
[00:02:21.900 --> 00:02:22.900]  为什么不对?
[00:02:22.900 --> 00:02:24.200]  为什么不对?
[00:02:24.200 --> 00:02:27.600]  因为是一百七十六是双数的,
[00:02:27.600 --> 00:02:30.900]  它的中心是两节,不是一节。
[00:02:30.900 --> 00:02:33.900]  因为这个一百七十六是双数,
[00:02:33.900 --> 00:02:35.700]  应该是双数,
[00:02:35.700 --> 00:02:38.700]  中间是两节而不是一节。
[00:02:38.700 --> 00:02:44.700]  是八十八节和八十九节当中的中心。
[00:02:44.700 --> 00:02:48.200]  是八十八节和八十九节当中的中心。
[00:02:48.200 --> 00:02:52.700]  那么我们来看看这个圣经的中心的中心是讲什么?
[00:02:52.700 --> 00:02:54.700]  那么我们来看看这个圣经的中心的中心,
[00:02:54.700 --> 00:02:55.900]  究竟讲什么呢?
[00:02:55.900 --> 00:02:56.900]  八十八节。
[00:02:56.900 --> 00:02:58.100]  八十八节。
[00:02:58.100 --> 00:03:01.600]  求祢,叫祢的慈爱将我救活,
[00:03:01.600 --> 00:03:04.700]  我就遵守祢口中的法度。
[00:03:04.700 --> 00:03:06.500]  这里提到两件事,
