
[00:00:00.000 --> 00:00:04.000]  我記得我之前留意到這個短片的時候
[00:00:04.000 --> 00:00:08.000]  我想跟大家分享一個故事
[00:00:08.000 --> 00:00:10.000]  這個故事提到一件事
[00:00:10.000 --> 00:00:13.000]  就是有一群美國的朋友
[00:00:13.000 --> 00:00:16.000]  他們去了東南亞的一個國家旅遊
[00:00:16.000 --> 00:00:21.000]  他們在旅遊的過程中順道探訪當地一間麻風病院
[00:00:21.000 --> 00:00:23.000]  當地還有麻風病院
[00:00:23.000 --> 00:00:25.000]  他們去到的時候
[00:00:25.000 --> 00:00:30.000]  他們看到裡面有好幾位義工
[00:00:30.000 --> 00:00:32.000]  義務服務的朋友
[00:00:32.000 --> 00:00:37.000]  在幫助麻風病人清洗傷口
[00:00:37.000 --> 00:00:43.000]  其中一位的遊客就走過去留意他們的情況
[00:00:43.000 --> 00:00:49.000]  當他看到麻風病人的腳是那種潰爛的情況
[00:00:49.000 --> 00:00:51.000]  傷口打開之後
[00:00:51.000 --> 00:00:55.000]  不斷流膿的情況
[00:00:55.000 --> 00:00:58.000]  他覺得很噁心
[00:00:58.000 --> 00:01:00.000]  然後突然間他就大聲說
[00:01:00.000 --> 00:01:06.000]  這些事給我一百萬美金我都不會做
[00:01:06.000 --> 00:01:12.000]  當時在前面幫這位病人洗腳的義工
[00:01:12.000 --> 00:01:17.000]  他突然就抬起頭來跟他說
[00:01:17.000 --> 00:01:21.000]  對呀,如果不是為了主耶穌的緣故
[00:01:21.000 --> 00:01:27.000]  給我一百萬我也不會做這些事
[00:01:27.000 --> 00:01:31.000]  當我聽到這個轉述的故事的時候
[00:01:31.000 --> 00:01:33.000]  我心裡面看到一件事
[00:01:33.000 --> 00:01:37.000]  就是有一些工作,有一些服務
[00:01:37.000 --> 00:01:42.000]  表面上可以是一些很厭惡的服務
[00:01:42.000 --> 00:01:46.000]  但當人的心裡面知道這件事情是服務主
[00:01:46.000 --> 00:01:48.000]  看作服務主
[00:01:48.000 --> 00:01:52.000]  突然間這件事情變得很尊貴
[00:01:52.000 --> 00:01:56.000]  因為這位義工知道他服務的
[00:01:56.000 --> 00:01:59.000]  不單是這位麻風病者
[00:01:59.000 --> 00:02:03.000]  而是他服務的那位尊貴的主
[00:02:03.000 --> 00:02:07.000]  而他在當中不是為金錢,不是為讚賞
[00:02:07.000 --> 00:02:10.000]  而是全心為了主的緣故
[00:02:10.000 --> 00:02:13.000]  他樂意去服務
[00:02:13.000 --> 00:02:16.000]  各位靈智輩,當我們去服務的時候
[00:02:16.000 --> 00:02:19.000]  常常記得你服務的對象
[00:02:19.000 --> 00:02:22.000]  不只是你眼前的人或事
[00:02:22.000 --> 00:02:28.000]  而是你服務的那位天地尊貴榮耀的君王
[00:02:28.000 --> 00:02:30.000]  當我們這樣看的時候
[00:02:30.000 --> 00:02:32.000]  你會發覺你會再了解多一點
[00:02:32.000 --> 00:02:36.000]  今天我們讀的聖經裡面所提及的這個比喻
[00:02:36.000 --> 00:02:40.000]  就是將銀子交給十個僕人的比喻
[00:02:40.000 --> 00:02:44.000]  而這些僕人所服侍的是一位君王
[00:02:44.000 --> 00:02:47.000]  我們一起看看聖經
[00:02:47.000 --> 00:02:50.000]  在路加福音第十九章
[00:02:50.000 --> 00:02:54.000]  聖經提到當時主耶穌經過了耶利哥
[00:02:54.000 --> 00:02:56.000]  預備去到耶路撒冷
[00:02:56.000 --> 00:03:01.000]  亦表示他將要去到受猶太人給他的苦害
[00:03:01.000 --> 00:03:03.000]  他要面對十字架
[00:03:03.000 --> 00:03:07.000]  似乎要經過一段很黑暗的時期
[00:03:07.000 --> 00:03:10.000]  但聖經在其中的第十九章第十一節
[00:03:10.000 --> 00:03:12.000]  我們剛才讀的時候
[00:03:12.000 --> 00:03:13.000]  中間就說
[00:03:13.000 --> 00:03:17.000]  「由因他們以為神的國快要出現」
[00:03:17.000 --> 00:03:20.000]  他就說了一個比喻
[00:03:20.000 --> 00:03:24.000]  當時的猶太人以為天國臨到
[00:03:24.000 --> 00:03:26.000]  因為耶穌基督來到的時候
[00:03:26.000 --> 00:03:29.000]  很快就即刻實現天國在地上
[00:03:29.000 --> 00:03:33.000]  他們期待著這件事情即刻發生
[00:03:33.000 --> 00:03:37.000]  但主讓他們知道事情未即刻出現
[00:03:37.000 --> 00:03:40.000]  意味著他們需要等候
[00:03:40.000 --> 00:03:42.000]  等候主人回來
[00:03:42.000 --> 00:03:44.000]  但在等候期間
[00:03:44.000 --> 00:03:47.000]  他們需要忠心地等候
[00:03:47.000 --> 00:03:51.000]  忠心地等候這位主人回來
[00:03:51.000 --> 00:03:54.000]  表達他們對神的心志
[00:03:54.000 --> 00:03:57.000]  所以當主耶穌說這個比喻的時候
[00:03:57.000 --> 00:04:00.000]  一開始他就說第十二節
[00:04:00.000 --> 00:04:03.000]  有一個貴族往遠方去
[00:04:03.000 --> 00:04:05.000]  要接受王位
[00:04:05.000 --> 00:04:07.000]  然後回來
[00:04:07.000 --> 00:04:11.000]  提到一個貴族去到遠方去接受王位
[00:04:11.000 --> 00:04:13.000]  在我們今天聽的時候
[00:04:13.000 --> 00:04:16.000]  不是太明白為何要去遠方接受王位
[00:04:16.000 --> 00:04:18.000]  但對於當時的猶太人來說
[00:04:18.000 --> 00:04:20.000]  他們很快就即刻了解
