
[00:00:00.000 --> 00:00:03.580]  我們今天繼續會思想有關於猜拳的訊息
[00:00:03.580 --> 00:00:08.580]  特別從聖經的二創書第56章一起來思想
[00:00:08.580 --> 00:00:11.900]  開始的時候我想先講一個故事
[00:00:11.900 --> 00:00:14.020]  這個故事很多年前我看到的時候
[00:00:14.020 --> 00:00:16.580]  心裡都有一份感動
[00:00:16.580 --> 00:00:20.800]  這個故事是講一位青年朋友 美國人
[00:00:20.800 --> 00:00:23.400]  他自己在過去曾經有一次
[00:00:23.400 --> 00:00:25.260]  因為拯救別人
[00:00:25.260 --> 00:00:31.820]  自己在意外當中相異失衝 永久失衝
[00:00:31.820 --> 00:00:33.580]  有人後來問他
[00:00:33.580 --> 00:00:36.340]  如果當時你知道你做這件事情
[00:00:36.340 --> 00:00:42.160]  會有這樣的後果 你會不會還做呢?
[00:00:42.160 --> 00:00:44.560]  這位朋友沒有什麼思想
[00:00:44.560 --> 00:00:49.160]  馬上就說 我會一樣照做
[00:00:49.160 --> 00:00:49.800]  是什麼事情呢?
[00:00:49.800 --> 00:00:52.900]  是很多年前他和他的弟弟
[00:00:52.900 --> 00:00:55.320]  當時他是少年人
[00:00:55.320 --> 00:00:58.160]  在自己家外面有一個湖泊
[00:00:58.160 --> 00:01:00.960]  當時因為冬天所以結冰了
[00:01:00.960 --> 00:01:05.300]  他們兩個很高興在湖冰面玩
[00:01:05.300 --> 00:01:07.260]  在玩的過程中弟弟不小心
[00:01:07.260 --> 00:01:11.060]  去到一些薄冰的地方就掉進了湖底
[00:01:11.060 --> 00:01:14.260]  在冰湖裡掙扎著
[00:01:14.260 --> 00:01:15.760]  哥哥看到這樣的情況的時候
[00:01:15.760 --> 00:01:19.340]  他都很驚慌 也不知道該怎麼做
[00:01:19.340 --> 00:01:22.460]  但是當時有一個思想就是
[00:01:22.460 --> 00:01:26.140]  媽媽一定很擔心
[00:01:26.140 --> 00:01:28.600]  媽媽很疼惜她弟弟
[00:01:28.600 --> 00:01:31.020]  哥哥知道如果弟弟出了什麼事的時候
[00:01:31.020 --> 00:01:33.860]  媽媽會極度的傷痛
[00:01:33.860 --> 00:01:37.980]  而他自己也感覺到他很愛疼媽媽
[00:01:37.980 --> 00:01:42.960]  想到這的時候 他就不顧一切
[00:01:42.960 --> 00:01:45.300]  他就跳進了水裡
[00:01:45.300 --> 00:01:50.140]  在冰水裡救回他的弟弟
[00:01:50.140 --> 00:01:52.580]  因為他想這樣的拯救
[00:01:52.580 --> 00:01:53.820]  弟弟沒有事
[00:01:53.820 --> 00:01:57.100]  但是因為他自己長時間在冰水裡
[00:01:57.100 --> 00:01:58.580]  他本身上來之後
[00:01:58.580 --> 00:02:00.240]  二弟就失蹤了
[00:02:00.240 --> 00:02:05.700]  以後就不能夠再聽到其他事情
[00:02:05.700 --> 00:02:07.580]  當我讀到這個故事的時候
[00:02:07.580 --> 00:02:10.680]  我心裡就體會什麼的動力
[00:02:10.680 --> 00:02:14.220]  讓這個青年他願意付上代價
[00:02:14.220 --> 00:02:16.480]  不顧自己生死
[00:02:16.480 --> 00:02:19.520]  然後去幫自己的弟弟
[00:02:19.520 --> 00:02:21.900]  當然他愛惜自己的弟弟
[00:02:21.900 --> 00:02:26.320]  但是更大的動力是因為他愛惜他的媽媽
[00:02:26.320 --> 00:02:35.260]  他知道媽媽不能夠接受到自己的弟弟會離開
[00:02:35.260 --> 00:02:38.120]  這種愛護的動力
[00:02:38.120 --> 00:02:43.800]  讓他可以勇敢的跳進水裡救自己的弟弟
[00:02:43.800 --> 00:02:44.680]  我在想什麼呢?
[00:02:44.680 --> 00:02:50.900]  我在想我們在我們《北宣家》裡面常常都說一件事情
[00:02:50.900 --> 00:02:56.880]  弟兄姊妹為什麼我們要參與關心海外的猜拳呢?
[00:02:56.880 --> 00:03:01.980]  是因為我們心裡面體會一件事
[00:03:01.980 --> 00:03:05.720]  神的心在猜拳那裡
[00:03:05.720 --> 00:03:09.580]  哪一個人能夠滿足主的心呢?
[00:03:09.580 --> 00:03:13.060]  是那些關心猜拳的人
[00:03:13.060 --> 00:03:17.180]  因為神的心在猜拳那裡
[00:03:17.180 --> 00:03:20.460]  你一定記得當主耶穌離開世界之前
[00:03:20.460 --> 00:03:22.740]  最後一段話
[00:03:22.740 --> 00:03:25.540]  就是祂對我們的吩咐
[00:03:25.540 --> 00:03:30.100]  所以你們要去使萬民作惡的門徒
[00:03:30.100 --> 00:03:33.440]  是祂自己一個最大的心願
