
[00:00:00.000 --> 00:00:04.080]  曾經有一個律師想證明基督教不是真實
[00:00:04.080 --> 00:00:06.080]  從另一個角度去說
[00:00:06.080 --> 00:00:07.400]  他想證明基督教是假的
[00:00:07.400 --> 00:00:12.160]  他就想究竟可以證明基督教哪一方面不真實的話
[00:00:12.160 --> 00:00:15.560]  整個基督教的信仰都可以垮台
[00:00:15.560 --> 00:00:17.080]  最後他又想
[00:00:17.080 --> 00:00:20.800]  如果我能夠證明耶穌沒有復活
[00:00:20.800 --> 00:00:25.440]  整個基督教信仰可以說完全沒有基礎
[00:00:25.440 --> 00:00:29.080]  他用了兩年的時間去搜集資料
[00:00:29.080 --> 00:00:33.600]  最後他又說耶穌真的復活了
[00:00:33.600 --> 00:00:36.880]  他自己也因著這個緣故去相信耶穌
[00:00:36.880 --> 00:00:39.760]  今天我們從這段經文
[00:00:39.760 --> 00:00:41.960]  初期教會信徒的見證
[00:00:41.960 --> 00:00:45.720]  如何去證明耶穌已經復活了呢?
[00:00:45.720 --> 00:00:47.600]  在這段經文裏
[00:00:47.600 --> 00:00:51.560]  是記載到耶穌與兩個門徒
[00:00:51.560 --> 00:00:59.240]  去顯現和說出他已經是復活的主身份
[00:00:59.240 --> 00:01:05.000]  這段經文在路加福音的十二十四章十三至二十七節
[00:01:05.000 --> 00:01:08.760]  在這裏一開始耶穌與兩個門徒相遇
[00:01:08.760 --> 00:01:11.720]  或是顯現給這兩個門徒
[00:01:11.720 --> 00:01:13.080]  去見到他
[00:01:13.080 --> 00:01:17.200]  這兩個門徒一開始的時候眼睛是模糊的
[00:01:17.200 --> 00:01:19.920]  耶穌一步一步地引導他們
[00:01:19.920 --> 00:01:22.800]  讓他們的眼睛明亮
[00:01:22.800 --> 00:01:27.560]  去見到這個已經復活了的耶穌
[00:01:27.560 --> 00:01:29.560]  知道耶穌的身份
[00:01:29.560 --> 00:01:31.320]  在這段經文裏
[00:01:31.320 --> 00:01:35.280]  是說了耶穌如何去證明
[00:01:35.280 --> 00:01:38.880]  他自己已經從死裏復活
[00:01:38.880 --> 00:01:42.800]  在這段經文二十四章十三節
[00:01:42.800 --> 00:01:43.800]  裏一開始說
[00:01:43.800 --> 00:01:45.440]  正當那日
[00:01:45.440 --> 00:01:46.400]  那日是甚麼時候呢?
[00:01:46.400 --> 00:01:48.200]  就是七日的頭一天
[00:01:48.200 --> 00:01:51.920]  就是耶穌在再生的年日
[00:01:51.920 --> 00:01:53.240]  他已經預言
[00:01:53.240 --> 00:01:56.000]  他自己會被釘十字架
[00:01:56.000 --> 00:01:58.480]  亦三日後會復活
[00:01:58.480 --> 00:02:02.080]  現在按當時的人的計算
[00:02:02.080 --> 00:02:03.480]  即是第三日
[00:02:03.480 --> 00:02:04.920]  耶穌復活了
[00:02:04.920 --> 00:02:06.440]  七日的頭一天
[00:02:06.440 --> 00:02:10.640]  一群婦女在耶穌的空墳墓裏
[00:02:10.640 --> 00:02:14.960]  去見到這個復活了的耶穌
[00:02:14.960 --> 00:02:19.000]  現在耶穌在這裏向兩個門徒
[00:02:19.000 --> 00:02:22.400]  去顯現一個事實和一個過程
[00:02:22.400 --> 00:02:23.680]  這兩個門徒
[00:02:23.680 --> 00:02:25.120]  是很緊貼
[00:02:25.120 --> 00:02:28.520]  可以說是和十一的門徒相當緊貼
[00:02:28.520 --> 00:02:31.960]  其中一個門徒的名字叫做「格留巴」
[00:02:31.960 --> 00:02:34.960]  耶穌在二馬五司的路上
[00:02:34.960 --> 00:02:37.760]  向這兩個門徒顯現
[00:02:37.760 --> 00:02:39.800]  現在基本上
[00:02:39.800 --> 00:02:42.360]  這個二馬五司的路
[00:02:42.360 --> 00:02:45.320]  真實的地理位置在哪裏呢?
[00:02:45.320 --> 00:02:49.520]  很多考古學家都不能夠肯定
[00:02:49.520 --> 00:02:51.560]  不過就在耶路撒冷的附近
[00:02:51.560 --> 00:02:53.880]  這個地方
[00:02:53.880 --> 00:02:57.200]  在這兩個門徒一開始的時候
[00:02:57.200 --> 00:03:00.040]  他們去討論關於耶穌的事
[00:03:00.040 --> 00:03:02.720]  可能他們不是每一件事
[00:03:02.720 --> 00:03:07.200]  都是很親身地和耶穌一起經過
[00:03:07.200 --> 00:03:08.480]  有些可能是聽回來
[00:03:08.480 --> 00:03:11.600]  有些可能是在門徒的群體當中
[00:03:11.600 --> 00:03:14.360]  一起和耶穌經過一件事
[00:03:14.360 --> 00:03:15.480]  兩個人走在一起
[00:03:15.480 --> 00:03:18.200]  一路一路地去討論關於耶穌
[00:03:18.200 --> 00:03:20.680]  在生前所發生的事情
[00:03:20.680 --> 00:03:25.000]  然後耶穌就向這兩個門徒說
[00:03:25.000 --> 00:03:28.560]  究竟你們在談論甚麼呢?
[00:03:28.560 --> 00:03:29.880]  在一開始的時候
[00:03:29.880 --> 00:03:31.160]  路加很強調
[00:03:31.160 --> 00:03:34.440]  這兩個門徒的眼睛是模糊的
[00:03:34.440 --> 00:03:37.520]  他們認不出這就是耶穌
[00:03:37.520 --> 00:03:39.560]  這個眼睛的模糊
[00:03:39.560 --> 00:03:40.880]  有很多可能性
[00:03:40.880 --> 00:03:44.000]  可能是因為在路上的燈光問題
[00:03:44.000 --> 00:03:45.840]  所以認不出耶穌
[00:03:45.840 --> 00:03:49.040]  也更有可能作者在強調
[00:03:49.040 --> 00:03:53.040]  這個模糊是心裏蒙蔽著
[00:03:53.040 --> 00:03:58.800]  以致他們認不出這就是復活了的耶穌
[00:03:58.800 --> 00:04:04.480]  耶穌主動向這兩個門徒顯現
[00:04:04.480 --> 00:04:06.640]  顯出他的榮耀
[00:04:06.640 --> 00:04:08.680]  也幫助這兩個門徒
[00:04:08.680 --> 00:04:10.960]  從心裏迷糊
[00:04:10.960 --> 00:04:13.920]  眼睛裏迷糊的狀態
[00:04:13.920 --> 00:04:16.760]  去讓他們的眼睛明亮
[00:04:16.760 --> 00:04:19.000]  去經歷或見到
[00:04:19.000 --> 00:04:22.120]  自己已經真實地從死裏復活
[00:04:22.120 --> 00:04:24.960]  也要他們將他們的見證
[00:04:24.960 --> 00:04:27.520]  向其他人宣講
[00:04:27.520 --> 00:04:29.640]  在這裏
[00:04:29.640 --> 00:04:33.400]  耶穌見到這兩個門徒的時候
[00:04:33.400 --> 00:04:34.360]  就跟他們說
[00:04:34.360 --> 00:04:35.480]  他們兩個門徒
[00:04:35.480 --> 00:04:38.080]  面帶仇容
[00:04:38.080 --> 00:04:41.960]  面容上很憂愁
[00:04:41.960 --> 00:04:43.360]  為何憂愁呢
[00:04:43.360 --> 00:04:47.120]  因為他們心中有一個很大的期望
[00:04:47.120 --> 00:04:48.800]  耶穌來到了
[00:04:48.800 --> 00:04:52.280]  他要帶領我們以色列人
