
[00:00:00.000 --> 00:00:01.120]  在今天的崇拜裏
[00:00:01.120 --> 00:00:04.800]  我們一起用神的話互相勸勉
[00:00:04.800 --> 00:00:07.520]  就是我們剛才讀的聖經
[00:00:07.520 --> 00:00:09.640]  希伯來書第三章
[00:00:09.640 --> 00:00:13.160]  請我們一起打開希伯來書第三章
[00:00:13.160 --> 00:00:15.640]  如果大家是用唐用聖經的話
[00:00:15.640 --> 00:00:19.320]  是唐用聖經的一千八百一十四頁
[00:00:19.320 --> 00:00:21.280]  一八一四
[00:00:21.280 --> 00:00:24.080]  希伯來書第三章
[00:00:24.080 --> 00:00:29.560]  我們剛才讀的經文是由第七節讀到第十九節
[00:00:29.560 --> 00:00:34.680]  讀的時候不知道大家有沒有留意
[00:00:34.680 --> 00:00:38.680]  這段聖經其實是好像三文治一樣
[00:00:38.680 --> 00:00:40.360]  前面那一段
[00:00:40.360 --> 00:00:43.840]  第一節一直到第十一節
[00:00:43.840 --> 00:00:47.440]  主要都是講到以色列人在曠野
[00:00:47.440 --> 00:00:51.120]  回顧當時他們所做的事情
[00:00:51.120 --> 00:00:53.760]  和神對他們的態度
[00:00:53.760 --> 00:00:58.080]  然後第十六節開始一直到第十九節
[00:00:58.080 --> 00:01:03.600]  又是講述以色列人在當時出埃及在曠野的日子
[00:01:03.600 --> 00:01:06.280]  中間當然最重要
[00:01:06.280 --> 00:01:08.440]  就是包括了聖經神的話
[00:01:08.440 --> 00:01:10.920]  希伯來書作者的呼籲
[00:01:10.920 --> 00:01:13.000]  第十二節到第十四節
[00:01:13.000 --> 00:01:16.000]  那裏說弟兄們我們要小心
[00:01:16.000 --> 00:01:19.320]  免得中間有人傳著邪惡不信的心
[00:01:19.320 --> 00:01:21.680]  以致離開了永活的神
[00:01:21.680 --> 00:01:24.760]  趁著還有叫做今天的時候
[00:01:24.760 --> 00:01:27.880]  總要天天互相勸勉
[00:01:27.880 --> 00:01:31.240]  免得中間有人受了罪惡的引誘
[00:01:31.240 --> 00:01:33.320]  心裏面就剛硬
