
[00:00:00.000 --> 00:00:02.000]  我們今天思想的講題是
[00:00:02.000 --> 00:00:04.000]  只靠基督
[00:00:04.000 --> 00:00:06.000]  持定基督
[00:00:06.000 --> 00:00:10.000]  很特別,這個題目重覆了基督這個字兩次
[00:00:10.000 --> 00:00:12.000]  為什麼呢?
[00:00:12.000 --> 00:00:15.000]  答案就要看回今天我們所讀的聖經了
[00:00:15.000 --> 00:00:22.000]  就是新約的哥羅西書的第二章六至到第十九節
[00:00:22.000 --> 00:00:26.000]  哥羅西書的第二章第六至到第十九節
[00:00:26.000 --> 00:00:32.000]  在大家的唐用聖經新約的二百二十一頁
[00:00:32.000 --> 00:00:35.000]  新約的二百二十一頁
[00:00:35.000 --> 00:00:37.000]  北宣家的弟兄姊妹都知道
[00:00:37.000 --> 00:00:41.000]  我多數都會用這個新譯本來講的
[00:00:41.000 --> 00:00:45.000]  所以我引述的聖經我就不講新譯本這樣講和合本這樣講
[00:00:45.000 --> 00:00:47.000]  無謂這麼複雜
[00:00:47.000 --> 00:00:50.000]  如果你發覺我讀的那段聖經有一點不同
[00:00:50.000 --> 00:00:52.000]  和你手上那本和合本不同
[00:00:52.000 --> 00:00:54.000]  不要緊,對照就可以了
[00:00:54.000 --> 00:00:57.000]  如果你手上有和合本的話,就打開和合本
[00:00:57.000 --> 00:01:00.000]  如果是新譯本的話,可以打開新譯本
[00:01:00.000 --> 00:01:04.000]  為什麼要講只靠基督,持定基督呢?
[00:01:04.000 --> 00:01:06.000]  答案很簡單
[00:01:06.000 --> 00:01:10.000]  因為唯有在基督裡面
[00:01:10.000 --> 00:01:16.000]  我們才有真正豐盛的生命
[00:01:16.000 --> 00:01:18.000]  豐盛的生命
[00:01:18.000 --> 00:01:22.000]  可以看得出第九節,第十節
[00:01:22.000 --> 00:01:24.000]  重複了兩次
[00:01:24.000 --> 00:01:26.000]  第九節說
[00:01:26.000 --> 00:01:31.000]  因為神一切本性裡面的豐盛
[00:01:31.000 --> 00:01:33.000]  有形有體的
[00:01:33.000 --> 00:01:36.000]  在基督裡面
[00:01:36.000 --> 00:01:40.000]  那位宇宙的主宰種有一切的豐富
[00:01:40.000 --> 00:01:43.000]  在基督裡面有了
[00:01:43.000 --> 00:01:45.000]  還沒講完,第十節
[00:01:45.000 --> 00:01:48.000]  接著說,你們,即是你和我
[00:01:48.000 --> 00:01:51.000]  在基督裡面的時候
[00:01:51.000 --> 00:01:55.000]  也得到豐盛
[00:01:55.000 --> 00:01:56.000]  第二次再說
[00:01:56.000 --> 00:01:59.000]  即是說,神的一切豐盛在基督裡面
[00:01:59.000 --> 00:02:01.000]  然後我們在基督裡面的時候
[00:02:01.000 --> 00:02:04.000]  得到神一切的豐盛
[00:02:04.000 --> 00:02:06.000]  這個豐盛就不單單再屬於神
[00:02:06.000 --> 00:02:10.000]  而是屬於你和我的人生
[00:02:10.000 --> 00:02:13.000]  你說是不是一個很重要的消息呢?
[00:02:13.000 --> 00:02:17.000]  我們有豐盛的生命,唯有在基督裡面才有
[00:02:17.000 --> 00:02:19.000]  所以我們要回歸基督
[00:02:19.000 --> 00:02:21.000]  作為我們生命的核心
[00:02:21.000 --> 00:02:23.000]  這個就是今天我們的主題
[00:02:23.000 --> 00:02:27.000]  那究竟基督給我們的豐盛的生命
[00:02:27.000 --> 00:02:29.000]  是怎樣豐盛的生命呢?
[00:02:29.000 --> 00:02:31.000]  第六節和第七節
[00:02:31.000 --> 00:02:33.000]  保羅就說得很清楚了
[00:02:33.000 --> 00:02:35.000]  原來他告訴我們
[00:02:35.000 --> 00:02:38.000]  我們接受了耶穌基督之後
[00:02:38.000 --> 00:02:43.000]  就要繼續在他裡面行事為人,生活
[00:02:43.000 --> 00:02:47.000]  中文聖經無論和合本身也不能夠譯出味道
[00:02:47.000 --> 00:02:51.000]  那裏原文有個continue這個字
[00:02:51.000 --> 00:02:53.000]  意思就是說
[00:02:53.000 --> 00:02:55.000]  你們信耶穌了嗎?
