
[00:00:00.000 --> 00:00:06.000]  這段日子大家記得我們在教會裏面有一個詭題
[00:00:06.000 --> 00:00:10.000]  在崇拜裏面我們提及到有關於教會的訊息
[00:00:10.000 --> 00:00:12.000]  彼此相愛的訊息
[00:00:12.000 --> 00:00:16.000]  我們就說教會是我家
[00:00:16.000 --> 00:00:21.000]  守望你我他
[00:00:21.000 --> 00:00:24.000]  教會是我們屬靈的家
[00:00:24.000 --> 00:00:26.000]  守望你我他
[00:00:26.000 --> 00:00:29.000]  當你讀到很多主耶穌的教訓的時候
[00:00:29.000 --> 00:00:31.000]  你會很清楚看到
[00:00:31.000 --> 00:00:37.000]  主的心意是讓他的教會成為你和我成長的地方
[00:00:37.000 --> 00:00:40.000]  神的心意是讓教會成為
[00:00:40.000 --> 00:00:44.000]  叫我們得保守、得幫助的地方
[00:00:44.000 --> 00:00:47.000]  當教會裏面有人有軟弱
[00:00:47.000 --> 00:00:49.000]  有些時候甚至跌倒的時候
[00:00:49.000 --> 00:00:51.000]  聖經就很清楚地表達
[00:00:51.000 --> 00:00:53.000]  我們在過程當中
[00:00:53.000 --> 00:00:58.000]  這些弟兄姊妹可以得到別人的幫助
[00:00:58.000 --> 00:01:01.000]  得到挽回、得到重建
[00:01:01.000 --> 00:01:05.000]  這是主對教會的心意
[00:01:05.000 --> 00:01:08.000]  我記得早幾年、早兩年
[00:01:08.000 --> 00:01:11.000]  有一群在香港的教徒學者
[00:01:11.000 --> 00:01:13.000]  他們做了一個研究
[00:01:13.000 --> 00:01:16.000]  他們做了一個研究就是研究很多的教徒
[00:01:16.000 --> 00:01:19.000]  在甚麼原因之下會離開信仰
[00:01:19.000 --> 00:01:21.000]  他們分析了很多不同的原因
[00:01:21.000 --> 00:01:23.000]  做了很多統計
[00:01:23.000 --> 00:01:25.000]  其中一點他們發現就是
[00:01:25.000 --> 00:01:31.000]  如果是平時沒有參與教會崇拜聚會的教徒
[00:01:31.000 --> 00:01:37.000]  比起經常有回教會崇拜聚會的教徒
[00:01:37.000 --> 00:01:46.000]  前者他們離開信仰的機會比後者高6.5倍
[00:01:46.000 --> 00:01:47.000]  如果平時是教徒
[00:01:47.000 --> 00:01:52.000]  但不願意和其他信徒有聚會、有崇拜
[00:01:52.000 --> 00:01:56.000]  他們跌倒的機會高6.5倍
[00:01:56.000 --> 00:01:59.000]  我看到這個報告的時候也有些驚訝
[00:01:59.000 --> 00:02:02.000]  也都在體會到上帝的心意
[00:02:02.000 --> 00:02:05.000]  是讓我們在神的家當中
[00:02:05.000 --> 00:02:07.000]  可以互相的堅固
[00:02:07.000 --> 00:02:10.000]  可以堅定地跟隨上帝
[00:02:10.000 --> 00:02:11.000]  在教會裏面
[00:02:11.000 --> 00:02:13.000]  當我們有些時候會看到
[00:02:13.000 --> 00:02:16.000]  有些弟兄姊妹軟弱跌倒
[00:02:16.000 --> 00:02:18.000]  師兄就提醒我們要留意
[00:02:18.000 --> 00:02:21.000]  不單是當是他們的事情
[00:02:21.000 --> 00:02:24.000]  而是真的知道他們是我們的弟兄、我們的姊妹
[00:02:24.000 --> 00:02:27.000]  要留心去挽回他們
[00:02:27.000 --> 00:02:29.000]  因此《馬太福音》第十八章
[00:02:29.000 --> 00:02:32.000]  就講述了主對我們這方面的教導
[00:02:32.000 --> 00:02:34.000]  你見到一開始的時候
[00:02:34.000 --> 00:02:40.000]  主耶穌所說的話的對象是一班門徒
[00:02:40.000 --> 00:02:41.000]  所以第十八章第一節就說
[00:02:41.000 --> 00:02:45.000]  「那時門徒前來問耶穌一些問題」
[00:02:45.000 --> 00:02:48.000]  然後主一路講解有關的道理
[00:02:48.000 --> 00:02:51.000]  然後去到聖經第十八章第十節
[00:02:51.000 --> 00:02:53.000]  主耶穌就提到
[00:02:53.000 --> 00:02:57.000]  你們要小心不要輕視小弟兄中的一個
[00:02:57.000 --> 00:03:01.000]  那些好像被人看為不起眼
[00:03:01.000 --> 00:03:05.000]  好像在社會角度上看沒有什麼特別地位的人
[00:03:05.000 --> 00:03:07.000]  所以說你要留心
[00:03:07.000 --> 00:03:09.000]  不要輕視他們
[00:03:09.000 --> 00:03:11.000]  如果他們當中有一些人
[00:03:11.000 --> 00:03:13.000]  他們是離開了
[00:03:13.000 --> 00:03:17.000]  下面十二節就提到一個一百隻羊
[00:03:17.000 --> 00:03:19.000]  九十九隻留下
[00:03:19.000 --> 00:03:22.000]  一隻迷失了的一個比喻
[00:03:22.000 --> 00:03:25.000]  大家會記得這個比喻
[00:03:25.000 --> 00:03:29.000]  也記得聖經有兩處地方曾經提及這個比喻
[00:03:29.000 --> 00:03:32.000]  第一處地方在《路加福音》第十五章
[00:03:32.000 --> 00:03:35.000]  但當中所說的迷羊
[00:03:35.000 --> 00:03:37.000]  是說一些未曾信主的
[00:03:37.000 --> 00:03:39.000]  在最終的人
[00:03:39.000 --> 00:03:41.000]  但這一段經文在《馬太福音》第十八章
[00:03:41.000 --> 00:03:43.000]  提及羊的時候
[00:03:43.000 --> 00:03:46.000]  聖經所說的是在教會裡
[00:03:46.000 --> 00:03:48.000]  屬於神的人
[00:03:48.000 --> 00:03:52.000]  所以你看到在第十四節
[00:03:52.000 --> 00:03:55.000]  就提到照樣你們在天上的父
[00:03:55.000 --> 00:03:58.000]  是不願意這些小弟兄中
[00:03:58.000 --> 00:04:00.000]  有一個失喪的
[00:04:00.000 --> 00:04:04.000]  是說那些曾經在主裡面
[00:04:04.000 --> 00:04:05.000]  是屬神的人
[00:04:05.000 --> 00:04:07.000]  但他們迷失了
[00:04:07.000 --> 00:04:09.000]  離開了
[00:04:09.000 --> 00:04:12.000]  但主很清楚地去吩咐我們
[00:04:12.000 --> 00:04:16.000]  要留心將他們尋找回來
[00:04:16.000 --> 00:04:19.000]  因為主很重視他們
[00:04:19.000 --> 00:04:22.000]  很重視他們的生命
[00:04:22.000 --> 00:04:24.000]  因此一路地表達出
[00:04:24.000 --> 00:04:30.000]  你們要尋找這些迷失了的弟兄
[00:04:30.000 --> 00:04:33.000]  然後接著去到第十五節的時候
[00:04:33.000 --> 00:04:34.000]  有一些弟兄姐妹
[00:04:34.000 --> 00:04:36.000]  沒錯他們仍然在教會裡
[00:04:36.000 --> 00:04:38.000]  沒有離開神的家
[00:04:38.000 --> 00:04:41.000]  但他們犯了罪
[00:04:41.000 --> 00:04:43.000]  你和我都要留意
[00:04:43.000 --> 00:04:45.000]  去將他們挽回過來
[00:04:45.000 --> 00:04:48.000]  因此接著主再說到
[00:04:48.000 --> 00:04:51.000]  我們怎樣來挽回他們
[00:04:51.000 --> 00:04:53.000]  所以一開始在十五節
[00:04:53.000 --> 00:04:55.000]  主就直接說
[00:04:55.000 --> 00:04:58.000]  如果你的弟兄犯了罪
[00:04:58.000 --> 00:05:00.000]  或者說得罪你
[00:05:00.000 --> 00:05:03.000]  你就趁著和他單獨在一起的時候
[00:05:03.000 --> 00:05:06.000]  要去指出他的過失來
