
[00:00:00.000 --> 00:00:02.000]  地球姐妹平安
[00:00:02.000 --> 00:00:04.000]  我們一同低頭禱告
[00:00:04.000 --> 00:00:07.000]  願我們口中的言語
[00:00:07.000 --> 00:00:09.000]  心中的意念
[00:00:09.000 --> 00:00:12.000]  都能夠得蒙上主的喜悅
[00:00:12.000 --> 00:00:14.000]  也願我們能夠聆聽
[00:00:14.000 --> 00:00:15.000]  能夠遵行
[00:00:15.000 --> 00:00:17.000]  能夠討你的願
[00:00:17.000 --> 00:00:19.000]  願你繼續有我們同在
[00:00:19.000 --> 00:00:21.000]  保守我們以下的時間
[00:00:21.000 --> 00:00:23.000]  我們這樣在你面前的禱告
[00:00:23.000 --> 00:00:26.000]  祈求奉耶穌基督聖名
[00:00:28.000 --> 00:00:32.000]  有一句話要送給大家的
[00:00:32.000 --> 00:00:35.000]  這句話是什麼呢
[00:00:35.000 --> 00:00:37.000]  第一 身體好
[00:00:37.000 --> 00:00:40.000]  跟我講 身體好
[00:00:40.000 --> 00:00:42.000]  心情好
[00:00:42.000 --> 00:00:45.000]  平平安安
[00:00:45.000 --> 00:00:48.000]  快快樂樂
[00:00:48.000 --> 00:00:50.000]  活到老
[00:00:50.000 --> 00:00:53.000]  請你對你旁邊的人來祝福他一下
[00:00:53.000 --> 00:00:56.000]  來 身體好
[00:00:56.000 --> 00:00:58.000]  身體好 心情好
[00:00:58.000 --> 00:01:00.000]  平平安安
[00:01:00.000 --> 00:01:02.000]  快快樂樂
[00:01:02.000 --> 00:01:04.000]  活到老
[00:01:04.000 --> 00:01:10.000]  弟兄姊妹你們覺得
[00:01:10.000 --> 00:01:14.000]  這是一個很大的心理的掙扎
[00:01:14.000 --> 00:01:16.000]  能不能平平安安
[00:01:16.000 --> 00:01:18.000]  快快樂樂
[00:01:18.000 --> 00:01:22.000]  或者你再加入開開心心
[00:01:22.000 --> 00:01:25.000]  能夠活得好呢
[00:01:25.000 --> 00:01:26.000]  我想問大家
[00:01:26.000 --> 00:01:29.000]  如果上帝有機會讓你活到幾歲
[00:01:29.000 --> 00:01:31.000]  你想活幾歲
[00:01:31.000 --> 00:01:34.000]  你們有沒有想過
[00:01:34.000 --> 00:01:36.000]  神若許可
[00:01:36.000 --> 00:01:38.000]  你想活幾歲
[00:01:38.000 --> 00:01:41.000]  我們要不要統計一下
[00:01:41.000 --> 00:01:44.000]  八十 有沒有
[00:01:44.000 --> 00:01:47.000]  有 九十有嗎
[00:01:47.000 --> 00:01:49.000]  一百呢
[00:01:49.000 --> 00:01:53.000]  一百二
[00:01:53.000 --> 00:01:55.000]  其實在這個問題上
[00:01:55.000 --> 00:01:56.000]  我們有很多的掙扎
[00:01:56.000 --> 00:01:58.000]  為什麼掙扎呢
[00:01:58.000 --> 00:02:00.000]  因為我們生活的世界
[00:02:00.000 --> 00:02:02.000]  跟我們信仰的世界
[00:02:02.000 --> 00:02:05.000]  差距很遠
[00:02:05.000 --> 00:02:07.000]  我們身體好
[00:02:07.000 --> 00:02:10.000]  還有呢 心情要好
[00:02:10.000 --> 00:02:12.000]  有人就做了一個解釋
[00:02:12.000 --> 00:02:14.000]  一個人離開公司
[00:02:14.000 --> 00:02:15.000]  離開任何的地方
[00:02:15.000 --> 00:02:17.000]  其實就講兩個因素
[00:02:17.000 --> 00:02:19.000]  第一 心情
[00:02:19.000 --> 00:02:22.000]  第二個叫薪水
[00:02:22.000 --> 00:02:24.000]  心情不好 薪水又不好
[00:02:24.000 --> 00:02:27.000]  請問會不會離開
[00:02:27.000 --> 00:02:30.000]  會的 你還想開開心心活到老
[00:02:30.000 --> 00:02:32.000]  不可能
[00:02:32.000 --> 00:02:33.000]  你明白嗎
[00:02:33.000 --> 00:02:34.000]  所以我們特別來看
[00:02:34.000 --> 00:02:36.000]  其實我們在這個世界當中
[00:02:36.000 --> 00:02:38.000]  有很多的掙扎
[00:02:38.000 --> 00:02:41.000]  但信仰給我們一個很重要的東西
[00:02:41.000 --> 00:02:44.000]  我們能夠在這樣的一個環境裡面
[00:02:44.000 --> 00:02:47.000]  活出上帝的美好
[00:02:47.000 --> 00:02:50.000]  活出上帝的喜樂
[00:02:50.000 --> 00:02:52.000]  我有一個好朋友
[00:02:52.000 --> 00:02:54.000]  你知道在八九十年代
[00:02:54.000 --> 00:02:57.000]  要去跑業務
