
[00:00:00.000 --> 00:00:01.200]  我們再看回《聖經》
[00:00:01.200 --> 00:00:02.700]  我們一起思想
[00:00:02.700 --> 00:00:04.900]  《聖經》裏面被我們的教導
[00:00:04.900 --> 00:00:06.700]  既然成為神的兒女
[00:00:06.700 --> 00:00:09.580]  我們就應當彼此的相愛
[00:00:09.580 --> 00:00:12.540]  在《英文》一書第三章的經文
[00:00:12.540 --> 00:00:15.340]  大家都會知道在《英文》一書裏面
[00:00:15.340 --> 00:00:17.840]  在第一第二章有提到
[00:00:17.840 --> 00:00:20.420]  這位上帝是光
[00:00:20.420 --> 00:00:22.020]  祂是永恆的光
[00:00:22.020 --> 00:00:24.560]  在祂裏面是沒有黑暗的
[00:00:24.560 --> 00:00:27.420]  而《聖經》去到第三到第五章的時候
[00:00:27.420 --> 00:00:30.760]  特別就提及到神是愛
[00:00:30.760 --> 00:00:33.060]  而既然我們是神的兒女
[00:00:33.060 --> 00:00:35.560]  我們都應當按照神
[00:00:35.560 --> 00:00:37.500]  祂的生命的榜樣
[00:00:37.500 --> 00:00:40.300]  來行出愛的生活
[00:00:40.300 --> 00:00:41.180]  當你讀《聖經》的時候
[00:00:41.180 --> 00:00:43.140]  你會發覺《聖經》講到彼此相愛
[00:00:43.140 --> 00:00:44.780]  一開始就提到
[00:00:44.780 --> 00:00:46.620]  這種的相愛生活
[00:00:46.620 --> 00:00:49.120]  是神對人的吩咐
[00:00:49.120 --> 00:00:54.080]  所以你先看第三章第十一節
[00:00:54.080 --> 00:00:55.960]  三章第十一節
[00:00:55.960 --> 00:00:58.760]  我們應當彼此相愛
[00:00:58.760 --> 00:01:03.160]  因為這是你們從起初聽見的訊息
[00:01:03.160 --> 00:01:05.860]  意思是一種命令
[00:01:05.860 --> 00:01:07.360]  神命令我們
[00:01:07.360 --> 00:01:10.840]  屬神的人彼此相愛
[00:01:10.840 --> 00:01:12.600]  亦都讓我們知道
[00:01:12.600 --> 00:01:14.540]  從最初到現在
[00:01:14.540 --> 00:01:17.240]  這個命令是沒有改變的
