
[00:00:00.000 --> 00:00:02.720]  一切都是他所賜的
[00:00:02.720 --> 00:00:04.720]  是我們今天講到的題目
[00:00:04.720 --> 00:00:08.080]  大家都會明白很多時候
[00:00:08.080 --> 00:00:10.080]  當我們遇到困難
[00:00:10.080 --> 00:00:13.080]  或者人生某一些低沉的時候
[00:00:13.080 --> 00:00:15.080]  我們會更加一種警覺
[00:00:15.080 --> 00:00:16.080]  要祈禱
[00:00:16.080 --> 00:00:17.480]  要倚靠神
[00:00:17.480 --> 00:00:19.480]  要仰望祂
[00:00:19.480 --> 00:00:21.480]  但是有些時候蒙恩
[00:00:21.480 --> 00:00:23.480]  生活比較順暢
[00:00:23.480 --> 00:00:25.480]  甚至豐盛的時候
[00:00:25.480 --> 00:00:28.000]  確是容易會忘記了神
[00:00:28.000 --> 00:00:31.000]  容易跌入一個試探裡面
[00:00:31.000 --> 00:00:33.000]  是什麼試探呢?
[00:00:33.000 --> 00:00:35.000]  就是驕傲的試探
[00:00:35.000 --> 00:00:37.000]  所以你知道在聖經裡面
[00:00:37.000 --> 00:00:39.000]  有很多經文常常勉勵神的子民
[00:00:39.000 --> 00:00:43.000]  要留心保守自己向神謙卑的心
[00:00:43.000 --> 00:00:45.000]  《新命紀》第八章
[00:00:45.000 --> 00:00:47.000]  你記得當時摩西向一班
[00:00:47.000 --> 00:00:50.000]  將會進入迦南地的以色列人說
[00:00:50.000 --> 00:00:52.000]  他們要留心
[00:00:52.000 --> 00:00:54.000]  當你們去到應許之地
[00:00:54.000 --> 00:00:56.000]  領受一切的豐盛的時候
[00:00:56.000 --> 00:00:58.000]  如果你牛羊增加
[00:00:58.000 --> 00:01:00.000]  金銀增添
[00:01:00.000 --> 00:01:02.000]  你就要小心
[00:01:02.000 --> 00:01:05.000]  不要心高氣傲
[00:01:05.000 --> 00:01:07.000]  以為這一切貨財
[00:01:07.000 --> 00:01:11.000]  是憑我的能力自己來得取的
[00:01:11.000 --> 00:01:12.000]  不要忘記
[00:01:12.000 --> 00:01:14.000]  你是從埃及圍爐之地
[00:01:14.000 --> 00:01:17.000]  神將你帶領出來
[00:01:17.000 --> 00:01:19.000]  不要忘記我們以前
[00:01:19.000 --> 00:01:21.000]  未信主之前是怎樣的
[00:01:21.000 --> 00:01:25.000]  今天神將你從塵埃當中提拔出來
[00:01:25.000 --> 00:01:28.000]  給你有生命的盼望
[00:01:28.000 --> 00:01:30.000]  給你各樣的恩惠
[00:01:30.000 --> 00:01:32.000]  聖經就說
[00:01:32.000 --> 00:01:34.000]  不要以為得貨財
[00:01:34.000 --> 00:01:35.000]  得金錢
[00:01:35.000 --> 00:01:36.000]  得資源的力量
[00:01:36.000 --> 00:01:39.000]  是你自己的
[00:01:39.000 --> 00:01:42.000]  聖經當時摩西提醒一班的以色列人
[00:01:42.000 --> 00:01:43.000]  要記得
[00:01:43.000 --> 00:01:45.000]  你得貨財的能力
[00:01:45.000 --> 00:01:48.000]  是神賜給你的
[00:01:48.000 --> 00:01:49.000]  是上帝給你
[00:01:49.000 --> 00:01:52.000]  以至你有今天的豐富
[00:01:52.000 --> 00:01:54.000]  是上帝賜恩給伯孫家
[00:01:54.000 --> 00:01:57.000]  以至我們今天有這種的豐富
[00:01:57.000 --> 00:01:59.000]  但其中上上互相提醒
[00:01:59.000 --> 00:02:01.000]  我們不要驕傲
[00:02:01.000 --> 00:02:03.000]  在當中保持謙卑的心靈
[00:02:03.000 --> 00:02:07.000]  能夠領受神繼續要給我們的恩惠
[00:02:07.000 --> 00:02:08.000]  我們上上說
[00:02:08.000 --> 00:02:10.000]  謙卑是甚麼呢?
[00:02:10.000 --> 00:02:13.000]  謙卑就是容量
[00:02:13.000 --> 00:02:15.000]  在你心裏面有容量
[00:02:15.000 --> 00:02:18.000]  可以繼續再承受恩惠
[00:02:18.000 --> 00:02:22.000]  驕傲的人已經充塞著自我
[00:02:22.000 --> 00:02:26.000]  沒有空間可以再容納新的恩典
[00:02:26.000 --> 00:02:29.000]  伯孫同樣求神賜給我們容量
[00:02:29.000 --> 00:02:33.000]  可以繼續領受神給我們的恩惠
