
[00:00:00.000 --> 00:00:24.000]  各位弟兄姊妹,在今年的五月,我有機會到南韓的漢城去,參加之後兩千年菩薩佈道會議,
[00:00:24.000 --> 00:00:36.000]  在那個禮拜的中間,一個禮拜六的晚上,在一個禮拜六的晚上,在奧林匹克運動場,在奧林匹克運動場,
[00:00:36.000 --> 00:00:48.000]  舉行了一個大學生的猜拳聚會,舉行了一個大學生的猜拳聚會,那天晚上有八萬的大學生參加那個聚會,
[00:00:48.000 --> 00:01:00.000]  那天晚上有八萬的大學生參加那個聚會,那個聚會的重點就是菩薩傳福音,
[00:01:00.000 --> 00:01:10.000]  韓國的大學生,他們表現了很強烈的使命感,
[00:01:10.000 --> 00:01:19.000]  我聽說在去年,也是在奧林匹克運動場舉行一個青年的聚會,
[00:01:19.000 --> 00:01:33.000]  在奧林匹克場舉行一個青年的聚會,有十萬人參加,其中有一萬他們奉獻自己做宣教士,
[00:01:33.000 --> 00:01:43.000]  這真是震動了韓國,我相信也震動了世界,
[00:01:43.000 --> 00:01:53.000]  在教會的歷史裏面,在教會的歷史裏面,十九世紀末年和二十世紀初年的那個二十年當中,
[00:01:53.000 --> 00:02:03.000]  在十九世紀末到二十世紀初的那二十幾年裏面,有所謂學生做宣教士的運動,
[00:02:03.000 --> 00:02:15.000]  有所謂學生做宣教士的運動,叫做Student Volunteer Movement,有九千大學畢業生獻身做宣教士,
[00:02:15.000 --> 00:02:30.000]  有九千大學畢業生獻身做宣教士,成為猜拳歷史裏面非常動人的一頁,感謝主,在二十世紀的今天,
[00:02:30.000 --> 00:02:42.000]  在二十世紀的今天,我們又看見聖靈照樣的工作,不斷地感動,服侍好些國家的青年人,
[00:02:42.000 --> 00:02:52.000]  不斷地感動,服侍好些國家的青年人,興起來奉獻自己,到世界各地各方去傳福音,
[00:02:52.000 --> 00:03:02.000]  到世界各地各方去傳福音,我們也感受到,神在香港也在工作,
[00:03:02.000 --> 00:03:16.000]  我們也求神在香港繼續興起更多的宣教士,今天早上,有一位弟兄打電話給我,
[00:03:16.000 --> 00:03:24.000]  有一位弟兄打電話給我,他說想跟我談一談一件事,我說什麼事?
[00:03:24.000 --> 00:03:33.000]  就是他有感動要到南美洲去做宣教士,
[00:03:33.000 --> 00:03:41.000]  我好多次好多次接觸到這樣的青年人,
[00:03:41.000 --> 00:03:50.000]  我們為了基督的國度來獻身,來把自己擺上,
[00:03:50.000 --> 00:04:02.000]  我們投入主的旗下,來跟從祂,為基督的國度打美好的仗,
[00:04:02.000 --> 00:04:11.000]  今天晚上我們要看國度的基本原則,
[00:04:11.000 --> 00:04:19.000]  我們的經文都在《馬太福音》裏面,在《馬太福音》裏面記載,
[00:04:19.000 --> 00:04:28.000]  主耶穌所講關於天國的十八個比喻,
[00:04:28.000 --> 00:04:40.000]  從這十八個比喻裏面,我們可以歸納出來七個基本的原則,
[00:04:40.000 --> 00:04:50.000]  這七個原則可以幫助我們了解國度的基本的意義,
[00:04:50.000 --> 00:04:54.000]  我們是屬於這個國度的,
[00:04:54.000 --> 00:05:04.000]  我們願意很徹底的清楚的了解國度的基本原則,
[00:05:04.000 --> 00:05:11.000]  第一個基本的原則是恩典的原則,
[00:05:11.000 --> 00:05:18.000]  請大家翻到《馬太福音》二十二章,
[00:05:18.000 --> 00:05:21.000]  第一節到十四節,
[00:05:21.000 --> 00:05:23.000]  第一節到十四節,
[00:05:23.000 --> 00:05:25.000]  耶穌又用比喻對他們說,
[00:05:25.000 --> 00:05:29.000]  天國好比一個王為他兒子擺設娶親的賢侄,
[00:05:29.000 --> 00:05:34.000]  就打發僕人去請那些被召的人來付席,
[00:05:34.000 --> 00:05:35.000]  他們卻不肯來,
[00:05:35.000 --> 00:05:37.000]  王又打發別的僕人說,
[00:05:37.000 --> 00:05:42.000]  你們告訴那被召的人,我的賢侄已經預備好了,
[00:05:42.000 --> 00:05:45.000]  牛和肥粥已經載了,
[00:05:45.000 --> 00:05:48.000]  各樣都齊備,請你們來付席,
[00:05:48.000 --> 00:05:50.000]  那些人不理就走了。
[00:05:50.000 --> 00:05:53.000]  一個到自己錢裡去,一個做買賣去,
[00:05:53.000 --> 00:05:57.000]  其餘的拿著僕人凌辱他們,把他們殺了。
[00:05:57.000 --> 00:06:00.000]  王就大怒發兵除滅那些兇手,
[00:06:00.000 --> 00:06:01.000]  燒毀他們的城,
[00:06:01.000 --> 00:06:03.000]  於是對僕人說,
[00:06:03.000 --> 00:06:05.000]  豈然已經齊備,
[00:06:05.000 --> 00:06:07.000]  只是所召的人不配,
[00:06:07.000 --> 00:06:10.000]  所以你們要往叉路口上去,
[00:06:10.000 --> 00:06:13.000]  凡遇見的都照來付席,
[00:06:13.000 --> 00:06:15.000]  那些僕人就出去,
[00:06:15.000 --> 00:06:20.000]  到大路上,凡遇見的,不論善惡都照序了來,
[00:06:20.000 --> 00:06:22.000]  現席上就坐滿了客,
[00:06:22.000 --> 00:06:24.000]  王進來觀看賓客,
[00:06:24.000 --> 00:06:27.000]  見那裡有一個沒有穿禮服的,
[00:06:27.000 --> 00:06:28.000]  就對他說,
[00:06:28.000 --> 00:06:32.000]  朋友,你到這裡來怎麼不穿禮服呢?
[00:06:32.000 --> 00:06:33.000]  那人無言可答,
[00:06:33.000 --> 00:06:35.000]  於是王對使喚的人說,
[00:06:35.000 --> 00:06:37.000]  捆起他的手腳來,
[00:06:37.000 --> 00:06:39.000]  把雕在外邊的黑暗裡,
[00:06:39.000 --> 00:06:41.000]  在那裡必要哀哭切齒了,
[00:06:41.000 --> 00:06:44.000]  因為被召的人多,損傷的人少。
