
[00:00:00.000 --> 00:00:02.160]  為何同樣是基督徒
[00:00:02.160 --> 00:00:05.320]  但當面對聖經或社會議題時
[00:00:05.320 --> 00:00:07.600]  可以有不同的看法呢?
[00:00:07.600 --> 00:00:10.320]  而當他們遇到這些分歧時
[00:00:10.320 --> 00:00:12.320]  我們又應該怎樣處理呢?
[00:00:12.320 --> 00:00:14.320]  大家好,我是Daniel
[00:00:14.320 --> 00:00:17.080]  今天想跟大家分享一本書
[00:00:17.080 --> 00:00:19.560]  書名叫Essentials
[00:00:19.560 --> 00:00:22.280]  A Liberal Evangelical Dialogue
[00:00:22.280 --> 00:00:24.280]  當代神學對話
[00:00:24.280 --> 00:00:31.000]  這本書正正是示範了兩個神學立場完全不同的屬靈領袖
[00:00:31.000 --> 00:00:34.720]  他們如何坐下來進行一場神學對話
[00:00:34.720 --> 00:00:37.920]  這本書出版於1988年
[00:00:37.920 --> 00:00:45.240]  當時的時代背景是當福音派在1974年落喪會議之後
[00:00:45.240 --> 00:00:48.720]  在全球發展得非常蓬勃
[00:00:48.720 --> 00:00:52.560]  亦很積極地回應社會的責任
[00:00:52.560 --> 00:00:54.560]  這本書的兩位作者
[00:00:54.560 --> 00:01:02.600]  一位是代表所謂自由派Liberal的英國聖公會牧師David Edwards
[00:01:02.600 --> 00:01:05.000]  另一位相信大家都非常熟悉
[00:01:05.000 --> 00:01:09.280]  就是代表福音派Evangelical的John Stott 斯托德牧師
[00:01:09.280 --> 00:01:11.680]  為何會有這場對話呢?
[00:01:11.680 --> 00:01:17.120]  事緣其實是David Edwards作為一位所謂自由派的學者
[00:01:17.120 --> 00:01:19.440]  見到福音派這麼復興
[00:01:19.440 --> 00:01:23.120]  覺得很好奇,當然他同時有很多質疑
[00:01:23.120 --> 00:01:27.760]  他主動向John Stott提起下一個戰書
[00:01:27.760 --> 00:01:29.760]  他想問一個問題
[00:01:29.760 --> 00:01:36.000]  究竟福音派要保守到甚麼程度才算忠於真理呢?
[00:01:36.000 --> 00:01:40.560]  所以他和John Stott有了這個對話
[00:01:40.560 --> 00:01:42.560]  成為了這本書
[00:01:42.560 --> 00:01:44.560]  這本書的設計其實是這樣的
[00:01:44.560 --> 00:01:49.760]  每一章都是由David Edwards首先提出一些讚賞和批評
[00:01:49.760 --> 00:01:52.720]  然後再由John Stott去回應
[00:01:52.720 --> 00:01:57.280]  事不宜遲,我們直接進入這本書的內容
[00:01:57.280 --> 00:02:00.000]  這本書是講甚麼的呢?
[00:02:00.000 --> 00:02:09.360]  首先他讓我們看到福音派和自由派真正的分歧在哪裏
[00:02:09.360 --> 00:02:16.400]  其實最大的分歧可能是對於聖經權威的態度
[00:02:16.400 --> 00:02:18.880]  David Edwards的邏輯就是
[00:02:18.880 --> 00:02:24.160]  聖經充滿了第一世紀的古代神話
[00:02:24.160 --> 00:02:27.040]  一些文化的偏見
[00:02:27.040 --> 00:02:31.520]  所以我們要運用現代人的理性和科學
[00:02:31.520 --> 00:02:34.480]  才可以剝開這些外衣
[00:02:34.480 --> 00:02:36.480]  這些神話和偏見的外衣
[00:02:36.480 --> 00:02:40.000]  才可以找到耶穌的精神
[00:02:40.000 --> 00:02:42.000]  John Stott怎樣回應呢?
[00:02:42.000 --> 00:02:44.960]  他就說福音派最核心的特質
[00:02:44.960 --> 00:02:49.680]  其實不是擁有一套完美無缺的神學公式
[00:02:49.680 --> 00:02:53.360]  而是聖經教導我們要一個降伏的靈
[00:02:53.360 --> 00:02:55.360]  Submissive Spirit
[00:02:55.360 --> 00:02:57.360]  John Stott就解釋
[00:02:57.360 --> 00:03:02.160]  我們相信聖經有一個雙重的作者
[00:03:02.160 --> 00:03:04.160]  Double Offership
[00:03:04.160 --> 00:03:08.160]  就是上帝透過人的理性
[00:03:08.160 --> 00:03:11.920]  透過人的心智去啟示他的真理
[00:03:11.920 --> 00:03:15.520]  既然耶穌在世上的時候
[00:03:15.520 --> 00:03:19.520]  他都是完全崇服在舊約聖經的權威裏面
[00:03:19.520 --> 00:03:23.360]  甚至是用聖經去抵擋魔鬼的試探
[00:03:23.360 --> 00:03:25.360]  我們作為耶穌的門徒
[00:03:25.360 --> 00:03:28.160]  就沒有理由高過我們的主
[00:03:28.160 --> 00:03:30.160]  所以他認為
[00:03:30.160 --> 00:03:36.560]  自由派將自己的理性放在聖經之上
[00:03:36.560 --> 00:03:39.600]  其實是不太好的
[00:03:39.600 --> 00:03:44.800]  福音派所做的就是將我們放在聖經之下
[00:03:44.800 --> 00:03:46.800]  受真理所約束
[00:03:46.800 --> 00:03:54.400]  第二,書裏特別呈現出來
[00:03:54.400 --> 00:03:58.320]  福音派其實不等於基要派
[00:03:58.320 --> 00:04:01.520]  福音派絕對不等於基因派
[00:04:01.520 --> 00:04:03.520]  在對話裏面
[00:04:03.520 --> 00:04:09.600]  David Edwards不斷覺得福音派很守舊、很反智
[00:04:09.600 --> 00:04:14.000]  John Stott其實是非常努力地澄清這個誤解
[00:04:14.000 --> 00:04:20.400]  他為了說明基要派、自由派和福音派的分別
[00:04:20.400 --> 00:04:22.400]  他舉了一個比喻
[00:04:22.400 --> 00:04:25.840]  他說基要派好像一隻籠中鳥
[00:04:25.840 --> 00:04:31.040]  將一些死板的字面解經或傳統
[00:04:31.040 --> 00:04:33.040]  關死了自己
[00:04:33.040 --> 00:04:35.040]  就飛不起來
[00:04:35.040 --> 00:04:40.000]  自由派就好像一個斷線的氣球
[00:04:40.000 --> 00:04:42.000]  雖然升得很高
[00:04:42.000 --> 00:04:44.000]  但因為沒有了聖經的真理
[00:04:44.000 --> 00:04:46.000]  就隨風飄流
[00:04:46.000 --> 00:04:48.000]  完全沒有方向
[00:04:48.000 --> 00:04:50.000]  他認為真正的福音派
