
[00:00:00.000 --> 00:00:10.700]  今天的信息的題目是「與主同釘十字架和背十字架」
[00:00:10.700 --> 00:00:19.700]  請大家一同翻到哥倫多前書第二章
[00:00:19.700 --> 00:00:25.900]  第二節:「因為我曾定了主意,在你們中間不知別的,
[00:00:25.900 --> 00:00:31.100]  只知道耶穌基督並他釘十字架。」這是保羅說的話
[00:00:31.100 --> 00:00:39.200]  他說他做了一個決定,不知道別的,
[00:00:39.200 --> 00:00:48.600]  單單知道主耶穌和他釘十字架,意思就是說
[00:00:48.600 --> 00:00:58.000]  他對一切講道的信息的中心就是基督的十字架
[00:00:58.000 --> 00:01:05.700]  這正是神的救恩的中心,十字架
[00:01:05.700 --> 00:01:12.700]  基督在十字架上為我們受死
[00:01:12.700 --> 00:01:19.200]  而我們又和基督同釘十字架
[00:01:19.200 --> 00:01:21.900]  主釘十字架
[00:01:21.900 --> 00:01:26.800]  這是十字架的客觀真理
[00:01:26.800 --> 00:01:32.000]  主在十字架上擔當我們的罪
[00:01:32.000 --> 00:01:36.400]  我們和主同釘十字架
[00:01:36.400 --> 00:01:40.500]  這是我們主觀的經驗
[00:01:40.500 --> 00:01:43.800]  這兩方面合在一起
[00:01:43.800 --> 00:01:49.700]  就是全被十字架的真理
[00:01:49.700 --> 00:01:52.900]  主為我們釘十字架
[00:01:52.900 --> 00:01:56.500]  這是救恩方面的真理
[00:01:56.500 --> 00:02:00.400]  我們與主同釘十字架
[00:02:00.400 --> 00:02:04.500]  這是靈性方面的真理
[00:02:04.500 --> 00:02:07.700]  主為我們釘十字架
[00:02:07.700 --> 00:02:11.000]  把我們的地位改變
[00:02:11.000 --> 00:02:14.300]  從定罪的地位
[00:02:14.300 --> 00:02:17.500]  改到清義的地位
[00:02:17.500 --> 00:02:21.200]  我們與主同釘十字架
[00:02:21.200 --> 00:02:26.000]  是生命本質的改變
[00:02:26.000 --> 00:02:28.100]  不再是我
[00:02:28.100 --> 00:02:30.400]  乃是基督
[00:02:30.400 --> 00:02:34.700]  這兩方面的真理一定要合起來
[00:02:34.700 --> 00:02:38.000]  每一個基督徒一定要接受
