
[00:00:00.000 --> 00:00:05.000]  如果大家有留意的話,會發現我這一年多以來,
[00:00:05.000 --> 00:00:10.000]  大部分時間講的都是《路加福音》。
[00:00:10.000 --> 00:00:15.000]  我們其實呢,福音書大家以為都是講故事啊,
[00:00:15.000 --> 00:00:20.000]  其實福音書是跟舊約新約都是連通的。
[00:00:20.000 --> 00:00:25.000]  如果他能夠我們更好地學習這個神的基本文本的話,
[00:00:25.000 --> 00:00:30.000]  對我們整個認識神的話語其實非常有幫助。
[00:00:30.000 --> 00:00:36.000]  這是話外題,那麼我先講講今天這段經文的話,
[00:00:36.000 --> 00:00:39.000]  是非常有趣的一段經文。
[00:00:39.000 --> 00:00:43.000]  最近我就跟幾個朋友一起吃飯,
[00:00:43.000 --> 00:00:48.000]  然後他們就聊起想生孩子的事情。
[00:00:48.000 --> 00:00:52.000]  那我就建議他們,想生孩子啊,
[00:00:52.000 --> 00:00:56.000]  你要預備什麼什麼什麼,要吃什麼什麼什麼。
[00:00:56.000 --> 00:01:00.000]  然後他們就用很懷疑的眼光看著我,
[00:01:00.000 --> 00:01:04.000]  說你一個男人又沒有生過孩子,
[00:01:04.000 --> 00:01:07.000]  怎麼懂得生孩子的事呢?
[00:01:07.000 --> 00:01:12.000]  那我就笑著說,我說很多婦產科醫生都是男人啊,
[00:01:12.000 --> 00:01:17.000]  他們也沒生過孩子,還不照樣可以幫人接生呢?
[00:01:17.000 --> 00:01:21.000]  他們點著頭,也是也是啊,那樣子。
[00:01:21.000 --> 00:01:25.000]  我想呢,現在生孩子其實不容易的。
[00:01:25.000 --> 00:01:31.000]  以前你聽說都是生個七八個,好像毫無難度的。
[00:01:31.000 --> 00:01:37.000]  現在我的很多親戚朋友啊,想懷一個都不容易。
[00:01:37.000 --> 00:01:41.000]  因為為什麼?太忙,工作繁忙,
[00:01:41.000 --> 00:01:48.000]  然後食物又沒有以前健康,壓力又大,空氣不好,水又不好。
[00:01:48.000 --> 00:01:52.000]  懷上一個孩子呢,普遍比以前難。
[00:01:52.000 --> 00:01:57.000]  我們現在還要講究什麼,營養啊,時間啊,心情啊,
[00:01:57.000 --> 00:02:03.000]  還要預備很多很多,通通都要預備好。
[00:02:03.000 --> 00:02:06.000]  這個其實還不是最難的事情。
[00:02:06.000 --> 00:02:13.000]  最難是什麼?就是怕呢,你不想生的時候,突然間就懷上了。
[00:02:13.000 --> 00:02:15.000]  這下麻煩就大了。
[00:02:15.000 --> 00:02:19.000]  最近有個朋友還在咨詢我,他是基督徒。
[00:02:19.000 --> 00:02:23.000]  他在國內大學教書,是公家人。
[00:02:23.000 --> 00:02:29.000]  那麼呢,公家現在規定還不可以生第三胎。
[00:02:29.000 --> 00:02:33.000]  我們現在可以生二胎了,放開二胎了,那樣的。
[00:02:33.000 --> 00:02:35.000]  但是還不能生第三胎。
[00:02:35.000 --> 00:02:39.000]  所以呢,他偏偏不小心又懷上了第三胎。
[00:02:39.000 --> 00:02:42.000]  他是基督徒,他不想墮胎。
[00:02:42.000 --> 00:02:46.000]  可是作為大學老師呢,他如果把孩子生下來的話呢,
[00:02:46.000 --> 00:02:50.000]  很有可能就保不住這份工作。
[00:02:50.000 --> 00:02:53.000]  他一點預備都沒有。
[00:02:53.000 --> 00:03:00.000]  問我該怎麼辦?弟兄姊妹,你說我該怎麼回答他呢?
[00:03:00.000 --> 00:03:04.000]  所以呢,做人最怕什麼?
[00:03:04.000 --> 00:03:08.000]  最怕呢,是請人吃飯,沒帶錢。
