
[00:00:00.000 --> 00:00:05.500]  這一顆是聖經中的十大奧秘
[00:00:05.500 --> 00:00:11.200]  所謂奧秘就是隱藏的真理
[00:00:11.200 --> 00:00:13.700]  但是感謝神
[00:00:13.700 --> 00:00:17.700]  這些過去隱藏的真理
[00:00:17.700 --> 00:00:22.700]  現在已經向我們顯明了
[00:00:22.700 --> 00:00:29.200]  所以事實上這是公開的秘密
[00:00:29.200 --> 00:00:32.200]  Open Secrets
[00:00:32.200 --> 00:00:36.200]  我們在聖經裡看的時候
[00:00:36.200 --> 00:00:39.200]  可以了解、可以知道
[00:00:39.200 --> 00:00:42.200]  神的計畫是怎麼樣
[00:00:42.200 --> 00:00:44.200]  我們在其中
[00:00:44.200 --> 00:00:47.200]  我們的站在哪裡
[00:00:47.200 --> 00:00:50.200]  和我們的關係是怎麼樣
[00:00:50.200 --> 00:00:55.200]  我們如何的能夠投入
[00:00:55.200 --> 00:00:57.200]  在神的計畫裡頭
[00:00:57.200 --> 00:00:59.200]  我們和神
[00:00:59.200 --> 00:01:01.200]  我們順服祂
[00:01:01.200 --> 00:01:03.200]  又和祂合作
[00:01:03.200 --> 00:01:06.200]  讓祂的旨意、計畫
[00:01:06.200 --> 00:01:10.200]  在我們身上得到成就
[00:01:10.200 --> 00:01:14.200]  我們每一個晚上看一個奧秘
[00:01:14.200 --> 00:01:19.200]  剛好十次看十個奧秘
[00:01:19.200 --> 00:01:24.200]  我們就沒有加課做
[00:01:24.200 --> 00:01:27.200]  我知道大家都是很忙碌
[00:01:27.200 --> 00:01:30.200]  所以也沒有時間做加課
[00:01:30.200 --> 00:01:34.200]  我們就不必做加課
[00:01:34.200 --> 00:01:38.200]  但是如果大家有時間
[00:01:38.200 --> 00:01:44.200]  可以自己把講義裡面的經文
[00:01:44.200 --> 00:01:47.200]  自己看一看
[00:01:47.200 --> 00:01:53.200]  那麼更加的清楚、更加的明白
[00:01:53.200 --> 00:01:58.200]  我們一同做一個禱告
[00:01:58.200 --> 00:02:03.200]  天父我們感謝你
[00:02:03.200 --> 00:02:06.200]  在耶穌基督裡面賜給我們救恩
[00:02:06.200 --> 00:02:10.200]  包裹了天上各樣屬靈的福氣
[00:02:10.200 --> 00:02:13.200]  讓我們在基督的裡面
[00:02:13.200 --> 00:02:15.200]  能夠做天父的兒女
[00:02:15.200 --> 00:02:19.200]  讓我們能夠跟從基督
[00:02:19.200 --> 00:02:21.200]  得到新的人生
[00:02:21.200 --> 00:02:24.200]  也得到榮耀的盼望
[00:02:24.200 --> 00:02:27.200]  我們願意清楚的了解
[00:02:27.200 --> 00:02:30.200]  我們父神的旨意、計畫
[00:02:30.200 --> 00:02:33.200]  在我們的身上是如何
[00:02:33.200 --> 00:02:35.200]  我們願意了解以後
[00:02:35.200 --> 00:02:37.200]  能夠投入在其中
[00:02:37.200 --> 00:02:44.200]  能夠成為神恩典的接受者和出口
[00:02:44.200 --> 00:02:48.200]  也願天父的作為通過我們
[00:02:48.200 --> 00:02:51.200]  能夠彰顯出來
[00:02:51.200 --> 00:02:54.200]  把恩典也領到別人的身上
[00:02:54.200 --> 00:02:58.200]  我們把今天晚上的靈堂時間
[00:02:58.200 --> 00:03:00.200]  交託在主手中
[00:03:00.200 --> 00:03:03.200]  求主親自與我們同在
[00:03:03.200 --> 00:03:07.200]  求聖靈做我們的老師、教導我們
[00:03:07.200 --> 00:03:09.200]  也求主幫助你的僕人
[00:03:09.200 --> 00:03:13.200]  把你的話語傳達的清楚
[00:03:13.200 --> 00:03:15.200]  我們一同靈受
[00:03:15.200 --> 00:03:17.200]  得到益處、造就
[00:03:17.200 --> 00:03:20.200]  求主恩待每一位同學
[00:03:20.200 --> 00:03:22.200]  他們都有愛你的心
[00:03:22.200 --> 00:03:24.200]  都有追求的心
[00:03:24.200 --> 00:03:28.200]  他們願意這樣抽出時間
[00:03:28.200 --> 00:03:31.200]  在繁忙的生活當中
[00:03:31.200 --> 00:03:33.200]  退到你的面前
[00:03:33.200 --> 00:03:36.200]  來安靜的靈受你的話語
[00:03:36.200 --> 00:03:39.200]  為了他們每一位獻上感謝
[00:03:39.200 --> 00:03:41.200]  求主使恩
[00:03:41.200 --> 00:03:44.200]  我們這樣仰望、祈求
[00:03:44.200 --> 00:03:46.200]  奉主耶穌基督的聖名
[00:03:46.200 --> 00:03:48.200]  阿們
[00:03:48.200 --> 00:03:55.200]  今天晚上是第一個奧秘
[00:03:55.200 --> 00:03:59.200]  道承肉身的奧秘
[00:03:59.200 --> 00:04:01.200]  我們看一節聖經
[00:04:01.200 --> 00:04:06.200]  在提摩泰前書三章十六節
[00:04:06.200 --> 00:04:12.200]  提前三章十六節
[00:04:13.200 --> 00:04:18.200]  我這樣講後面的能聽清楚嗎
[00:04:18.200 --> 00:04:22.200]  三章十六節
[00:04:22.200 --> 00:04:27.200]  大在靜謙的奧秘
[00:04:27.200 --> 00:04:30.200]  無人不亦為然
[00:04:30.200 --> 00:04:33.200]  就是神的肉身顯現
[00:04:33.200 --> 00:04:35.200]  被聖靈稱義
[00:04:35.200 --> 00:04:37.200]  被天使看見
[00:04:37.200 --> 00:04:39.200]  被傳於外邦
[00:04:39.200 --> 00:04:41.200]  被世人信服
[00:04:41.200 --> 00:04:45.200]  被結在榮耀裡
[00:04:45.200 --> 00:04:53.200]  這節聖經原來是一首詩歌
[00:04:53.200 --> 00:04:57.200]  所以在聖經的注釋裡面告訴我們
[00:04:57.200 --> 00:05:01.200]  這是石屠時代的教會
[00:05:01.200 --> 00:05:05.200]  聚會的時候所唱的詩歌
[00:05:05.200 --> 00:05:08.200]  是一個詩歌的形式
[00:05:08.200 --> 00:05:11.200]  記載在這個地方
[00:05:11.200 --> 00:05:15.200]  這個詩歌的題目就是
[00:05:15.200 --> 00:05:19.200]  大在靜謙的奧秘
[00:05:19.200 --> 00:05:22.200]  這裡有奧秘兩個字
[00:05:22.200 --> 00:05:25.200]  就是神的奇妙的作為
[00:05:25.200 --> 00:05:27.200]  原來隱藏
[00:05:27.200 --> 00:05:30.200]  現在顯明出來了
[00:05:30.200 --> 00:05:35.200]  這個靜謙的奧秘
[00:05:35.200 --> 00:05:37.200]  是指著什麼說的呢
[00:05:37.200 --> 00:05:40.200]  它的中心的要點
[00:05:40.200 --> 00:05:43.200]  就是道成肉身
[00:05:43.200 --> 00:05:50.200]  這裡說就是神在肉身顯現
[00:05:50.200 --> 00:05:53.200]  神在肉身顯現
[00:05:53.200 --> 00:05:56.200]  就是道成肉身
[00:05:56.200 --> 00:05:57.200]  所以這個奧秘
[00:05:57.200 --> 00:06:01.200]  就是道成肉身的奧秘
[00:06:01.200 --> 00:06:05.200]  這是奧秘中的奧秘
[00:06:05.200 --> 00:06:09.200]  是我們很難完全了解的
[00:06:09.200 --> 00:06:11.200]  無限的神
[00:06:11.200 --> 00:06:16.200]  怎麼能夠成為有限的人
[00:06:16.200 --> 00:06:19.200]  祂是靈
[00:06:19.200 --> 00:06:22.200]  一個靈體的上帝
[00:06:22.200 --> 00:06:26.200]  怎麼能夠有人的肉身
[00:06:26.200 --> 00:06:29.200]  超越時間的神
[00:06:29.200 --> 00:06:34.200]  怎麼能夠進入時間空間做人
[00:06:34.200 --> 00:06:37.200]  這是我們有限的頭腦
[00:06:37.200 --> 00:06:41.200]  不能夠完全了解明白的
[00:06:41.200 --> 00:06:47.200]  但是神的作為就是這樣成全了
[00:06:47.200 --> 00:06:51.200]  在歷史裡面出現
[00:06:51.200 --> 00:06:54.200]  我們感謝天父
[00:06:54.200 --> 00:06:59.200]  我們不敢想像的是成為事實
[00:06:59.200 --> 00:07:04.200]  而且是上帝大的恩典
[00:07:04.200 --> 00:07:08.200]  在基督耶穌裡賜給我們的
