
[00:00:00.000 --> 00:00:02.000]  第九個分題
[00:00:02.000 --> 00:00:06.000]  困難和背獅子架
[00:00:06.000 --> 00:00:12.000]  我們很容易將這兩件事混為一談
[00:00:12.000 --> 00:00:18.000]  我們認為我們遭遇困難就是等於背獅子架
[00:00:18.000 --> 00:00:21.000]  其實是兩件事
[00:00:21.000 --> 00:00:24.000]  什麼是背獅子架呢?
[00:00:24.000 --> 00:00:30.000]  就是為了遵行神的旨意而付代價
[00:00:30.000 --> 00:00:34.000]  這樣的事才是背獅子架
[00:00:34.000 --> 00:00:40.000]  不是任何的困難都是背獅子架
[00:00:40.000 --> 00:00:46.000]  只有按照神的旨意去付代價的事
[00:00:46.000 --> 00:00:53.000]  經歷、試煉、艱難、逼迫、難處
[00:00:53.000 --> 00:00:59.000]  這樣才是真正的背獅子架
[00:00:59.000 --> 00:01:04.000]  所以我們平常用背獅子架這個名詞的時候
[00:01:04.000 --> 00:01:06.000]  要小心
[00:01:06.000 --> 00:01:11.000]  有很多的困難是我們自己造成的
[00:01:11.000 --> 00:01:16.000]  是平常的人人都要面對的
[00:01:16.000 --> 00:01:20.000]  所以那不可以叫做背獅子架
[00:01:20.000 --> 00:01:28.000]  我們蜀族的人和獅子架有密切的關係
[00:01:28.000 --> 00:01:35.000]  至少每一個基督徒和獅子架有七方面的關係
[00:01:35.000 --> 00:01:41.000]  第一方面就是信獅子架
[00:01:41.000 --> 00:01:48.000]  我們相信神借著獅子架成全救恩來拯救我們
[00:01:48.000 --> 00:01:52.000]  我們相信獅子架是出於神的
[00:01:52.000 --> 00:01:54.000]  基督是在獅子架上
[00:01:54.000 --> 00:02:00.000]  是神的旨意、神的拯救人類的計劃
[00:02:00.000 --> 00:02:03.000]  我們信獅子架
[00:02:03.000 --> 00:02:05.000]  我們也靠獅子架
[00:02:05.000 --> 00:02:08.000]  靠獅子架得救
[00:02:08.000 --> 00:02:13.000]  我們不能靠自己的任何的好處得救
[00:02:13.000 --> 00:02:17.000]  不能夠靠任何的功德得救
[00:02:17.000 --> 00:02:21.000]  我們只有依靠基督的獅子架
[00:02:21.000 --> 00:02:23.000]  我們才能夠得救
[00:02:23.000 --> 00:02:25.000]  罪得赦免
[00:02:25.000 --> 00:02:28.000]  可以不被定罪
[00:02:28.000 --> 00:02:32.000]  反而被稱義
[00:02:32.000 --> 00:02:38.000]  第三我們誇獅子架
[00:02:38.000 --> 00:02:43.000]  我們以獅子架為榮
[00:02:43.000 --> 00:02:45.000]  誇耀獅子架
