
[00:00:00.000 --> 00:00:04.800]  當我們之前讀到主耶穌吩咐我們
[00:00:04.800 --> 00:00:07.800]  先求他的國和他的義
[00:00:07.800 --> 00:00:11.300]  一種生命的整個人生的取向
[00:00:11.300 --> 00:00:13.100]  來到第七章的時候
[00:00:13.100 --> 00:00:16.200]  主耶穌很清楚提醒他的門徒
[00:00:16.200 --> 00:00:19.400]  要留心我們的人際關係
[00:00:19.400 --> 00:00:22.700]  一開始就提到不要論斷
[00:00:22.700 --> 00:00:27.200]  不要對別人有惡意的批評
[00:00:27.200 --> 00:00:30.600]  我記得早前看到一段新聞
[00:00:30.600 --> 00:00:32.000]  大家可能都會留意到
[00:00:32.000 --> 00:00:34.200]  在澳洲發生一件事情
[00:00:34.200 --> 00:00:38.000]  一位著名的電視節目主持人
[00:00:38.000 --> 00:00:42.600]  亦曾經是一位模特兒Charlotte Dawson
[00:00:42.600 --> 00:00:45.900]  這位女士被發現在她自己的住宅
[00:00:45.900 --> 00:00:49.600]  是自己上吊自盡的
[00:00:49.600 --> 00:00:52.500]  這件事對整個社會很轟動
[00:00:52.500 --> 00:00:55.800]  她們都問為何她會自殺呢?
[00:00:55.800 --> 00:00:58.100]  後來發現這位女士
[00:00:58.100 --> 00:01:00.900]  是因為她曾經參與了一個
[00:01:00.900 --> 00:01:06.000]  叫做反網絡的謾罵的運動
[00:01:06.000 --> 00:01:08.400]  因為她發覺很多人在網絡上
[00:01:08.400 --> 00:01:11.000]  隨便地責罵別人
[00:01:11.000 --> 00:01:12.300]  她很反對這件事
[00:01:12.300 --> 00:01:14.000]  所以參與了這個運動
[00:01:14.000 --> 00:01:17.000]  來抗衡這種的趨勢
[00:01:17.000 --> 00:01:19.600]  但正因為她參與了這個運動之後
[00:01:19.600 --> 00:01:23.400]  就發覺很多人轉而集中攻擊她
[00:01:23.400 --> 00:01:26.200]  因此她成為了眾志之的
[00:01:26.200 --> 00:01:30.000]  很多人留言來批評她、責罵她
[00:01:30.000 --> 00:01:34.200]  甚至有些人說「你去自殺吧」
[00:01:34.200 --> 00:01:37.800]  這位女士她自己曾經有一些
[00:01:37.800 --> 00:01:40.000]  抑鬱症的背景
[00:01:40.000 --> 00:01:41.800]  在這些壓力之下
[00:01:41.800 --> 00:01:45.300]  她就真的自殺
[00:01:45.300 --> 00:01:47.000]  這件事情發生之後
[00:01:47.000 --> 00:01:50.100]  令到當地的社會有很多的反省
[00:01:50.100 --> 00:01:51.500]  亦都深深體會到
[00:01:51.500 --> 00:01:54.600]  其實不單止暴力可以殺人
[00:01:54.600 --> 00:01:57.800]  言語暴力都可以殺人
[00:01:57.800 --> 00:02:01.800]  亦都帶來給人很多方面的傷害
[00:02:01.800 --> 00:02:03.000]  當我看到這段新聞的時候
[00:02:03.000 --> 00:02:04.000]  我都會想像
[00:02:04.000 --> 00:02:06.400]  其實今天大家都會體會
