
[00:00:00.000 --> 00:00:02.000]  當你提到在教會裏面
[00:00:02.000 --> 00:00:06.000]  我們需要重視弟兄姊妹的團契和小組的生活
[00:00:06.000 --> 00:00:09.000]  大家都會留意在聖經裏面都會常常提到
[00:00:09.000 --> 00:00:16.000]  神的心意是讓生命的成長在團契當中出現
[00:00:16.000 --> 00:00:19.000]  神讓很多的教徒體驗到
[00:00:19.000 --> 00:00:24.000]  就是生命的長大不是自己單獨地追求
[00:00:24.000 --> 00:00:29.000]  而往往是在信徒的群體當中來得著生命的成長
[00:00:29.000 --> 00:00:32.000]  一定大家都會記得在初期教會
[00:00:32.000 --> 00:00:34.000]  當我們讀士郎傳的時候
[00:00:34.000 --> 00:00:36.000]  聖經就清楚講當時的信徒
[00:00:36.000 --> 00:00:38.000]  他們同心合意
[00:00:38.000 --> 00:00:42.000]  他們行設在神的殿當中
[00:00:42.000 --> 00:00:47.000]  亦都在家裏面來得有敬拜和團契的生活
[00:00:47.000 --> 00:00:49.000]  他們不單止有集體的敬拜
[00:00:49.000 --> 00:00:54.000]  亦都有小組在家中裏面彼此相交的生活
[00:00:54.000 --> 00:00:56.000]  聖經就說在各個情況之下
[00:00:56.000 --> 00:01:00.000]  弟兄姊妹就生命興旺成長
[00:01:00.000 --> 00:01:03.000]  因此在我們自己個人生命的追求上
[00:01:03.000 --> 00:01:05.000]  信仰的追求上
[00:01:05.000 --> 00:01:09.000]  我們不可以缺乏團契小組的生活
[00:01:09.000 --> 00:01:12.000]  我估我不是因為今天是團契主日
[00:01:12.000 --> 00:01:13.000]  所以才這樣講
[00:01:13.000 --> 00:01:18.000]  而是我相信聖經真的這樣來給我們一個方向
[00:01:18.000 --> 00:01:21.000]  就是神願意我們在群體生活當中
[00:01:21.000 --> 00:01:24.000]  得著真正的豐盛的生命
[00:01:24.000 --> 00:01:26.000]  我也問過不少弟兄姊妹
[00:01:26.000 --> 00:01:29.000]  他們都有提及到生活很忙碌
[00:01:29.000 --> 00:01:33.000]  香港很多生活上各方面的需要
[00:01:33.000 --> 00:01:35.000]  我也會這樣鼓勵他們
[00:01:35.000 --> 00:01:37.000]  就是你要祈禱
[00:01:37.000 --> 00:01:40.000]  你祈禱求神為你開出路
[00:01:40.000 --> 00:01:46.000]  求神按你的需要為你預備所需要的團契或者小組的生活
[00:01:46.000 --> 00:01:47.000]  當你祈禱的時候
[00:01:47.000 --> 00:01:49.000]  神會為你預備
[00:01:49.000 --> 00:01:52.000]  亦都給你裏面有一種的動力
[00:01:52.000 --> 00:01:54.000]  以及所需要的時間
[00:01:54.000 --> 00:01:57.000]  來參與團契生活當中
[00:01:57.000 --> 00:02:01.000]  所以無論今天我們有參與或沒有參與小組團契
[00:02:01.000 --> 00:02:03.000]  都請你祈禱
[00:02:03.000 --> 00:02:06.000]  你回家之後你去找一件事禱告
[00:02:06.000 --> 00:02:08.000]  求神為你預備
[00:02:08.000 --> 00:02:11.000]  讓你在當中更多的滿腹
[00:02:11.000 --> 00:02:12.000]  今天大家一起讀的聖經
[00:02:12.000 --> 00:02:14.000]  哥羅西書第三章
[00:02:14.000 --> 00:02:16.000]  我們提及到在愛當中
[00:02:16.000 --> 00:02:19.000]  以神的道來互相建立
[00:02:19.000 --> 00:02:22.000]  第三章十二節一開始的時候
[00:02:22.000 --> 00:02:24.000]  聖經就說「所以」
[00:02:24.000 --> 00:02:28.000]  「所以」當然表達出和前面的經文有關係
[00:02:28.000 --> 00:02:31.000]  所以我們先試試看前面
[00:02:31.000 --> 00:02:33.000]  在前面的第三章第五節
[00:02:33.000 --> 00:02:35.000]  又提到「所以」
[00:02:35.000 --> 00:02:39.000]  然後三章第一節又再次提到「所以」
[00:02:39.000 --> 00:02:41.000]  再推到前面
[00:02:41.000 --> 00:02:43.000]  一個小的段落說
[00:02:43.000 --> 00:02:46.000]  「在基督裡作新人」
