
[00:00:00.000 --> 00:00:04.320]  今天是宣學界二十週年的一個月日子
[00:00:04.320 --> 00:00:06.680]  二十年的時間過去
[00:00:06.680 --> 00:00:09.400]  我們經歷了上帝很多很多的恩典
[00:00:09.400 --> 00:00:10.400]  我們在當中
[00:00:10.400 --> 00:00:14.120]  我相信很多大人子妹都經歷了不同的成長
[00:00:14.120 --> 00:00:16.840]  今天到了二十年這個月的日子
[00:00:16.840 --> 00:00:18.120]  我們停一停
[00:00:18.120 --> 00:00:20.920]  再想究竟我們應該存著什麼態度
[00:00:20.920 --> 00:00:23.240]  繼續去跟從上帝
[00:00:23.240 --> 00:00:24.960]  所以今天都希望透過
[00:00:24.960 --> 00:00:26.920]  《但耶利書》這一段經文
[00:00:26.920 --> 00:00:28.480]  再一次讓我們有一個思想
[00:00:28.480 --> 00:00:31.280]  究竟我們在這個時候
[00:00:31.280 --> 00:00:32.560]  在這個世代裡
[00:00:32.560 --> 00:00:34.040]  或者在我們的生活當中
[00:00:34.040 --> 00:00:35.960]  我們要存著什麼態度
[00:00:35.960 --> 00:00:39.080]  去跟從這位愛我們的上帝
[00:00:39.080 --> 00:00:41.960]  《但耶利書》其實記載的背景
[00:00:41.960 --> 00:00:45.280]  是一個很特別的環境當中
[00:00:45.280 --> 00:00:47.200]  如果大家去看舊聖經
[00:00:47.200 --> 00:00:48.520]  你會記得
[00:00:48.520 --> 00:00:51.120]  上帝怎樣拯救一群以色列人
[00:00:51.120 --> 00:00:54.640]  從埃及地進入到英許地的地方
[00:00:54.640 --> 00:00:56.160]  然後頒佈律法
[00:00:56.160 --> 00:00:58.400]  跟他們說你們要遵守我的道
[00:00:58.400 --> 00:01:00.160]  你們就得平安
[00:01:00.160 --> 00:01:02.040]  你遠離我的道
[00:01:02.040 --> 00:01:02.960]  遠離我
[00:01:02.960 --> 00:01:04.040]  你們就有和
[00:01:04.040 --> 00:01:05.240]  但是一群以色列人
[00:01:05.240 --> 00:01:07.280]  一步一步的遠離上帝
[00:01:07.280 --> 00:01:08.880]  上帝用不同的方法
[00:01:08.880 --> 00:01:12.280]  去教訓他們或者拯救他們
[00:01:12.280 --> 00:01:13.560]  希望挽回他們
[00:01:13.560 --> 00:01:14.720]  但是他們都不聽
[00:01:14.720 --> 00:01:16.800]  最後上帝用了一個方法
[00:01:16.800 --> 00:01:20.760]  就是要挽回整個以色列的民族
[00:01:20.760 --> 00:01:22.720]  這個方法就是亡國
[00:01:22.720 --> 00:01:25.440]  上帝藉著當時的強國巴比倫
[00:01:25.440 --> 00:01:29.600]  去將整個以色列國亡國
[00:01:29.600 --> 00:01:31.800]  接著巴比倫人
[00:01:31.800 --> 00:01:34.440]  就將一些以色列人
[00:01:34.440 --> 00:01:37.520]  帶到自己的國家裡面
[00:01:37.520 --> 00:01:39.920]  一群少一部分的人
[00:01:39.920 --> 00:01:40.880]  去到的時候
[00:01:40.880 --> 00:01:42.760]  當時的巴比倫王
[00:01:42.760 --> 00:01:45.280]  對他們某一些的人也相當好
[00:01:45.280 --> 00:01:48.000]  將他們從一個很低的位置裡
[00:01:48.000 --> 00:01:52.280]  培養成為一個在當時的巴比倫帝國裡
[00:01:52.280 --> 00:01:55.840]  成為一個很高的位置的
[00:01:55.840 --> 00:01:58.400]  一個管理的階層去挽回
[00:01:58.400 --> 00:02:00.240]  就在這個時候
[00:02:00.240 --> 00:02:02.080]  在這個背景裡面
[00:02:02.080 --> 00:02:04.360]  發生了一件事
[00:02:04.360 --> 00:02:06.920]  當時巴比倫王
[00:02:06.920 --> 00:02:08.720]  他做了一個金像
[00:02:08.720 --> 00:02:13.000]  在《大義利書》第三章
[00:02:13.000 --> 00:02:14.400]  一開頭說到
[00:02:14.400 --> 00:02:16.720]  這個尼泊爾加尼沙王
[00:02:16.720 --> 00:02:17.960]  做了一個金像
[00:02:17.960 --> 00:02:20.120]  是為了去炫耀自己
[00:02:20.120 --> 00:02:23.000]  炫耀自己是多麼的偉大
[00:02:23.000 --> 00:02:24.040]  軍事的力量
[00:02:24.040 --> 00:02:27.040]  統治的力量是多麼的強盛
[00:02:27.040 --> 00:02:29.120]  到這一章的結尾
[00:02:29.120 --> 00:02:32.800]  他將榮耀歸給以色列的上帝
[00:02:32.800 --> 00:02:34.560]  作為一個結束
[00:02:34.560 --> 00:02:37.960]  由開始覺得自己很厲害
[00:02:37.960 --> 00:02:39.600]  到結束
[00:02:39.600 --> 00:02:41.360]  將榮耀歸給上帝
[00:02:41.360 --> 00:02:42.880]  為什麼有這樣的變化呢
[00:02:42.880 --> 00:02:45.600]  就是中間這個巴比倫王
[00:02:45.600 --> 00:02:47.520]  尼泊爾加尼沙王
[00:02:47.520 --> 00:02:50.280]  親眼目睹上帝怎樣拯救
[00:02:50.280 --> 00:02:53.600]  這幾個猶太人的一個事蹟
[00:02:53.600 --> 00:02:56.320]  成為一個很大的轉捩點
[00:02:56.320 --> 00:02:58.600]  在第三章的第一章第七節
[00:02:58.600 --> 00:03:02.760]  說到當時的巴比倫王
[00:03:02.760 --> 00:03:03.720]  尼泊爾加尼沙王
[00:03:03.720 --> 00:03:05.320]  做了一個金像
[00:03:05.320 --> 00:03:06.720]  這個金像有多大呢
[00:03:06.720 --> 00:03:08.640]  大約在現在來說有九層樓
[00:03:08.640 --> 00:03:09.680]  大家去想想
[00:03:09.680 --> 00:03:11.800]  你看有九層樓這麼高
[00:03:11.800 --> 00:03:13.800]  你看過一個像有這麼大嗎
[00:03:13.800 --> 00:03:16.760]  這個像是用金做的
[00:03:16.760 --> 00:03:18.760]  可能不是竹金
[00:03:18.760 --> 00:03:20.920]  裡面可能有些木頭
[00:03:20.920 --> 00:03:22.840]  但倒了一些金在裡面
[00:03:22.840 --> 00:03:24.960]  這個像究竟代表什麼呢
[00:03:24.960 --> 00:03:27.520]  有兩個不同的說法
[00:03:27.520 --> 00:03:29.000]  一個說法就是這個像
[00:03:29.000 --> 00:03:31.280]  是尼泊爾加尼沙王自己的像
[00:03:31.280 --> 00:03:33.280]  人們去敬拜他
[00:03:33.280 --> 00:03:35.080]  另一個就是這個像
[00:03:35.080 --> 00:03:37.360]  尼泊爾加尼沙王當時的巴比倫人
[00:03:37.360 --> 00:03:39.080]  所敬拜的神明
[00:03:39.080 --> 00:03:41.520]  叫做馬道神
[00:03:41.520 --> 00:03:43.400]  這兩個都有可能
[00:03:43.400 --> 00:03:45.000]  因為在當時來說
[00:03:45.000 --> 00:03:48.640]  宗教和政治基本上是分不開的
[00:03:48.640 --> 00:03:49.920]  他們相信
[00:03:49.920 --> 00:03:52.480]  為什麼我們可以統治這個地方
[00:03:52.480 --> 00:03:54.880]  因為我們敬拜的神明
[00:03:54.880 --> 00:03:56.080]  讓我們
[00:03:56.080 --> 00:03:58.440]  派我們來管理這個地方
[00:03:58.440 --> 00:04:04.400]  所以去敬拜或者尊敬這個統治
[00:04:04.400 --> 00:04:06.240]  管理這個階層
[00:04:06.240 --> 00:04:08.280]  就等於去敬拜
[00:04:08.280 --> 00:04:11.440]  他們所敬拜的神明
[00:04:11.440 --> 00:04:12.560]  在這裡
[00:04:12.560 --> 00:04:13.800]  尼泊爾加尼沙王
[00:04:13.800 --> 00:04:15.800]  做了這個像
[00:04:15.800 --> 00:04:17.160]  他做完之後
[00:04:17.160 --> 00:04:18.360]  預備了所有東西
[00:04:18.360 --> 00:04:20.520]  頒布了一條命令
[00:04:20.520 --> 00:04:21.400]  就是說
[00:04:21.400 --> 00:04:23.240]  在一個日子
[00:04:23.240 --> 00:04:24.520]  一個地方
[00:04:24.520 --> 00:04:27.480]  所有的樂器奏響的時候
[00:04:27.480 --> 00:04:29.680]  各方各國各族的人
[00:04:29.680 --> 00:04:32.760]  都要來行
[00:04:32.760 --> 00:04:34.960]  跪拜這個像
[00:04:34.960 --> 00:04:37.080]  然後立下一個刑罰
[00:04:37.080 --> 00:04:40.160]  就是說如果不敬拜這個像
[00:04:40.160 --> 00:04:42.680]  立時就將這個人
[00:04:42.680 --> 00:04:45.760]  關在烈火的窯中
[00:04:45.760 --> 00:04:49.640]  烈火的窯是一個最猛烈的火窯
[00:04:49.640 --> 00:04:52.640]  是一個很殘忍的死刑
[00:04:52.640 --> 00:04:56.600]  然後在這個時候
[00:04:56.600 --> 00:04:58.800]  我想沒有人可以想像
[00:04:58.800 --> 00:05:02.080]  會有人不聽這個命令
[00:05:02.080 --> 00:05:05.280]  但是就在這個時候
[00:05:05.280 --> 00:05:06.720]  就有三個人
[00:05:06.720 --> 00:05:07.560]  沙特拉
[00:05:07.560 --> 00:05:08.400]  米薩
[00:05:08.400 --> 00:05:09.600]  阿伯尼戈
[00:05:09.600 --> 00:05:12.360]  當所有的樂器奏響的時候
[00:05:12.360 --> 00:05:17.280]  他們就沒有向這個金像下拜
[00:05:17.280 --> 00:05:20.200]  然後在第三章第八至十一節
[00:05:20.200 --> 00:05:23.080]  當他們沒有去跪拜的時候
[00:05:23.080 --> 00:05:24.760]  就有幾個加勒底人
[00:05:24.760 --> 00:05:26.600]  去到王的面前
[00:05:26.600 --> 00:05:28.800]  去控告這幾個人
[00:05:28.800 --> 00:05:30.640]  他們就說
