
[00:00:00.000 --> 00:00:05.000]  大家知道我們過去這一季是在說使命教會
[00:00:05.000 --> 00:00:09.500]  是跟隨基督的使命教會是應當怎樣的
[00:00:09.500 --> 00:00:12.000]  來到今天 大家知道會是六月的
[00:00:12.000 --> 00:00:14.000]  亦都是這一季的最後一個主日
[00:00:14.000 --> 00:00:19.000]  我們提到就是說忍耐艱難的活世的教會
[00:00:19.000 --> 00:00:23.000]  這一季我們常常說我們是有使命在身的
[00:00:23.000 --> 00:00:26.000]  每個基督徒都記得主耶穌所說
[00:00:26.000 --> 00:00:31.000]  父怎樣差遣我 我也照樣差遣你們
[00:00:31.000 --> 00:00:33.000]  主差遣我們在世上
[00:00:33.000 --> 00:00:36.000]  不單單能夠承受祂給我們的福氣
[00:00:36.000 --> 00:00:39.000]  更加讓我們作祂的見證
[00:00:39.000 --> 00:00:43.000]  因此來到一個末世的時候
[00:00:43.000 --> 00:00:45.000]  我們需要有心理準備
[00:00:45.000 --> 00:00:47.000]  我們要面對著很多不同的挑戰
[00:00:47.000 --> 00:00:49.000]  但是無論怎樣都好
[00:00:49.000 --> 00:00:52.000]  我們有一個很大的盼望
[00:00:52.000 --> 00:00:55.000]  亦都是聖經今天所強調的這四個字
[00:00:55.000 --> 00:00:58.000]  就是挺身昂首
[00:00:58.000 --> 00:01:00.000]  無論面對甚麼挑戰
[00:01:00.000 --> 00:01:03.000]  自己知道一切在神的掌管當中
[00:01:03.000 --> 00:01:07.000]  因此基督徒可以挺身昂首 面對一切
[00:01:07.000 --> 00:01:11.000]  而在當中堅定地跟隨上帝
[00:01:11.000 --> 00:01:13.000]  因此來到這一季最後一個講題
[00:01:13.000 --> 00:01:14.000]  我們就會說到
[00:01:14.000 --> 00:01:19.000]  末世的教會是面對忍耐 面對艱難
[00:01:19.000 --> 00:01:21.000]  而忍耐是其中
[00:01:21.000 --> 00:01:22.000]  當然你會問
[00:01:22.000 --> 00:01:26.000]  我們香港好像沒有甚麼特別艱難
[00:01:26.000 --> 00:01:29.000]  今天我們也未見到很多
[00:01:29.000 --> 00:01:32.000]  因為信仰的緣故而受到迫迫的情況
[00:01:32.000 --> 00:01:33.000]  在香港出現
[00:01:33.000 --> 00:01:35.000]  但在世界很多不同地方
[00:01:35.000 --> 00:01:36.000]  如果你看報紙
[00:01:36.000 --> 00:01:39.000]  在印度 在印尼
[00:01:39.000 --> 00:01:45.000]  有不少的教會是被人用火焚燒了 燒毀了
[00:01:45.000 --> 00:01:47.000]  在大家看報紙的時候
[00:01:47.000 --> 00:01:50.000]  看到一個字眼 索馬利
[00:01:50.000 --> 00:01:53.000]  你會想起甚麼?
[00:01:53.000 --> 00:01:55.000]  想起海盜
[00:01:55.000 --> 00:01:57.000]  索馬利不單有海盜
[00:01:57.000 --> 00:01:59.000]  也有很多敬虔的教徒
[00:01:59.000 --> 00:02:02.000]  但當中有一些穆斯林的分子
[00:02:02.000 --> 00:02:03.000]  激烈的分子
[00:02:03.000 --> 00:02:06.000]  他們稱自己為青年黨
[00:02:06.000 --> 00:02:09.000]  他們在兩年之前立了一個願
[00:02:09.000 --> 00:02:10.000]  一個誓詞
[00:02:10.000 --> 00:02:15.000]  要清理在索馬利裏面的教徒
[00:02:15.000 --> 00:02:16.000]  所以在過去一段時間
[00:02:16.000 --> 00:02:20.000]  很多的教教的墳地 農場
[00:02:20.000 --> 00:02:22.000]  或者有關教教的一些組織
[00:02:22.000 --> 00:02:26.000]  被人破壞和焚燒
[00:02:26.000 --> 00:02:28.000]  其中最少有25個人死亡
[00:02:28.000 --> 00:02:31.000]  25個教徒
[00:02:31.000 --> 00:02:33.000]  當中有一個情況
[00:02:33.000 --> 00:02:35.000]  有四個小朋友
[00:02:35.000 --> 00:02:38.000]  兩歲 四歲 六歲 八歲
[00:02:38.000 --> 00:02:41.000]  在過一段長時間一直哭泣
