
[00:00:00.000 --> 00:00:02.700]  (主)合起來就是完整的福音
[00:00:02.700 --> 00:00:04.400]  (黃)合起來就是完整的福音
[00:00:04.400 --> 00:00:08.700]  (主)這位四重福音的主
[00:00:08.700 --> 00:00:10.200]  (黃)這位四重福音的主
[00:00:10.200 --> 00:00:11.600]  (主)是全輩的主
[00:00:11.600 --> 00:00:12.800]  (黃)是全輩的主
[00:00:12.800 --> 00:00:16.400]  (主)上帝一切的恩典
[00:00:16.400 --> 00:00:19.400]  (主)真理都在這位主裡面
[00:00:19.400 --> 00:00:23.400]  (黃)上帝一切的真典、原因、真理都在這位主裡面
[00:00:23.400 --> 00:00:25.500]  (主)祂是我們的拯救者
[00:00:25.500 --> 00:00:26.700]  (黃)祂是我們的拯救者
[00:00:26.700 --> 00:00:29.300]  (主)祂是使我們成聖者
[00:00:29.300 --> 00:00:30.800]  (黃)祂是使我們成聖者
[00:00:30.800 --> 00:00:33.100]  (主)祂是我們的醫治者
[00:00:33.100 --> 00:00:34.400]  (黃)祂是我們的醫治者
[00:00:34.400 --> 00:00:37.200]  (主)祂也是再來的盼望
[00:00:37.200 --> 00:00:38.900]  (黃)祂是我們再來的盼望
[00:00:38.900 --> 00:00:40.400]  (主)再來之王
[00:00:40.400 --> 00:00:41.600]  (黃)是再來之王
[00:00:41.600 --> 00:00:47.000]  (主)我們已經看過這四重其中的三重了
[00:00:47.000 --> 00:00:49.500]  (黃)我們已經看過這四重福音的其中的三重
[00:00:49.500 --> 00:00:51.700]  (主)今天來到第四重
[00:00:51.700 --> 00:00:53.400]  (黃)今天我們來到第四重
[00:00:53.400 --> 00:00:56.700]  (主)就是耶穌基督醫治我們
[00:00:56.700 --> 00:00:58.400]  (黃)就是耶穌基督醫治我們
[00:00:58.900 --> 00:01:00.500]  (主)祂怎麼樣醫治我們呢?
[00:01:00.500 --> 00:01:01.800]  (黃)祂怎麼樣醫治我們呢?
[00:01:01.800 --> 00:01:02.900]  (主)聖經告訴我們
[00:01:02.900 --> 00:01:04.100]  (黃)聖經告訴我們
