
[00:00:00.000 --> 00:00:07.000]  今天我們繼續查考聖經新約裏面七十錄的寶貴的信息
[00:00:07.000 --> 00:00:09.000]  今天是第七講
[00:00:09.000 --> 00:00:12.000]  今天我們要查考的題目
[00:00:12.000 --> 00:00:18.000]  是七十錄裏面所提到的耶穌基督的七對的名字
[00:00:18.000 --> 00:00:20.000]  七對的名字
[00:00:20.000 --> 00:00:23.000]  每一對形成一個整體
[00:00:23.000 --> 00:00:26.000]  有全輩的意義在裏面
[00:00:26.000 --> 00:00:29.000]  我們藉着耶穌基督這七對的名字
[00:00:29.000 --> 00:00:35.000]  可以完全的清楚的認識主耶穌基督與神的關係
[00:00:35.000 --> 00:00:37.000]  與人的關係
[00:00:37.000 --> 00:00:41.000]  現在與我們的關係和將來與我們的關係
[00:00:41.000 --> 00:00:43.000]  這是很重要的認識
[00:00:43.000 --> 00:00:48.000]  現在我們看主耶穌基督第一對的名字
[00:00:48.000 --> 00:00:53.000]  是在七十錄第二十二章十三節
[00:00:53.000 --> 00:00:55.000]  二十二章十三節
[00:00:55.000 --> 00:00:57.000]  我讀給各位聽
[00:00:57.000 --> 00:00:59.000]  我是阿拉伐
[00:00:59.000 --> 00:01:01.000]  我是俄美加
[00:01:01.000 --> 00:01:03.000]  我是首先的
[00:01:03.000 --> 00:01:04.000]  我是末後的
[00:01:04.000 --> 00:01:05.000]  我是初
[00:01:05.000 --> 00:01:07.000]  我是中
[00:01:07.000 --> 00:01:09.000]  主耶穌是阿拉伐
[00:01:09.000 --> 00:01:12.000]  又是俄美加
[00:01:12.000 --> 00:01:16.000]  阿拉伐是希臘文第一個字母
[00:01:16.000 --> 00:01:21.000]  俄美加是希臘文最末後一個字母
[00:01:21.000 --> 00:01:28.000]  聖經就用這兩個字母來代表主耶穌是時又是中
[00:01:28.000 --> 00:01:30.000]  祂是首先的
[00:01:30.000 --> 00:01:32.000]  祂又是末後的
[00:01:32.000 --> 00:01:34.000]  這個意思就是說
[00:01:34.000 --> 00:01:37.000]  耶穌基督是創造之主
[00:01:37.000 --> 00:01:39.000]  天地萬物
[00:01:39.000 --> 00:01:44.000]  一切的一切都是由祂所創造的
[00:01:44.000 --> 00:01:45.000]  不但如此
[00:01:45.000 --> 00:01:47.000]  祂創造了以後
[00:01:47.000 --> 00:01:49.000]  又維持萬物
[00:01:49.000 --> 00:01:51.000]  不但維持萬物
