
[00:00:00.000 --> 00:00:04.480]  大概兩個星期前在中國內地的地方
[00:00:04.480 --> 00:00:07.480]  有一件令人震驚的新聞
[00:00:07.480 --> 00:00:12.080]  9月19日在內地的江西省
[00:00:12.080 --> 00:00:13.680]  有一件事情發生
[00:00:13.680 --> 00:00:17.440]  就是三個大約十歲左右的小學生
[00:00:17.440 --> 00:00:19.440]  一些女孩
[00:00:19.440 --> 00:00:22.400]  他們就約同一起去做一件事
[00:00:22.400 --> 00:00:26.840]  約在一起去到一座樓宇一起跳樓
[00:00:28.040 --> 00:00:30.560]  約在一起跳樓有什麼原因呢?
[00:00:30.560 --> 00:00:33.840]  原因好像很複雜,但其實很簡單
[00:00:33.840 --> 00:00:38.160]  就是他們一起做了一整天的功課都未做完
[00:00:38.160 --> 00:00:41.920]  他們很擔心交不到功課給老師罰
[00:00:41.920 --> 00:00:44.920]  所以就寧願跳樓自殺
[00:00:44.920 --> 00:00:49.600]  這件事不是一件單獨的事件
[00:00:49.600 --> 00:00:51.920]  在我們的中國內地
[00:00:51.920 --> 00:00:53.920]  有不少最近聽到的消息
[00:00:53.920 --> 00:00:57.120]  就是青少年集體自殺的例子
[00:00:57.120 --> 00:01:01.560]  在陝西省有五個小六學生
[00:01:01.560 --> 00:01:03.760]  一起約同去一間古廟
[00:01:03.760 --> 00:01:07.520]  一起喝殺蟲藥,一起自殺
[00:01:07.520 --> 00:01:10.720]  這些事情讓我們發現一件事情
[00:01:10.720 --> 00:01:15.320]  為什麼現在的青少年好像這麼輕視生命
[00:01:15.320 --> 00:01:19.120]  好像不覺得自己生命有什麼這麼有價值
[00:01:19.120 --> 00:01:23.840]  只是為了逃避老師的責罰,寧願去死
[00:01:25.360 --> 00:01:27.080]  或者你會覺得
[00:01:27.080 --> 00:01:31.360]  為什麼他們不感受到自己的生命這麼寶貴
[00:01:31.360 --> 00:01:33.360]  是不是他們感受不到父母
[00:01:33.360 --> 00:01:36.760]  或者是老師們很珍惜他們的生命
[00:01:36.760 --> 00:01:40.760]  父母們是不是因為很忙於賺錢
[00:01:40.760 --> 00:01:43.480]  老師們忙於應付教學
[00:01:43.480 --> 00:01:48.160]  或者忙於應付這些課程,完成課程
[00:01:48.160 --> 00:01:50.680]  而疏忽了對他們的關懷
[00:01:50.680 --> 00:01:53.360]  以至他們感受不到生命的價值
[00:01:54.280 --> 00:01:57.080]  無論如何,當我們思想到生命的時候
[00:01:57.080 --> 00:02:00.200]  你和我都需要常常提醒自己
[00:02:00.200 --> 00:02:03.160]  在神的眼中,生命是極其寶貴的
[00:02:03.160 --> 00:02:06.200]  而我們也需要常常問自己
[00:02:06.200 --> 00:02:10.760]  我的生命的寶貴,在哪裡表達出來
[00:02:10.760 --> 00:02:12.800]  我生命的意義在哪裡
[00:02:12.800 --> 00:02:16.000]  怎樣讓我的生命能夠產生
[00:02:16.000 --> 00:02:18.280]  那種神要我產生的價值
[00:02:18.280 --> 00:02:20.920]  當我們講到使命人生的時候
[00:02:20.920 --> 00:02:24.880]  我們也會思想,我們生命的價值在哪裡
[00:02:24.880 --> 00:02:27.720]  而傳道書好像是一本
[00:02:27.720 --> 00:02:30.800]  講到人生命虛空的一本書
[00:02:30.800 --> 00:02:34.240]  但卻是讓我們知道生命的價值在哪裡
[00:02:34.240 --> 00:02:35.600]  大家一起看聖經
[00:02:35.600 --> 00:02:39.920]  在聖經的傳道書第三章第一節
[00:02:39.920 --> 00:02:42.840]  聖經一開始就說
[00:02:42.840 --> 00:02:47.760]  「萬事都有定期,天下萬物都有定時」
[00:02:48.560 --> 00:02:51.000]  很清楚地說到在整個世界裡面
[00:02:51.000 --> 00:02:54.840]  一切的人,所有的大事小事
[00:02:54.840 --> 00:02:57.760]  都在神這個大的計劃當中
[00:02:57.760 --> 00:03:01.600]  神的一個偉大的規劃
[00:03:01.600 --> 00:03:04.560]  包含了萬事萬物
[00:03:04.560 --> 00:03:06.880]  你和我生活上所經歷的事情
[00:03:06.880 --> 00:03:09.120]  無論大的小的事情
[00:03:09.120 --> 00:03:12.040]  都在神自己的掌權當中
[00:03:12.040 --> 00:03:14.160]  都在神自己的計劃裡面
[00:03:14.160 --> 00:03:16.680]  在這個大前提之下
[00:03:16.680 --> 00:03:19.400]  然後聖經第二節到第八節
[00:03:19.400 --> 00:03:22.120]  就列出十四對的對比
[00:03:22.120 --> 00:03:26.200]  這十四個對比就是總括了人生的各方面
[00:03:26.200 --> 00:03:30.960]  所有的事情都有它自己的時間
