
[00:00:00.000 --> 00:00:04.900]  在昨天早上,星期六的早上,
[00:00:04.900 --> 00:00:14.740]  我和一班在海外來的宣誓會同工一起祈禱。
[00:00:14.740 --> 00:00:21.180]  當你祈禱的時候,有弟兄姊妹用英文祈禱。
[00:00:21.180 --> 00:00:23.500]  突然間我聽到一些我不熟悉的語言,
[00:00:23.500 --> 00:00:25.900]  我也不知道是什麼文字的語言祈禱。
[00:00:25.900 --> 00:00:32.420]  後來知道是法文,
[00:00:32.420 --> 00:00:35.900]  後來是有西班牙文,
[00:00:35.900 --> 00:00:39.460]  也有其他非洲我不認識的語言。
[00:00:39.460 --> 00:00:44.540]  當大家一起動心祈禱的時候,
[00:00:44.540 --> 00:00:47.860]  我們都感受到神在我們當中,
[00:00:47.860 --> 00:00:52.420]  也感受到福音是給世界所有的人。
[00:00:52.420 --> 00:00:56.420]  大家知道在星期二開始,
[00:00:56.420 --> 00:01:02.300]  有國際宣道團體在香港,在北宣進行。
[00:01:02.300 --> 00:01:04.140]  在昨天開始,
[00:01:04.140 --> 00:01:08.860]  先有六十多位同工來到,
[00:01:08.860 --> 00:01:12.260]  開始一個宣教的會議。
[00:01:12.260 --> 00:01:17.260]  他們來自以色列,
[00:01:17.260 --> 00:01:22.260]  他們來自超過二十多個國家,
[00:01:22.260 --> 00:01:26.260]  昨天我們在下層的福樓吃飯,
[00:01:26.260 --> 00:01:29.260]  我們成為眾人矚目的地方,
[00:01:29.260 --> 00:01:31.260]  今天他們在我們當中,
[00:01:31.260 --> 00:01:32.260]  我們感激神,
[00:01:32.260 --> 00:01:36.260]  我們今天和二十多個國家的頂尖一起崇拜。
[00:01:36.260 --> 00:01:38.260]  我們今天請他們起來,
[00:01:38.260 --> 00:01:41.260]  我們表示多謝神的恩賜,
[00:01:41.260 --> 00:01:47.260]  我們今天請他們起來,
[00:01:47.260 --> 00:01:49.260]  我們表示多謝神的恩賜,
[00:01:49.260 --> 00:01:51.260]  我們今天請他們起來,
[00:01:51.260 --> 00:01:53.260]  我們表示多謝神的恩賜,
[00:01:53.260 --> 00:01:55.260]  我們今天請他們起來,
[00:01:55.260 --> 00:01:57.260]  我們表示多謝神的恩賜,
[00:01:57.260 --> 00:01:59.260]  我們今天請他們起來,
[00:01:59.260 --> 00:02:01.260]  我們表示多謝神的恩賜,
[00:02:01.260 --> 00:02:03.260]  我們今天請他們起來,
[00:02:03.260 --> 00:02:05.260]  我們表示多謝神的恩賜,
[00:02:05.260 --> 00:02:07.260]  我們今天請他們起來,
[00:02:07.260 --> 00:02:09.260]  我們表示多謝神的恩賜,
[00:02:09.260 --> 00:02:11.260]  我們今天請他們起來,
[00:02:11.260 --> 00:02:13.260]  我們今天請他們起來,
[00:02:13.260 --> 00:02:15.260]  我們表示多謝神的恩賜,
[00:02:15.260 --> 00:02:17.260]  我們今天請他們起來,
[00:02:17.260 --> 00:02:19.260]  我們表示多謝神的恩賜,
[00:02:19.260 --> 00:02:21.260]  我們今天請他們起來,
[00:02:21.260 --> 00:02:23.260]  我們表示多謝神的恩賜,
[00:02:23.260 --> 00:02:25.260]  我們今天請他們起來,
[00:02:25.260 --> 00:02:27.260]  我們表示多謝神的恩賜,
[00:02:27.260 --> 00:02:29.260]  我們今天請他們起來,
[00:02:29.260 --> 00:02:31.260]  我們表示多謝神的恩賜,
[00:02:31.260 --> 00:02:33.260]  我們今天請他們起來,
[00:02:33.260 --> 00:02:35.260]  我們表示多謝神的恩賜,
[00:02:35.260 --> 00:02:37.260]  我們今天請他們起來,
[00:02:37.260 --> 00:02:39.260]  我們今天請他們起來,
[00:02:39.260 --> 00:02:41.260]  我們表示多謝神的恩賜,
[00:02:41.260 --> 00:02:43.260]  我們今天請他們起來,
[00:02:43.260 --> 00:02:45.260]  我們表示多謝神的恩賜,
[00:02:45.260 --> 00:02:47.260]  我們今天請他們起來,
[00:02:47.260 --> 00:02:49.260]  我們表示多謝神的恩賜,
[00:02:49.260 --> 00:02:51.260]  我們今天請他們起來,
[00:02:51.260 --> 00:02:53.260]  我們表示多謝神的恩賜,
