
[00:00:00.000 --> 00:00:06.000]  張顯和范國威議員
[00:00:06.000 --> 00:00:12.000]  張國柱議員
[00:00:12.000 --> 00:00:18.000]  張國柱議員
[00:00:18.000 --> 00:00:24.000]  主席
[00:00:24.000 --> 00:00:30.000]  范國威議員
[00:00:30.000 --> 00:00:36.000]  張國柱議員
[00:00:36.000 --> 00:00:42.000]  張國柱議員
[00:00:42.000 --> 00:00:48.000]  張國柱議員
[00:00:48.000 --> 00:00:54.000]  張國柱議員
[00:00:54.000 --> 00:01:00.000]  張國柱議員
[00:01:00.000 --> 00:01:06.000]  張國柱議員
[00:01:06.000 --> 00:01:12.000]  張國柱議員
[00:01:12.000 --> 00:01:18.000]  張國柱議員
[00:01:18.000 --> 00:01:24.000]  張國柱議員
[00:01:25.000 --> 00:01:31.000]  張國柱議員
[00:01:31.000 --> 00:01:37.000]  張國柱議員
[00:01:37.000 --> 00:01:43.000]  張國柱議員
[00:01:44.000 --> 00:01:50.000]  張國柱議員
[00:01:50.000 --> 00:01:56.000]  張國柱議員
[00:01:56.000 --> 00:02:02.000]  張國柱議員
[00:02:02.000 --> 00:02:08.000]  張國柱議員
[00:02:08.000 --> 00:02:14.000]  張國柱議員
[00:02:14.000 --> 00:02:20.000]  張國柱議員
[00:02:20.000 --> 00:02:26.000]  張國柱議員
[00:02:27.000 --> 00:02:33.000]  張國柱議員
[00:02:33.000 --> 00:02:39.000]  張國柱議員
[00:02:39.000 --> 00:02:45.000]  張國柱議員
[00:02:45.000 --> 00:02:51.000]  張國柱議員
[00:02:51.000 --> 00:02:57.000]  張國柱議員
[00:02:57.000 --> 00:03:03.000]  張國柱議員
[00:03:04.000 --> 00:03:10.000]  張國柱議員
[00:03:11.000 --> 00:03:17.000]  張國柱議員
[00:03:17.000 --> 00:03:23.000]  張國柱議員
[00:03:23.000 --> 00:03:29.000]  張國柱議員
[00:03:30.000 --> 00:03:36.000]  張國柱議員
[00:03:37.000 --> 00:03:43.000]  張國柱議員
