
[00:00:00.000 --> 00:00:04.480]  舊約裏面的土地神學是否一直被忽略呢?
[00:00:04.480 --> 00:00:11.440]  以土地的角度進入聖經世界究竟又是甚麼一回事呢?
[00:00:11.440 --> 00:00:14.160]  今日就跟大家分享一本
[00:00:14.160 --> 00:00:18.960]  在聖經研究和神學世界裏面非常著名的一本書
[00:00:18.960 --> 00:00:21.280]  書名叫做《土地神學》
[00:00:21.280 --> 00:00:26.680]  是舊約研究大師Walter Bergman的經典作品
[00:00:26.680 --> 00:00:34.440]  Bergman在書裏面想處理的不是一些抽象的教義問題
[00:00:34.440 --> 00:00:37.320]  其實他是在問一個很基本的問題
[00:00:37.320 --> 00:00:43.680]  就是我們究竟有沒有一個屬於自己的地方呢?
[00:00:43.680 --> 00:00:50.200]  究竟我們應該怎樣理解歸屬感、理解家、理解安全呢?
[00:00:50.200 --> 00:00:56.880]  Bergman嘗試指出在聖經裏面的土地
[00:00:56.880 --> 00:01:01.600]  其實正正就是在回應一個這樣的問題
[00:01:01.600 --> 00:01:04.120]  首先我們要問的是甚麼是Land
[00:01:04.120 --> 00:01:06.880]  英文書名叫做The Land
[00:01:06.880 --> 00:01:11.040]  其實我們多數直譯都會翻譯為土地
[00:01:11.040 --> 00:01:13.440]  但是我們平時說的土地
[00:01:13.440 --> 00:01:16.560]  很多時候都會想到一些地理
[00:01:16.560 --> 00:01:20.280]  甚至有時候會想到一些政治的東西
[00:01:20.280 --> 00:01:22.280]  土地的問題
[00:01:22.280 --> 00:01:24.920]  但是在Bergman的理解裏面
[00:01:24.920 --> 00:01:29.160]  Land就不是純粹說地面那麼簡單
[00:01:29.160 --> 00:01:34.520]  他其實是用一些人民地理學的概念去理解的
[00:01:34.520 --> 00:01:38.600]  他強調這是一個地方
[00:01:38.600 --> 00:01:44.440]  他分得很清楚Space和Place的分別
[00:01:44.440 --> 00:01:47.080]  Space我們通常譯為空間
[00:01:47.080 --> 00:01:51.960]  他覺得這是可以暫時使用
[00:01:51.960 --> 00:01:54.160]  但又不用負責的一個空間
[00:01:54.160 --> 00:01:55.440]  是很抽象的
[00:01:55.440 --> 00:01:58.960]  但是Place譯為地方
[00:01:58.960 --> 00:02:04.720]  就是一些有記憶、有關係、有承諾的一個所在
[00:02:04.720 --> 00:02:06.240]  Place是甚麼呢?
[00:02:06.240 --> 00:02:08.760]  就是那裏的人在那裏生活的
[00:02:08.760 --> 00:02:10.040]  在那裏相遇的
[00:02:10.040 --> 00:02:13.680]  在那裏會做選擇的地方
[00:02:13.680 --> 00:02:16.280]  所以Place會塑造我們的身份
[00:02:16.280 --> 00:02:18.280]  我們是誰呢?
[00:02:18.280 --> 00:02:20.280]  究竟我們是甚麼人呢?
[00:02:20.280 --> 00:02:27.720]  都很大程度取決於我們屬於哪一個地方
[00:02:27.720 --> 00:02:29.720]  Bergman繼續說
[00:02:29.720 --> 00:02:34.360]  他覺得我們現代社會的問題不夠自由
[00:02:34.360 --> 00:02:37.960]  而是我們失去了這個地方
[00:02:37.960 --> 00:02:41.400]  很多時候很多人在城市裏面
[00:02:41.400 --> 00:02:43.400]  失去了那種根
[00:02:43.400 --> 00:02:47.320]  他形容為Rootless
[00:02:47.320 --> 00:02:49.320]  即是一個失根感
[00:02:49.320 --> 00:02:56.240]  令到很多人反而很渴望追求安全、穩定
[00:02:56.240 --> 00:02:58.240]  追求被接納等等
[00:02:58.240 --> 00:03:01.840]  而Bergman所說的聖經裏面的土地神學
[00:03:01.840 --> 00:03:05.400]  其實是在回應這種渴望
[00:03:05.400 --> 00:03:10.400]  在書裏面Bergman用了三段很長的故事去說土地神學
[00:03:10.400 --> 00:03:15.640]  第一段他就說由英許到土地開始
[00:03:15.640 --> 00:03:17.640]  其實就是在說亞伯拉罕的故事
[00:03:17.640 --> 00:03:23.800]  他就說上帝對亞伯拉罕的呼召
[00:03:23.800 --> 00:03:26.640]  其實是一個有關土地的呼召
[00:03:26.640 --> 00:03:28.640]  我們很熟悉的句子就是
