
[00:00:00.000 --> 00:00:04.000]  我們已經領受了餅和杯
[00:00:04.000 --> 00:00:06.000]  主的恩 主的愛
[00:00:06.000 --> 00:00:09.000]  充滿在我們心中
[00:00:09.000 --> 00:00:12.000]  這個時候我們要問
[00:00:12.000 --> 00:00:15.000]  然後如何呢?
[00:00:15.000 --> 00:00:17.000]  主的恩 主的愛
[00:00:17.000 --> 00:00:19.000]  充滿了我們的心
[00:00:19.000 --> 00:00:21.000]  以後如何呢?
[00:00:21.000 --> 00:00:24.000]  我們做什麼呢?
[00:00:24.000 --> 00:00:27.000]  我們要從感恩的心中
[00:00:27.000 --> 00:00:30.000]  發出來 流露出來
[00:00:30.000 --> 00:00:32.000]  侍奉
[00:00:32.000 --> 00:00:37.000]  請大家翻到羅馬書第十二章
[00:00:37.000 --> 00:00:41.000]  羅馬書第十二章
[00:00:41.000 --> 00:00:44.000]  在這一章裡面告訴我們
[00:00:44.000 --> 00:00:47.000]  從一顆感恩的心裡面
[00:00:47.000 --> 00:00:51.000]  發出來的侍奉
[00:00:51.000 --> 00:00:55.000]  司徒保羅在第一節這樣說
[00:00:55.000 --> 00:00:57.000]  所以弟兄們
[00:00:57.000 --> 00:01:00.000]  我以神的慈悲勸你們
[00:01:00.000 --> 00:01:02.000]  將身體獻上
[00:01:02.000 --> 00:01:04.000]  當作活祭
[00:01:04.000 --> 00:01:07.000]  是聖潔的 是神所喜悅的
[00:01:07.000 --> 00:01:09.000]  你們如此侍奉
[00:01:09.000 --> 00:01:13.000]  乃是理所當然的
[00:01:13.000 --> 00:01:17.000]  我們今天在敬拜主的時候
[00:01:17.000 --> 00:01:20.000]  要領受這一章的信息
[00:01:20.000 --> 00:01:23.000]  這一章信息的總體
[00:01:23.000 --> 00:01:25.000]  就是侍奉
[00:01:25.000 --> 00:01:27.000]  從感恩裡面
[00:01:27.000 --> 00:01:29.000]  所發出來的侍奉
[00:01:29.000 --> 00:01:31.000]  我們願意
[00:01:31.000 --> 00:01:33.000]  我們每一個人的侍奉
[00:01:33.000 --> 00:01:35.000]  都是出於感恩
[00:01:35.000 --> 00:01:38.000]  各位弟兄姊妹
[00:01:38.000 --> 00:01:40.000]  如果在你的侍奉裡面
[00:01:40.000 --> 00:01:44.000]  還有其他任何的動機
[00:01:44.000 --> 00:01:46.000]  好不好 今天早上
[00:01:46.000 --> 00:01:48.000]  讓我們靠著主
[00:01:48.000 --> 00:01:50.000]  把那一些
[00:01:50.000 --> 00:01:54.000]  其他的動機都出去
[00:01:54.000 --> 00:01:56.000]  單單留下一個動機
[00:01:56.000 --> 00:01:59.000]  就是感恩
[00:01:59.000 --> 00:02:01.000]  神的慈悲
[00:02:01.000 --> 00:02:04.000]  激勵我們 推動我們
[00:02:04.000 --> 00:02:09.000]  我們就歡歡喜喜地去侍奉
[00:02:09.000 --> 00:02:11.000]  這一章聖經告訴我們
[00:02:11.000 --> 00:02:16.000]  出於感恩的侍奉的表現的要點
[00:02:16.000 --> 00:02:18.000]  第一
[00:02:18.000 --> 00:02:20.000]  我們的感恩的侍奉
[00:02:20.000 --> 00:02:23.000]  是被動的
[00:02:23.000 --> 00:02:27.000]  是被神的慈愛所推動的
[00:02:27.000 --> 00:02:30.000]  我們自己原來不會侍奉
[00:02:30.000 --> 00:02:33.000]  因為我們不會愛神
[00:02:33.000 --> 00:02:37.000]  但是當我們還做罪人的時候
[00:02:37.000 --> 00:02:40.000]  基督就為我們死
[00:02:40.000 --> 00:02:42.000]  神的愛就在此
[00:02:42.000 --> 00:02:45.000]  向我們顯明瞭
[00:02:45.000 --> 00:02:50.000]  我們愛 因為神先愛我們
[00:02:50.000 --> 00:02:52.000]  不是我們先愛神
[00:02:52.000 --> 00:02:54.000]  是神先愛了我們
[00:02:54.000 --> 00:02:56.000]  當我們不認識神的時候
[00:02:56.000 --> 00:02:58.000]  向祂剛應的時候
[00:02:58.000 --> 00:03:00.000]  抵擋祂的時候
[00:03:00.000 --> 00:03:02.000]  出怒祂的時候
[00:03:02.000 --> 00:03:07.000]  神就在永世裡面愛了我們
[00:03:07.000 --> 00:03:10.000]  因此這個愛
[00:03:10.000 --> 00:03:12.000]  激勵我們 感動我們
[00:03:12.000 --> 00:03:16.000]  讓我們歡歡喜喜地去侍奉
[00:03:16.000 --> 00:03:20.000]  但是這個被動的侍奉
[00:03:20.000 --> 00:03:24.000]  在我們的裡面不是永遠是被動的
[00:03:24.000 --> 00:03:29.000]  漸漸成為我們主動的心智
[00:03:29.000 --> 00:03:34.000]  所以我們的侍奉是被動而又主動的
[00:03:34.000 --> 00:03:40.000]  正如包羅在菲律賓書二章十三節所說的
[00:03:40.000 --> 00:03:44.000]  包羅說你們勵志行事
[00:03:44.000 --> 00:03:49.000]  都是神在你們裡面運行
[00:03:49.000 --> 00:03:51.000]  神運行在我們裡面
[00:03:51.000 --> 00:03:53.000]  推動我們
[00:03:53.000 --> 00:03:55.000]  神是主動者
[00:03:55.000 --> 00:03:58.000]  但是我們勵志
[00:03:58.000 --> 00:04:02.000]  我們在被動的恩典中
[00:04:02.000 --> 00:04:04.000]  漸漸地學會
[00:04:04.000 --> 00:04:06.000]  出於我們自己的意志
[00:04:06.000 --> 00:04:10.000]  來主動地愛神 侍奉神
[00:04:10.000 --> 00:04:12.000]  我們有一個堅強的心智
[00:04:12.000 --> 00:04:18.000]  要把自己擺在地上侍奉神
[00:04:18.000 --> 00:04:21.000]  這是何等的美好
[00:04:21.000 --> 00:04:25.000]  有不少的侍奉的人太被動了
[00:04:25.000 --> 00:04:27.000]  你推一推動一動
[00:04:27.000 --> 00:04:28.000]  不推就不動
[00:04:28.000 --> 00:04:30.000]  推得大力一點它動多一點
[00:04:30.000 --> 00:04:34.000]  推的力量小一點它動少一點
[00:04:34.000 --> 00:04:38.000]  這樣的侍奉不能夠滿足主的心意
[00:04:38.000 --> 00:04:41.000]  在香港有一間教會
[00:04:41.000 --> 00:04:44.000]  有一個諸如學的教員
