
[00:00:00.000 --> 00:00:10.000]  我們今天繼續思想聖經希伯來書第三章第四章的經文
[00:00:10.000 --> 00:00:16.000]  提到就是以信心與所聽見的道配合
[00:00:16.000 --> 00:00:21.000]  經文裏面提到有不少的人因為不能夠繼續信主
[00:00:21.000 --> 00:00:24.000]  所以離棄主
[00:00:24.000 --> 00:00:30.000]  我就很快想到過去見到一些曾經是基督徒的朋友
[00:00:30.000 --> 00:00:32.000]  問起他們的情況的時候
[00:00:32.000 --> 00:00:38.000]  都感到很詫異他們因為某些原因放棄信仰
[00:00:38.000 --> 00:00:41.000]  一位信主很多年的姐妹
[00:00:41.000 --> 00:00:44.000]  這位姐妹與弟弟關係很密切
[00:00:44.000 --> 00:00:46.000]  大家很有親情
[00:00:46.000 --> 00:00:49.000]  後來弟弟患了癌症
[00:00:49.000 --> 00:00:52.000]  因此這位姐妹迫切為弟弟祈禱
[00:00:52.000 --> 00:00:55.000]  呼求神來醫治她
[00:00:55.000 --> 00:00:59.000]  但一段時間之後弟弟去世
[00:00:59.000 --> 00:01:01.000]  姐妹很失望
[00:01:01.000 --> 00:01:04.000]  她開始跟別人說
[00:01:04.000 --> 00:01:07.000]  她說我不能夠再相信這位神
[00:01:07.000 --> 00:01:09.000]  祂很冷漠
[00:01:09.000 --> 00:01:11.000]  祂很殘忍
[00:01:11.000 --> 00:01:13.000]  我不可以再信
[00:01:13.000 --> 00:01:17.000]  因此她離開了上帝
[00:01:17.000 --> 00:01:23.000]  另一位少年的基督徒初移民到英國
[00:01:23.000 --> 00:01:26.000]  去到英國的時候很想有朋友
[00:01:26.000 --> 00:01:30.000]  因為香港的舊朋友已經分隔開了
[00:01:30.000 --> 00:01:35.000]  但在學校和家裏都找不到可以聊天的對象
[00:01:35.000 --> 00:01:37.000]  後來出現一個朋友
[00:01:37.000 --> 00:01:39.000]  很願意和他聊天
[00:01:39.000 --> 00:01:42.000]  原來發現他是一個穆斯林
[00:01:42.000 --> 00:01:45.000]  過了一段時間這位基督徒
[00:01:45.000 --> 00:01:47.000]  和自己的父母說
[00:01:47.000 --> 00:01:50.000]  現在我不可以信耶穌了
[00:01:50.000 --> 00:01:52.000]  因為我的好朋友穆斯林
[00:01:52.000 --> 00:01:54.000]  我也是穆斯林
[00:01:54.000 --> 00:01:58.000]  他就繼續跟隨這位朋友
[00:01:58.000 --> 00:02:02.000]  去了當地的很多清真寺
