
[00:00:00.000 --> 00:00:06.000]  我非常地感謝主在這一次機會能夠到Edmonton來
[00:00:06.000 --> 00:00:10.000]  和弟兄姊妹們一同領受所得話語
[00:00:10.000 --> 00:00:13.000]  我非常地感謝主有這個機會來到Edmonton的地方
[00:00:13.000 --> 00:00:15.500]  和弟兄姊妹們同領受神自己的話語
[00:00:15.500 --> 00:00:19.000]  上一次來已經好幾年了,以前了
[00:00:19.000 --> 00:00:21.000]  上一次來的時候已經好幾年以前來了
[00:00:21.000 --> 00:00:28.500]  很歡喜看見在愛城的聖誕會有增長
[00:00:28.500 --> 00:00:34.000]  原來一間現在成了三間
[00:00:34.000 --> 00:00:39.000]  雖然三間還是一間你們都回來了
[00:00:39.000 --> 00:00:50.000]  這次培靈會要我講宣道會的四重福音
[00:00:50.000 --> 00:00:57.000]  這是宣道會的家寶
[00:00:57.000 --> 00:00:59.000]  這是宣道會的家寶
[00:00:59.000 --> 00:01:01.500]  是全家之寶
[00:01:01.500 --> 00:01:03.500]  這個寶是從聖經來的
[00:01:03.500 --> 00:01:11.500]  這是宣道會的屬靈的傳統
[00:01:11.500 --> 00:01:16.500]  我們的領受要保持
[00:01:16.500 --> 00:01:21.500]  這四重的福音是非常地重要
[00:01:21.500 --> 00:01:24.500]  是非常地寶貴
[00:01:24.500 --> 00:01:31.000]  所以我們要了解祂,我們要持守祂
[00:01:31.000 --> 00:01:35.000]  這四次的聚會裡頭
[00:01:35.000 --> 00:01:42.000]  今天晚上,明天晚上,禮拜天晚上
[00:01:42.000 --> 00:01:45.000]  還有禮拜天的早上
[00:01:45.000 --> 00:01:53.000]  我要將四重的每一重講解出來
[00:01:53.000 --> 00:02:01.000]  我相信大家都早已經知道這四重福音的要點
[00:02:01.000 --> 00:02:05.000]  不過我們溫習一下
[00:02:05.000 --> 00:02:11.000]  也許有新的弟兄姊妹還不大清楚
[00:02:11.000 --> 00:02:16.000]  所以我們要溫故知新
[00:02:16.000 --> 00:02:21.500]  求聖靈親自地教導我們
[00:02:21.500 --> 00:02:23.500]  我們有一個老師
[00:02:23.500 --> 00:02:26.500]  隨時在我們的身邊
[00:02:26.500 --> 00:02:30.500]  隨時在我們的心中
[00:02:30.500 --> 00:02:33.500]  在我們的前面,在我們的後面
[00:02:33.500 --> 00:02:40.500]  環繞我們,引導我們,教導我們
[00:02:40.500 --> 00:02:44.500]  所以我們依靠保衛師聖靈
[00:02:44.500 --> 00:02:48.500]  這四次的聚會親自地教導我們
[00:02:48.500 --> 00:02:57.500]  今天晚上,我們要看第一重的要點
[00:02:57.500 --> 00:03:02.500]  耶穌基督是我們的救主
[00:03:02.500 --> 00:03:07.500]  有一節聖經,大家很熟悉
[00:03:07.500 --> 00:03:13.500]  就是《馬太福音》第一章十八節
[00:03:13.500 --> 00:03:16.500]  很多人都會背
[00:03:16.500 --> 00:03:21.500]  在我們的主降生以前
[00:03:21.500 --> 00:03:25.500]  神的使者有一個宣告
[00:03:25.500 --> 00:03:31.500]  這樣說,你要給祂起名叫耶穌
[00:03:31.500 --> 00:03:40.500]  因為祂要把自己的百姓從罪惡裡救出來
[00:03:40.500 --> 00:03:47.500]  耶穌這個名字就是拯救者的意思
[00:03:47.500 --> 00:03:52.500]  祂救贖祂的百姓
[00:03:52.500 --> 00:03:58.500]  舊約的約束亞和新約的耶穌
[00:03:58.500 --> 00:04:01.500]  這兩個名字同樣的意思
[00:04:01.500 --> 00:04:08.500]  都是拯救者的意思
[00:04:08.500 --> 00:04:14.500]  感謝主,約束亞是耶穌的預表
[00:04:14.500 --> 00:04:19.500]  在舊約時代已經把主耶穌的形象
[00:04:19.500 --> 00:04:27.500]  救主的形象預先表明出來
[00:04:27.500 --> 00:04:30.500]  那麼我們要問一個問題
[00:04:30.500 --> 00:04:35.500]  耶穌基督這位救主怎樣救我們呢?
[00:04:35.500 --> 00:04:43.500]  有一節聖經,我希望大家都牢牢記在心中
[00:04:43.500 --> 00:04:46.500]  請大家翻到
[00:04:46.500 --> 00:04:54.500]  哥倫多後書第一章第十節
[00:04:54.500 --> 00:04:59.500]  臨後一章十節
[00:04:59.500 --> 00:05:01.500]  找到以後
[00:05:01.500 --> 00:05:07.500]  我想請大家一起讀出來
[00:05:07.500 --> 00:05:10.500]  二百四十八頁
[00:05:10.500 --> 00:05:12.500]  雙紅聖經二百四十八頁
[00:05:12.500 --> 00:05:17.500]  臨後一章第十節
[00:05:17.500 --> 00:05:22.500]  祂曾救我們脫離那極大的死亡
[00:05:22.500 --> 00:05:24.500]  現在仍要救我們
[00:05:24.500 --> 00:05:29.500]  並且我們指望祂將來還要救我們
[00:05:29.500 --> 00:05:32.500]  在這裡有三個救字
[00:05:32.500 --> 00:05:34.500]  過去救
[00:05:34.500 --> 00:05:36.500]  現在救
[00:05:36.500 --> 00:05:38.500]  將來救
[00:05:38.500 --> 00:05:41.500]  這位救主
[00:05:41.500 --> 00:05:45.500]  祂給我們完全的救恩
[00:05:45.500 --> 00:05:48.500]  分了三個階段
[00:05:48.500 --> 00:05:51.500]  第一,過去
[00:05:51.500 --> 00:05:53.500]  第二,現在
[00:05:53.500 --> 00:05:56.500]  第三,將來
[00:05:56.500 --> 00:06:00.500]  這三個階段合在一起就是全被的救恩
[00:06:00.500 --> 00:06:03.500]  這三個階段合在一起就是一個全被的救恩
[00:06:03.500 --> 00:06:06.500]  完完全全的救恩
[00:06:06.500 --> 00:06:07.500]  完完全全的救恩
[00:06:07.500 --> 00:06:10.500]  我們看看這三個階段的意義是什麼
[00:06:10.500 --> 00:06:12.500]  我們看看這三個階段的意義是什麼
[00:06:12.500 --> 00:06:15.500]  第一個階段,過去
[00:06:15.500 --> 00:06:16.500]  過去
[00:06:16.500 --> 00:06:22.500]  祂曾救我們脫離那極大的死亡
[00:06:22.500 --> 00:06:25.500]  祂曾救我們脫離那極大的死亡
[00:06:25.500 --> 00:06:28.500]  這是過去拯救我們的靈魂
[00:06:28.500 --> 00:06:30.500]  就是過去拯救我們的靈魂
[00:06:30.500 --> 00:06:34.500]  救我們脫離罪惡的刑罰
[00:06:34.500 --> 00:06:36.500]  救我們脫離罪惡的刑罰
[00:06:36.500 --> 00:06:37.500]  這個刑罰是什麼
[00:06:37.500 --> 00:06:38.500]  這個刑罰是什麼
[00:06:38.500 --> 00:06:41.500]  永遠的沉淪滅亡
[00:06:41.500 --> 00:06:44.500]  就是永遠的沉淪滅亡
[00:06:44.500 --> 00:06:46.500]  保羅在這裡把它形容
[00:06:46.500 --> 00:06:49.500]  叫做那極大的死亡
[00:06:49.500 --> 00:06:52.500]  保羅在這裡形容它是作一個極大的死亡
[00:06:52.500 --> 00:06:57.500]  那是身心靈的完全的沉淪死亡
[00:06:57.500 --> 00:07:00.500]  一個心身靈完全的沉亡
