
[00:00:00.000 --> 00:00:05.000]  今天和大家一起思想《新命記》第七章的經文
[00:00:05.000 --> 00:00:11.000]  我們思想到愛神人如何蒙受神的祝福
[00:00:11.000 --> 00:00:13.000]  在我自己的家裡
[00:00:13.000 --> 00:00:17.000]  在牆上貼了很多相片
[00:00:17.000 --> 00:00:19.000]  有些電視節目來到我家就會知道
[00:00:19.000 --> 00:00:21.000]  其中有一幅是比較特別的
[00:00:21.000 --> 00:00:26.000]  有一幅就是有大概十幾個一個月大的嬰兒
[00:00:26.000 --> 00:00:32.000]  放在一些地上的軟石上排列著拍一張照片
[00:00:32.000 --> 00:00:36.000]  因為嬰兒小小的所以他們沒有腰骨力
[00:00:36.000 --> 00:00:40.000]  所以他們坐在地上的時候就會左蹦右蹦
[00:00:40.000 --> 00:00:42.000]  左靠右靠
[00:00:42.000 --> 00:00:47.000]  十幾個嬰兒互相依蹦地坐在地上拍照
[00:00:47.000 --> 00:00:49.000]  那張照片很深刻
[00:00:49.000 --> 00:00:54.000]  就是我的兒子在二十年前和其他一班小孩子拍的
[00:00:54.000 --> 00:00:57.000]  當時整個過程裡面
[00:00:57.000 --> 00:01:00.000]  我的眼睛只留意一個人
[00:01:00.000 --> 00:01:02.000]  就是我自己的兒子
[00:01:02.000 --> 00:01:04.000]  我怕他會不會壓到別人
[00:01:04.000 --> 00:01:06.000]  不知道會不會被別人壓到
[00:01:06.000 --> 00:01:08.000]  所以一直很留意著他
[00:01:08.000 --> 00:01:10.000]  然後拍了一張很開心的照片
[00:01:10.000 --> 00:01:14.000]  當然整張照片裡面每一個嬰兒都很可愛
[00:01:14.000 --> 00:01:17.000]  但對我來說最可愛的只有一個
[00:01:17.000 --> 00:01:20.000]  就是我自己的兒子
[00:01:20.000 --> 00:01:22.000]  我知道我和他有特別的關係
[00:01:22.000 --> 00:01:26.000]  我都期望這個孩子會不斷地成長
[00:01:26.000 --> 00:01:32.000]  我都知道他是在我的心目中是最獨特的一個
[00:01:32.000 --> 00:01:34.000]  我講這件事情是因為我想起
[00:01:34.000 --> 00:01:37.000]  其實我們很多弟兄姊妹常常都會感受到
[00:01:37.000 --> 00:01:40.000]  神和我們之間有很特殊的關係
[00:01:40.000 --> 00:01:42.000]  聖經很清楚地說
[00:01:42.000 --> 00:01:44.000]  凡是神的選民
[00:01:44.000 --> 00:01:48.000]  神的子民在他眼中都是特別的
[00:01:48.000 --> 00:01:51.000]  是和他有特別的關係
[00:01:51.000 --> 00:01:54.000]  因此聖經稱我們為他的選民
[00:01:54.000 --> 00:01:57.000]  是特別歸於他的子民
[00:01:57.000 --> 00:02:00.000]  是和他有獨特的關係
[00:02:00.000 --> 00:02:01.000]  因此主耶穌說
[00:02:01.000 --> 00:02:03.000]  我認識我的羊
[00:02:03.000 --> 00:02:07.000]  我的羊也認識我
[00:02:07.000 --> 00:02:09.000]  是一種彼此認識
[00:02:09.000 --> 00:02:12.000]  一種與別不同的一種關係
[00:02:12.000 --> 00:02:14.000]  當以色列人
