
[00:00:00.000 --> 00:00:05.000]  我相信大家已經醒過來了
[00:00:05.000 --> 00:00:10.000]  我們一同用預備好的心
[00:00:10.000 --> 00:00:16.500]  來接受主的話語的提醒 指導
[00:00:16.500 --> 00:00:20.800]  我們在這個時代的潮流裡面
[00:00:20.800 --> 00:00:25.500]  我們知說行 止
[00:00:25.500 --> 00:00:29.000]  怎麼樣走路 怎麼樣止步
[00:00:29.300 --> 00:00:34.000]  我們在走的道中 一道為我們的界線
[00:00:34.000 --> 00:00:39.200]  一道為我們的立場 一道為我們的目標
[00:00:39.200 --> 00:00:46.500]  要請大家翻到提摩太后書第三章
[00:00:46.500 --> 00:00:50.100]  我們很熟悉的經文
[00:00:50.100 --> 00:00:57.700]  在這裡保羅將末世的情況
[00:00:58.100 --> 00:01:01.300]  清楚的告訴我們
[00:01:01.300 --> 00:01:07.300]  第三章第一節
[00:01:07.300 --> 00:01:10.300]  你該知道
[00:01:10.300 --> 00:01:16.800]  這是每一個蜀族的人應該知道的
[00:01:16.800 --> 00:01:20.800]  要清楚的認識 了解
[00:01:20.800 --> 00:01:24.800]  末世是怎麼樣的
[00:01:25.800 --> 00:01:32.800]  這裡說的末世就是從主耶穌開始
[00:01:32.800 --> 00:01:35.300]  一直到主再來
[00:01:35.300 --> 00:01:39.800]  這段時間是末世的整體
[00:01:39.800 --> 00:01:43.800]  正如許伯來書第一章第二節
[00:01:43.800 --> 00:01:46.800]  說在這末後的日子
[00:01:46.800 --> 00:01:51.800]  神差他的兒子耶穌基督到世上來
[00:01:52.300 --> 00:01:57.800]  所以這個末世是一個種的時間
[00:01:57.800 --> 00:02:01.300]  這個時間的通稱
[00:02:01.300 --> 00:02:04.300]  在這個末世的時代裡頭
[00:02:04.300 --> 00:02:10.300]  它的現象是一直的加強
[00:02:10.300 --> 00:02:13.300]  一直的更普遍
[00:02:13.300 --> 00:02:16.300]  一直的加深
[00:02:16.300 --> 00:02:19.800]  在這裡所說的情況
[00:02:20.300 --> 00:02:25.300]  在保羅的時代已經出現
[00:02:25.300 --> 00:02:29.300]  但是在歷史的進展之中
[00:02:29.300 --> 00:02:33.800]  一路的加強 加闊 加深
[00:02:33.800 --> 00:02:37.300]  到了主再來的時候
[00:02:37.300 --> 00:02:41.800]  就是最厲害的表現了
[00:02:41.800 --> 00:02:49.300]  我們已經是在這個時代的高潮的當中了
[00:02:49.800 --> 00:02:55.300]  你該知道末世必有危險的日子來到
[00:02:55.300 --> 00:02:59.800]  在這個日子時代的潮流當中
[00:02:59.800 --> 00:03:03.300]  我們很容易被沖去
[00:03:03.300 --> 00:03:06.300]  我們很容易失去我們的立場
[00:03:06.300 --> 00:03:09.300]  失去我們的見證
[00:03:09.300 --> 00:03:11.800]  所以這一段的經文
[00:03:11.800 --> 00:03:16.300]  是今天基督徒要熟悉的
[00:03:17.300 --> 00:03:19.300]  要熟讀
[00:03:19.300 --> 00:03:21.300]  讀了又讀
[00:03:21.300 --> 00:03:24.300]  常常得到提醒
[00:03:24.300 --> 00:03:27.300]  在潮流的衝擊之下
[00:03:27.300 --> 00:03:32.800]  我們站穩跟從基督的立場
[00:03:32.800 --> 00:03:36.800]  在這個潮流當中
[00:03:36.800 --> 00:03:38.300]  我們不看潮流
[00:03:38.300 --> 00:03:40.300]  我們不跟潮流
[00:03:40.300 --> 00:03:44.300]  我們只跟從耶穌基督
[00:03:44.300 --> 00:03:46.800]  有一次一個青年人問我
[00:03:46.800 --> 00:03:49.800]  基督徒是反潮流呢
[00:03:49.800 --> 00:03:52.300]  還是順潮流呢
[00:03:52.300 --> 00:03:54.300]  我對他說
[00:03:54.300 --> 00:03:56.800]  也不反 也不順
[00:03:56.800 --> 00:03:58.800]  他說你取巧
[00:03:58.800 --> 00:04:01.300]  我說不是取巧
[00:04:01.300 --> 00:04:03.300]  在潮流中
[00:04:03.300 --> 00:04:05.300]  在今天的潮流中
[00:04:05.300 --> 00:04:08.800]  有一些事物是好的
[00:04:08.800 --> 00:04:12.800]  這是我們不能一概否定的
[00:04:12.800 --> 00:04:15.300]  有它的好的地方
[00:04:15.800 --> 00:04:17.800]  比方現在香港
[00:04:17.800 --> 00:04:21.800]  正在推動扶貧運動
[00:04:21.800 --> 00:04:24.800]  要照顧貧窮的人
[00:04:24.800 --> 00:04:26.300]  這是好的
[00:04:26.300 --> 00:04:27.800]  這是愛心
[00:04:27.800 --> 00:04:30.800]  這是合乎主的旨意的
[00:04:30.800 --> 00:04:32.800]  在這一類的事上
