
[00:00:00.000 --> 00:00:03.640]  教會是活出聖潔生活的一個群體
[00:00:03.640 --> 00:00:06.520]  今天我也想用這段經文
[00:00:06.520 --> 00:00:10.440]  在利未記跟大家思想這方面的主題
[00:00:10.440 --> 00:00:16.000]  利未記其實是一本相當特別的書卷
[00:00:16.000 --> 00:00:18.720]  整個書卷是講獻祭
[00:00:18.720 --> 00:00:22.320]  在新約希伯來書說到
[00:00:22.320 --> 00:00:24.800]  在舊約裡面整個的獻祭
[00:00:24.800 --> 00:00:28.800]  都是代表著耶穌的救贖的工作
[00:00:29.320 --> 00:00:32.400]  所以在這本書裡
[00:00:32.400 --> 00:00:39.480]  其實是象徵著上帝怎樣藉著一個贖罪
[00:00:39.480 --> 00:00:44.000]  去讓一個有罪的人能夠與上帝有交往
[00:00:44.000 --> 00:00:46.120]  在第十章裡
[00:00:46.120 --> 00:00:51.200]  其實有承上轉下的一個很重要的功能
[00:00:51.200 --> 00:00:53.560]  在第一至第九章
[00:00:53.560 --> 00:00:57.280]  他講到上帝頒佈了很多不同的祭
[00:00:57.280 --> 00:00:59.280]  什麼時候就獻什麼祭
[00:00:59.400 --> 00:01:00.880]  什麼時候又要什麼祭
[00:01:00.880 --> 00:01:03.840]  第八第九章是講
[00:01:03.840 --> 00:01:07.080]  既然有獻祭的祭
[00:01:07.080 --> 00:01:08.640]  就有獻祭的人
[00:01:08.640 --> 00:01:13.320]  所以在第八第九章是講祭司的設立
[00:01:13.320 --> 00:01:15.240]  高立祭司
[00:01:15.240 --> 00:01:18.840]  以至可以為以色列人去獻祭
[00:01:18.840 --> 00:01:21.240]  在第十章裡
[00:01:21.240 --> 00:01:26.040]  講到獻祭最後
[00:01:26.040 --> 00:01:28.000]  這個安納祭司禮的完成
[00:01:28.000 --> 00:01:30.560]  也講到有承下的意思
[00:01:30.560 --> 00:01:32.000]  講到祭司的一個功能
[00:01:32.000 --> 00:01:35.400]  這個功能就是要教導一班以色列人
[00:01:35.400 --> 00:01:37.400]  去遵守上帝的吩咐
[00:01:37.400 --> 00:01:42.360]  在當時還沒有一些的民事職責
[00:01:42.360 --> 00:01:44.280]  所以祭司可以包括
[00:01:44.280 --> 00:01:47.000]  要作一個教導以色列人
[00:01:47.000 --> 00:01:50.080]  遵守上帝誡命的一個職能在裡面
[00:01:50.080 --> 00:01:54.280]  接著在第十章裡
[00:01:54.680 --> 00:02:00.800]  是連接第八第九章的很重要的關節
[00:02:00.800 --> 00:02:02.480]  其實第八第九章
[00:02:02.480 --> 00:02:05.480]  是一個很和諧的畫面
[00:02:05.480 --> 00:02:07.680]  上帝吩咐了一些東西
[00:02:07.680 --> 00:02:09.280]  接著人就去遵守了
[00:02:09.280 --> 00:02:10.880]  上帝吩咐摩西
[00:02:10.880 --> 00:02:12.040]  摩西就做了
[00:02:12.040 --> 00:02:13.520]  摩西吩咐亞倫
[00:02:13.520 --> 00:02:15.080]  亞倫也遵守了
[00:02:15.080 --> 00:02:18.840]  所以在一個很和諧的情況裡
[00:02:18.840 --> 00:02:22.760]  但是第十章就打斷了
[00:02:22.760 --> 00:02:25.320]  可以說是這種的平穩
[00:02:25.320 --> 00:02:28.000]  這種和諧的一個情況
[00:02:28.000 --> 00:02:30.120]  就是說到那塔和阿比胡
[00:02:30.120 --> 00:02:32.840]  沒有遵守上帝的吩咐
[00:02:32.840 --> 00:02:34.160]  去做了一些事情
[00:02:34.160 --> 00:02:36.760]  本來說了去做
[00:02:36.760 --> 00:02:37.840]  那就很和諧了
[00:02:37.840 --> 00:02:39.040]  但是現在說到
[00:02:39.040 --> 00:02:40.480]  這兩個
[00:02:40.480 --> 00:02:42.920]  亞倫兩個兒子那塔和阿比胡
[00:02:42.920 --> 00:02:48.320]  他們沒有遵守上帝的一個吩咐
[00:02:48.800 --> 00:02:52.760]  他們獻了一個梵火
[00:02:52.760 --> 00:02:55.480]  什麼叫做梵火呢
[00:02:55.480 --> 00:02:59.680]  有不同的拉比用了不同的解釋
[00:02:59.680 --> 00:03:02.320]  因為這個字基本上在聖經裡面
[00:03:02.320 --> 00:03:04.000]  除了這裡出現過
[00:03:04.000 --> 00:03:05.120]  其他沒有出現過
[00:03:05.120 --> 00:03:06.840]  什麼叫做梵火呢
[00:03:06.840 --> 00:03:09.320]  有些猶大的一些的
[00:03:09.320 --> 00:03:11.360]  就有學問叫做拉比
[00:03:11.360 --> 00:03:12.560]  他們就說
[00:03:12.560 --> 00:03:17.880]  可能是因為那塔阿比胡喝醉了酒
[00:03:17.880 --> 00:03:20.080]  所以在喝醉酒的裡面
[00:03:20.080 --> 00:03:22.200]  就不應該去做一個獻祭的
[00:03:22.200 --> 00:03:22.920]  就做了
[00:03:22.920 --> 00:03:24.640]  所以這個就不對了
[00:03:24.640 --> 00:03:26.520]  另一些的解釋就說
[00:03:26.520 --> 00:03:28.320]  他們可能沒有洗手
[00:03:28.320 --> 00:03:32.440]  就是沒有做到自己的清潔的過程
[00:03:32.440 --> 00:03:34.120]  他們就做了這個行動了
[00:03:34.120 --> 00:03:37.720]  但是其實在這段經文裡面
[00:03:37.720 --> 00:03:41.320]  梵火已經說了是什麼
