
[00:00:00.000 --> 00:00:05.380]  這一次我有傳講的訊息是要我講的
[00:00:05.380 --> 00:00:07.880]  但是如果我自己選擇
[00:00:07.880 --> 00:00:10.880]  都會選擇這個訊息
[00:00:10.880 --> 00:00:13.880]  這次華府大會
[00:00:13.880 --> 00:00:20.380]  一千八百位大兄姐妹同工聚集在一起
[00:00:20.380 --> 00:00:23.880]  我們唯一的重心
[00:00:23.880 --> 00:00:27.880]  就是要按照神的旨意
[00:00:27.880 --> 00:00:33.880]  向福音早日全天遍行
[00:00:33.880 --> 00:00:37.880]  這是神終極的旨意
[00:00:37.880 --> 00:00:41.880]  我們願意體會主的終極的最後
[00:00:41.880 --> 00:00:44.880]  最高的旨意
[00:00:44.880 --> 00:00:49.880]  我們先低頭祈禱
[00:00:49.880 --> 00:00:51.880]  自非一個附身
[00:00:51.880 --> 00:00:54.880]  我們等候在祢的面前
[00:00:54.880 --> 00:00:57.880]  肯靠真理的靈
[00:00:57.880 --> 00:01:01.880]  帶領我們進入真理
[00:01:01.880 --> 00:01:06.880]  求神靈光照我們的理性
[00:01:06.880 --> 00:01:10.880]  帶動感動我們的感情
[00:01:10.880 --> 00:01:13.880]  來兼顧我們的意志
[00:01:13.880 --> 00:01:18.880]  讓我們整個人可以被主所用
[00:01:18.880 --> 00:01:20.880]  來認識主
[00:01:20.880 --> 00:01:22.880]  來見證主
[00:01:22.880 --> 00:01:24.880]  得到全釀主的福音
[00:01:24.880 --> 00:01:27.880]  直到地獄期
[00:01:27.880 --> 00:01:30.880]  靠主令到我們每一個人
[00:01:30.880 --> 00:01:34.880]  都是投入在大善念裏面
[00:01:34.880 --> 00:01:37.880]  得到主的使用
[00:01:37.880 --> 00:01:41.880]  我們這樣仰望祈求奉主的聖靈
[00:01:41.880 --> 00:01:43.880]  阿門
[00:01:43.880 --> 00:01:48.880]  身為一體的神
[00:01:48.880 --> 00:01:52.880]  聖父祂的終極的心意
[00:01:52.880 --> 00:01:57.880]  就是將福音傳遍天下
[00:01:57.880 --> 00:02:00.880]  約翰福音三章十六字
[00:02:00.880 --> 00:02:02.880]  神愛世人
[00:02:02.880 --> 00:02:05.880]  甚至將祂的獨生子
[00:02:05.880 --> 00:02:07.880]  接給他們
[00:02:07.880 --> 00:02:10.880]  叫一切神他的不至滅亡
[00:02:10.880 --> 00:02:13.880]  凡德永生
[00:02:13.880 --> 00:02:16.880]  神愛全世界的人
[00:02:16.880 --> 00:02:19.880]  要他們得教
[00:02:19.880 --> 00:02:21.880]  聖子耶穌彼得說
[00:02:21.880 --> 00:02:23.880]  我另外有約
[00:02:23.880 --> 00:02:25.880]  另外有約
[00:02:25.880 --> 00:02:31.880]  另外另外將全世界包括在內
[00:02:31.880 --> 00:02:35.880]  主說我必須帶他們來
[00:02:35.880 --> 00:02:39.880]  同而並有約人成為一群
[00:02:39.880 --> 00:02:44.880]  為一個每日來照顧每日
[00:02:44.880 --> 00:02:46.880]  聖靈
[00:02:46.880 --> 00:02:48.880]  主耶穌說
[00:02:48.880 --> 00:02:51.880]  聖靈降臨在你們的身上
[00:02:51.880 --> 00:02:54.880]  你們就必得著能力
[00:02:54.880 --> 00:02:57.880]  在猶太人猶太傳遞
