
[00:00:00.000 --> 00:00:01.640]  我都忘記了 我一時之間不懂回答
[00:00:01.640 --> 00:00:02.680]  不過想問問大家
[00:00:02.680 --> 00:00:05.000]  看你懂不懂回答這條IQ題
[00:00:05.000 --> 00:00:10.960]  如果有兩個人進入一間很骯髒的房間裡
[00:00:10.960 --> 00:00:12.080]  出來之後
[00:00:12.080 --> 00:00:15.360]  有一個人的臉上很骯髒
[00:00:15.360 --> 00:00:17.960]  另一個人就很乾淨
[00:00:17.960 --> 00:00:24.400]  究竟哪一個人會第一時間去洗手間洗臉呢
[00:00:24.400 --> 00:00:27.560]  如果是骯髒的請舉手
[00:00:27.560 --> 00:00:30.080]  乾淨 很乾淨
[00:00:30.080 --> 00:00:32.520]  這個問題大家很有智慧
[00:00:32.520 --> 00:00:35.120]  為什麼呢
[00:00:35.120 --> 00:00:36.480]  因為一出來的時候
[00:00:36.480 --> 00:00:39.000]  那個很骯髒的人的臉上
[00:00:39.000 --> 00:00:40.480]  一看見對方已經很乾淨
[00:00:40.480 --> 00:00:42.040]  他就以為自己很乾淨
[00:00:42.040 --> 00:00:44.760]  所以他不會覺得自己需要去清潔
[00:00:44.760 --> 00:00:48.560]  但是反而那個很乾淨的人
[00:00:48.560 --> 00:00:49.720]  一看對方很骯髒
[00:00:49.720 --> 00:00:50.640]  以為自己很骯髒
[00:00:50.640 --> 00:00:54.800]  所以就馬上去洗手間洗臉
[00:00:54.800 --> 00:00:59.080]  這個IQ題正正反映今天
[00:00:59.080 --> 00:01:03.440]  我們所讀的一段經文的一班人的心態
[00:01:03.440 --> 00:01:05.200]  剛才那個骯髒的人
[00:01:05.200 --> 00:01:08.200]  他以為看見對方光明
[00:01:08.200 --> 00:01:08.880]  對方很乾淨
[00:01:08.880 --> 00:01:12.360]  他就自己以為自己很乾淨
[00:01:12.360 --> 00:01:14.400]  他就不去處理自己的污穢
[00:01:14.400 --> 00:01:17.840]  正如這班巴里塞人和民事一樣
[00:01:17.840 --> 00:01:21.680]  他們其實以為自己在光明當中
[00:01:21.680 --> 00:01:25.360]  但其實他們整個生命都是在黑暗的裡面
[00:01:25.360 --> 00:01:27.040]  在剛才所讀的經文裡面
[00:01:27.040 --> 00:01:30.320]  在第十一章三十三至三十六節
[00:01:30.320 --> 00:01:32.240]  耶穌說了一個比喻
[00:01:32.240 --> 00:01:37.440]  這個就是燈不會隱藏
[00:01:37.440 --> 00:01:39.320]  會照在一個適當的地方裡面
[00:01:39.320 --> 00:01:40.800]  當有黑暗的時候
[00:01:40.800 --> 00:01:43.400]  有一盞燈那個地方就光明
[00:01:43.400 --> 00:01:47.320]  耶穌說我們的眼睛就好像燈一樣
[00:01:47.320 --> 00:01:49.320]  如果我們的眼睛是明亮
[00:01:49.320 --> 00:01:53.640]  我們整個生命都會光明
[00:01:53.640 --> 00:01:54.320]  耶穌在這裡
[00:01:54.320 --> 00:01:56.600]  為什麼用這個比喻呢?
[00:01:56.600 --> 00:01:58.200]  在上文裡面就說到
[00:01:58.200 --> 00:02:02.600]  當耶穌去宣講上帝的真理的時候
[00:02:02.600 --> 00:02:05.800]  一班猶太的宗教領袖
[00:02:05.800 --> 00:02:07.120]  包括這班巴里塞人
[00:02:07.120 --> 00:02:08.360]  這班民事
[00:02:08.360 --> 00:02:11.680]  他們不相信耶穌所說的真理
[00:02:11.680 --> 00:02:15.440]  他們都不認為耶穌就是上帝所差弗來的善智
[00:02:15.440 --> 00:02:18.000]  他們對上帝的道
[00:02:18.000 --> 00:02:19.240]  可以說上帝的真理
[00:02:19.240 --> 00:02:20.800]  沒有任何的回應
[00:02:20.800 --> 00:02:23.920]  所以耶穌在這裡說了一個比喻
[00:02:23.920 --> 00:02:27.520]  就是說如果人的眼睛是明亮
[00:02:27.520 --> 00:02:30.360]  意思就是當人很清楚的
[00:02:30.360 --> 00:02:32.520]  對上帝的真理有回應的時候
[00:02:32.520 --> 00:02:35.800]  他整個生命也都會光明
[00:02:35.800 --> 00:02:36.760]  耶穌在這裡說
[00:02:36.760 --> 00:02:38.200]  不是說一班巴里塞人
[00:02:38.200 --> 00:02:42.280]  你們不要把心裡面以為你們有光
[00:02:42.280 --> 00:02:43.720]  不要讓你的光去黑暗
[00:02:43.720 --> 00:02:44.440]  不是
[00:02:44.440 --> 00:02:49.200]  耶穌說恐怕你們整個生命都在黑暗當中
[00:02:49.200 --> 00:02:52.520]  耶穌是指出這個問題
[00:02:52.520 --> 00:02:54.720]  接著耶穌就指出
[00:02:54.720 --> 00:02:57.120]  究竟巴里塞人和一班民事
[00:02:57.120 --> 00:02:59.720]  在他們信仰的生命裡面
[00:02:59.720 --> 00:03:02.680]  究竟出了什麼問題呢?
[00:03:02.680 --> 00:03:04.240]  一開始有一個巴里塞人
[00:03:04.240 --> 00:03:08.600]  就邀請耶穌去吃一餐的筵席
[00:03:08.600 --> 00:03:09.520]  吃飯
[00:03:09.520 --> 00:03:11.640]  當時有一個規矩就是
[00:03:11.640 --> 00:03:13.840]  吃飯之前要洗手
[00:03:13.840 --> 00:03:17.520]  表示一個宗教上潔淨的禮儀
[00:03:17.520 --> 00:03:20.240]  但當時耶穌沒有做這個行動
[00:03:20.240 --> 00:03:23.520]  當時巴里塞人就對耶穌說
[00:03:23.520 --> 00:03:26.360]  你這樣做是不合於禮儀
[00:03:26.360 --> 00:03:28.040]  代表著你不潔
[00:03:28.040 --> 00:03:31.640]  但耶穌就在這裡立刻指責他們一個問題
[00:03:31.640 --> 00:03:34.240]  在第四十
[00:03:34.240 --> 00:03:38.280]  在第三十九節
[00:03:38.280 --> 00:03:39.280]  主對他說
[00:03:39.280 --> 00:03:42.880]  如今你們巴里塞人洗淨杯盤的外面
[00:03:42.880 --> 00:03:46.320]  你們裡面卻滿了勒索和邪惡
[00:03:46.320 --> 00:03:47.360]  無知的人
[00:03:47.360 --> 00:03:49.960]  做外面的不也是做裡面嗎?
[00:03:49.960 --> 00:03:53.240]  只要把裡面的施舍給人
[00:03:53.240 --> 00:03:56.200]  凡物於你們就潔淨了
[00:03:56.200 --> 00:03:58.720]  耶穌在這裡指出一個非常重要的問題
[00:03:58.720 --> 00:04:02.040]  就是他們只注重外表的一些行動
[00:04:02.040 --> 00:04:06.080]  但內心裡完全和外在的行動
[00:04:06.080 --> 00:04:08.800]  沒有一個相應的正確的心態
[00:04:08.800 --> 00:04:11.680]  你們的心根本就沒有一個敬畏上帝的心
[00:04:11.680 --> 00:04:15.640]  你們只是做一些很表面的功夫
[00:04:15.640 --> 00:04:17.480]  接著耶穌更具體的指出
[00:04:17.480 --> 00:04:19.640]  究竟他們有什麼問題呢?
[00:04:19.640 --> 00:04:21.080]  接著耶穌就說
[00:04:21.080 --> 00:04:23.120]  巴里塞人有三個禍
[00:04:23.120 --> 00:04:24.400]  耶穌指出
[00:04:24.400 --> 00:04:26.320]  第一個禍就是
[00:04:26.320 --> 00:04:29.160]  在第四十
[00:04:29.160 --> 00:04:31.320]  在三十
[00:04:31.320 --> 00:04:34.920]  在四十二節說
[00:04:34.920 --> 00:04:36.480]  你們巴里塞人有禍了
[00:04:36.480 --> 00:04:38.480]  因為你們將薄荷、芸香
[00:04:38.480 --> 00:04:41.160]  和各樣的蔬菜獻上十分之一
[00:04:41.160 --> 00:04:43.920]  那公義和愛神的事反倒不行了
[00:04:43.920 --> 00:04:45.480]  這原是你們當行的
[00:04:45.480 --> 00:04:47.400]  那也是不可不行的
[00:04:47.400 --> 00:04:48.360]  耶穌說出
[00:04:48.360 --> 00:04:50.400]  巴里塞人第一個問題就是
[00:04:50.400 --> 00:04:53.240]  當時一群巴里塞人說
[00:04:53.240 --> 00:04:56.760]  當我們獻上十分之一給上帝的時候
[00:04:56.760 --> 00:04:59.920]  那些公義和愛的事情我們可以不做了
[00:04:59.920 --> 00:05:04.120]  在其他方書裡更具體的表達
[00:05:04.120 --> 00:05:06.120]  當時有些宗教領袖說
[00:05:06.120 --> 00:05:09.040]  只要我將我所有的十分之一
