
[00:00:00.000 --> 00:00:03.260]  在今早的崇拜我們一起繼續思想
[00:00:03.260 --> 00:00:06.760]  《雅各書》的第三個主題
[00:00:06.760 --> 00:00:11.600]  也是最後一個主題了 就是貧窮與富裕
[00:00:11.600 --> 00:00:17.280]  貧窮與富裕這個也是《雅各書》裏面所強調
[00:00:17.280 --> 00:00:20.900]  但也可以成為我們今天現代生命
[00:00:20.900 --> 00:00:26.160]  和所面對的世界的一種演繹
[00:00:26.160 --> 00:00:32.840]  或者我們也聽過不少專家告訴我們
[00:00:32.840 --> 00:00:36.020]  接下來這一年2023年
[00:00:36.020 --> 00:00:41.200]  我們全球可能會進入一個經濟的嚴峰
[00:00:41.200 --> 00:00:45.080]  我們很相信由現在開始到接下來的那段日子
[00:00:45.080 --> 00:00:49.400]  經濟、財富這些課題
[00:00:49.400 --> 00:00:52.320]  經常會成為我們很困擾
[00:00:52.320 --> 00:00:56.360]  甚至時常討論的問題 甚至很靠近的問題
[00:00:56.360 --> 00:01:00.120]  所以在《雅各書》裏面提到這個主題
[00:01:00.120 --> 00:01:03.320]  《雅各書》其實真的有五段的聖經
[00:01:03.320 --> 00:01:04.520]  剛才我們讀了兩段
[00:01:04.520 --> 00:01:07.880]  待會我們會再將其他的一起跟大家思想
[00:01:07.880 --> 00:01:12.960]  五章聖經裏面有五段講到貧窮與富裕
[00:01:12.960 --> 00:01:16.240]  肯定是一個很重要的主題
[00:01:16.240 --> 00:01:20.280]  所以我們發覺這個題目其實很有現代
[00:01:20.280 --> 00:01:23.320]  也是當時他們很大的需要
[00:01:23.320 --> 00:01:27.480]  我們曾經講過《雅各書》所寫的書信
[00:01:27.480 --> 00:01:30.360]  信徒的背景基本上是
[00:01:30.360 --> 00:01:35.200]  比如猶太的耶路撒冷的背景的教會
[00:01:35.200 --> 00:01:38.280]  大家如果熟悉《紙郎傳》還記得
[00:01:38.280 --> 00:01:43.160]  保羅在不斷在那些外邦的教會
[00:01:43.160 --> 00:01:47.000]  或者他的書信裏面都提到他要籌款
[00:01:47.000 --> 00:01:51.880]  去支援耶路撒冷那些貧窮的教會的弟兄妹妹
[00:01:51.880 --> 00:01:53.200]  就是這些
[00:01:53.200 --> 00:01:57.280]  所以當時我相信教會裏面有很多貧窮人
[00:01:57.280 --> 00:02:00.360]  坦白講社會裏面也有很多貧窮人
[00:02:00.360 --> 00:02:01.960]  貧富很懸殊
[00:02:01.960 --> 00:02:05.880]  甚至可能會懸殊過我們現在或者將來
[00:02:05.880 --> 00:02:08.720]  為什麼呢?因為當時的羅馬世界
[00:02:08.720 --> 00:02:12.080]  有錢的人是很少的
[00:02:12.080 --> 00:02:15.120]  只是屬於那些比如說那些貴族
[00:02:15.120 --> 00:02:18.800]  和那些能夠攀附貴族做到大生意的人
[00:02:18.800 --> 00:02:21.840]  他們很有錢 有錢有錢很重要
[00:02:21.840 --> 00:02:24.720]  窮起來大部份的人都是很窮
[00:02:24.720 --> 00:02:30.040]  教會也是貧富夾雜大家一起共存的一個地方
[00:02:30.040 --> 00:02:32.320]  就如今天我們教會是打開門的
[00:02:32.320 --> 00:02:33.720]  什麼人都會進來
[00:02:33.720 --> 00:02:36.600]  所以教會裏面也有貧也有富
[00:02:36.600 --> 00:02:42.480]  怎麼相處面對這種越來越大的貧富之間的張力和壓力
[00:02:42.480 --> 00:02:47.320]  這個社會這些蓋起來的現象
[00:02:47.320 --> 00:02:53.880]  雅各一一在他自己的書信裏面去面對和提議
[00:02:53.880 --> 00:02:56.400]  所以今天我們帶著這種心境
[00:02:56.400 --> 00:02:59.400]  聽一下神藉著雅各和我們講些什麼
[00:02:59.400 --> 00:03:04.440]  然後又用在我們面對著接下來這些風浪之中
[00:03:04.440 --> 00:03:07.000]  我相信就很有意思了 是吧
[00:03:07.000 --> 00:03:11.720]  好 我們就看一看雅各講什麼呢?關於貧富
[00:03:11.720 --> 00:03:13.800]  剛才所讀的聖經
[00:03:13.800 --> 00:03:18.520]  第一章一直讀到第九節這個貧富的問題就出來了
[00:03:18.520 --> 00:03:21.640]  第一次那裏出現了兩句經文
[00:03:21.640 --> 00:03:25.760]  大家讀的時候可能不會覺得有什麼特別
[00:03:25.760 --> 00:03:29.080]  或者你以為你很明白的了這兩句
[00:03:29.080 --> 00:03:34.760]  第九節那裏說卑微的弟兄應當以高聲為榮 是吧
[00:03:34.760 --> 00:03:38.640]  第十節就富足的也是弟兄
[00:03:38.640 --> 00:03:42.720]  也不應該以降卑為榮
[00:03:42.720 --> 00:03:44.880]  你覺得也很對
[00:03:44.880 --> 00:03:51.760]  其實我想告訴你這兩節是很難理解的聖經
[00:03:51.760 --> 00:03:55.600]  因為中文幫他翻譯的時候下了一些手腳
[00:03:55.600 --> 00:03:59.680]  幫他繞一圈比較容易了解
[00:03:59.680 --> 00:04:03.080]  原文如果你讀雅各的原文
[00:04:03.080 --> 00:04:07.880]  你就會發覺是很顛覆性的
[00:04:07.880 --> 00:04:10.320]  很革命性的
[00:04:10.320 --> 00:04:14.440]  很令人覺得為什麼會剛剛好倒轉的說
[00:04:14.440 --> 00:04:17.200]  究竟這個原文的直譯是怎麼樣呢?
[00:04:17.200 --> 00:04:19.200]  我嘗試翻譯給大家聽
[00:04:19.200 --> 00:04:23.360]  第九節第十節應該是這樣的本來的意思
[00:04:23.360 --> 00:04:26.360]  英文的翻譯都比較接近原文的
[00:04:26.360 --> 00:04:29.600]  現在試著用中文跟大家講
[00:04:29.600 --> 00:04:32.800]  第九節應該的意思是
[00:04:32.800 --> 00:04:38.320]  你們應該以卑微的弟兄高聲為榮
[00:04:38.320 --> 00:04:43.440]  為榮這個字本來就是聖經裡經常說的那個誇口
[00:04:43.440 --> 00:04:50.240]  很牙刷很威風的那種心境
[00:04:50.240 --> 00:04:51.880]  這樣都比較明白的
[00:04:51.880 --> 00:04:54.800]  聲高就是為榮 是吧
[00:04:54.800 --> 00:04:58.680]  接著第十節直譯本來的意思就是
[00:04:58.680 --> 00:05:05.240]  富足的弟兄也都以降卑為榮
[00:05:05.240 --> 00:05:08.920]  以降卑誇口 這個就真的很難明白
[00:05:08.920 --> 00:05:11.560]  降卑有沒有誇口啊?
[00:05:11.560 --> 00:05:14.160]  是不是啊? 降卑很悲哀的嘛
[00:05:14.160 --> 00:05:18.160]  怎麼會誇口呢? 怎麼降卑都可以為榮呢?
[00:05:18.160 --> 00:05:19.760]  聲高就有一點點為榮
[00:05:19.760 --> 00:05:22.840]  不過其實你再想下去都不是很差
[00:05:22.840 --> 00:05:26.440]  如果我們用我們的理解
[00:05:26.440 --> 00:05:29.720]  是啊 卑微的聲高本來很不濟的經濟
[00:05:29.720 --> 00:05:33.280]  接著突然間有一個意外或者是資財
[00:05:33.280 --> 00:05:35.440]  或者甚至突然間升了職
[00:05:35.440 --> 00:05:37.720]  那就很開心了 這個是感恩
[00:05:37.720 --> 00:05:39.040]  沒有說不好
[00:05:39.040 --> 00:05:41.040]  不過你不應該以這個為
[00:05:41.040 --> 00:05:44.400]  就是你自己的誇口 誇什麼呢?
[00:05:44.400 --> 00:05:47.040]  是不是啊? 作為基督徒的神的恩典給你
[00:05:47.040 --> 00:05:49.000]  不值得誇的嘛
[00:05:49.000 --> 00:05:52.160]  這個誇口不是因為你可以這樣聲高
[00:05:52.160 --> 00:05:55.840]  接著剛才我們講的第十節就更加不明白了
[00:05:55.840 --> 00:05:58.600]  你人降了下來誇什麼口啊?
[00:05:58.600 --> 00:06:01.680]  有什麼值得誇口的呢? 這是卑哀的嘛
[00:06:01.680 --> 00:06:04.680]  所以在這裡我們發覺
[00:06:04.680 --> 00:06:07.720]  剛才我們說亞國書講貧富問題
[00:06:07.720 --> 00:06:10.760]  劈頭那兩句就很難理解
[00:06:10.760 --> 00:06:13.400]  因為它太顛覆性了
[00:06:13.400 --> 00:06:16.400]  太能夠引起我們的注意
[00:06:16.400 --> 00:06:17.880]  為什麼我會這樣講呢?
[00:06:17.880 --> 00:06:19.960]  那個顛覆性基本上差不多可以說
[00:06:19.960 --> 00:06:23.280]  和我們一般人在常識
[00:06:23.280 --> 00:06:28.360]  對於貧窮和富裕的理解是剛剛相反的
[00:06:28.360 --> 00:06:30.880]  我們一般的理解
[00:06:30.880 --> 00:06:34.080]  貧窮就是一種奏助
[00:06:34.080 --> 00:06:36.760]  你貧窮的時候不是奏助嗎?
