
[00:00:00.000 --> 00:00:04.800]  大家一定會記得聖經講及到馬大馬尼亞的故事
[00:00:04.800 --> 00:00:06.200]  馬大大家都說
[00:00:06.200 --> 00:00:10.120]  小心不要像他那樣思慮煩擾
[00:00:10.120 --> 00:00:12.680]  我們純純提醒自己學習馬尼亞
[00:00:12.680 --> 00:00:14.680]  學習他在主耶穌的面前
[00:00:14.680 --> 00:00:19.800]  他專注地聆聽領受主耶穌的話
[00:00:19.800 --> 00:00:23.800]  馬尼亞選擇了上好的福分
[00:00:23.800 --> 00:00:26.120]  而聖經提到主耶穌說
[00:00:26.120 --> 00:00:30.720]  他說馬尼亞已經選擇了上好的福分
[00:00:30.720 --> 00:00:36.400]  而人生裏面不可少的只有一件事情
[00:00:36.400 --> 00:00:38.600]  當他說只有一件事情的時候
[00:00:38.600 --> 00:00:42.800]  亦意味著很多其他的事情是可以不要的
[00:00:42.800 --> 00:00:45.520]  當你認為某些事情很重要
[00:00:45.520 --> 00:00:47.400]  很必須有的時候
[00:00:47.400 --> 00:00:49.760]  其實可能是不必須的
[00:00:49.760 --> 00:00:53.640]  但是真正的必須只有一件
[00:00:53.640 --> 00:00:59.480]  就是在神的面前真正明白領受神的道
[00:00:59.480 --> 00:01:01.040]  有人曾經用過一個比喻
[00:01:01.040 --> 00:01:05.400]  聖經好像我們生命的一本說明書
[00:01:05.400 --> 00:01:07.960]  如何充分地發揮你的生命
[00:01:07.960 --> 00:01:10.040]  你必須要看說明書
[00:01:10.040 --> 00:01:12.840]  你才知道如何用你的生命
[00:01:12.840 --> 00:01:13.760]  說起說明書
[00:01:13.760 --> 00:01:15.520]  我告訴大家一件事
[00:01:15.520 --> 00:01:16.640]  很多年前
[00:01:16.640 --> 00:01:20.320]  當香港開始流行電子瓦艙的時候
[00:01:20.320 --> 00:01:23.520]  我們家就買了一個電子瓦艙回來
[00:01:23.520 --> 00:01:26.840]  我一番聰明就知道如何使用
[00:01:26.840 --> 00:01:29.160]  不用看說明書
[00:01:29.160 --> 00:01:31.560]  插上電源鍵就開始煮東西
[00:01:31.560 --> 00:01:32.360]  煮了一段時間之後
[00:01:32.360 --> 00:01:33.360]  一打開蓋子
[00:01:33.360 --> 00:01:35.600]  動也不動
[00:01:35.600 --> 00:01:36.800]  就很心急
[00:01:36.800 --> 00:01:40.320]  我就把瓦膽抽出來
[00:01:40.320 --> 00:01:43.080]  放在火爐上
[00:01:43.080 --> 00:01:46.280]  開著火就燒
[00:01:46.280 --> 00:01:48.720]  接著發生什麼事呢
[00:01:48.720 --> 00:01:50.760]  爆煲
[00:01:50.760 --> 00:01:52.320]  就裂了
[00:01:52.320 --> 00:01:57.120]  新買回來的電子瓦艙就馬上報銷了
[00:01:57.120 --> 00:01:59.520]  這件事想起來覺得很可笑
[00:01:59.520 --> 00:02:04.080]  竟然說明書看都不看就爆了
[00:02:04.080 --> 00:02:06.440]  當我們說到聖經是說明書的時候
[00:02:06.440 --> 00:02:07.920]  大家明白
[00:02:07.920 --> 00:02:10.760]  創造生命的上帝最明白
[00:02:10.760 --> 00:02:12.960]  這個生命如何去用
[00:02:12.960 --> 00:02:15.160]  才是發揮作用
[00:02:15.160 --> 00:02:17.760]  因此他將聖經賜給我們
[00:02:17.760 --> 00:02:20.200]  叫我們留心聖經的指引
[00:02:20.200 --> 00:02:24.160]  以至我們能夠善於運用我們的生命
[00:02:24.160 --> 00:02:28.040]  能夠進入神給我們的風城裡面
[00:02:28.040 --> 00:02:29.240]  而且告訴我們
[00:02:29.240 --> 00:02:31.920]  哪條路是歪路
[00:02:31.920 --> 00:02:33.480]  是有陷阱的
[00:02:33.480 --> 00:02:34.920]  你避開它
[00:02:34.920 --> 00:02:38.600]  你就不會損壞自己
[00:02:38.600 --> 00:02:41.400]  損壞電子瓦艙沒問題
[00:02:41.400 --> 00:02:43.320]  只是損失了一些錢
[00:02:43.320 --> 00:02:45.480]  但是損壞了自己的生命
[00:02:45.480 --> 00:02:48.520]  就有永恆的悲哀
[00:02:48.520 --> 00:02:50.160]  各位電影姐妹小心
[00:02:50.160 --> 00:02:51.840]  不要常常告訴自己
[00:02:51.840 --> 00:02:54.040]  我知道聖經重要
[00:02:54.040 --> 00:02:56.400]  但你的生活沒有反映出
[00:02:56.400 --> 00:02:58.840]  你真的重視聖經
[00:02:58.840 --> 00:03:01.320]  而今天我們讀一篇很熟悉的經文
[00:03:01.320 --> 00:03:03.280]  你會熟悉這篇經文
[00:03:03.280 --> 00:03:06.120]  但希望當你看完之後
[00:03:06.120 --> 00:03:07.800]  你會真的有決心
[00:03:07.800 --> 00:03:10.720]  我要重視神的話
[00:03:10.720 --> 00:03:13.000]  我要學習神的話
[00:03:13.000 --> 00:03:14.320]  我們揭開聖經
