
[00:00:00.000 --> 00:00:02.000]  當我們看聖經的時候
[00:00:02.000 --> 00:00:04.800]  從舊約聖經到新約聖經
[00:00:04.800 --> 00:00:07.000]  常常出現一個主題
[00:00:07.000 --> 00:00:09.000]  就是信心
[00:00:09.000 --> 00:00:11.000]  我們回看聖經一開始的時候
[00:00:11.000 --> 00:00:13.000]  講到舊約的很多人物
[00:00:13.000 --> 00:00:16.000]  阿不拉罕是信心的偉人
[00:00:16.000 --> 00:00:19.000]  又提到很多先賢他們因為信心
[00:00:19.000 --> 00:00:23.000]  本來軟弱的就變成剛強
[00:00:23.000 --> 00:00:24.000]  聖經一路提到就是
[00:00:24.000 --> 00:00:28.000]  信靠耶和華的必不至於羞愧
[00:00:28.000 --> 00:00:30.000]  去到新約的時候就講到
[00:00:30.000 --> 00:00:33.000]  我們因信蒙恩得清矣
[00:00:33.000 --> 00:00:36.000]  又提到什麼時候我們憑著信心
[00:00:36.000 --> 00:00:39.000]  我們就可以得主的喜悅
[00:00:39.000 --> 00:00:41.000]  沒有任何人能夠討主的喜悅
[00:00:41.000 --> 00:00:44.000]  除非是信心的人
[00:00:44.000 --> 00:00:46.000]  因此我們看到聖經不斷提醒我們
[00:00:46.000 --> 00:00:49.000]  追求更堅固的信心
[00:00:49.000 --> 00:00:52.000]  得到信心就得到真正的財寶
[00:00:52.000 --> 00:00:54.000]  去到最後的聖經啟述錄的時候
[00:00:54.000 --> 00:00:56.000]  就講到老弟家教會
[00:00:56.000 --> 00:00:57.000]  大家會記得
[00:00:57.000 --> 00:00:59.000]  當時聖經就告訴他們
[00:00:59.000 --> 00:01:03.000]  你們不要以為你們富足一無所缺
[00:01:03.000 --> 00:01:05.000]  其實你們是貧窮的
[00:01:05.000 --> 00:01:06.000]  是困苦的
[00:01:06.000 --> 00:01:07.000]  是乞訝的
[00:01:07.000 --> 00:01:09.000]  是赤身的
[00:01:09.000 --> 00:01:11.000]  因此聖經就呼籲他們
[00:01:11.000 --> 00:01:15.000]  要向神買火煉的金紙
[00:01:15.000 --> 00:01:16.000]  講到火煉金紙
[00:01:16.000 --> 00:01:18.000]  大家知道聖經用信心形容
[00:01:18.000 --> 00:01:22.000]  就是人的信心被火試驗
[00:01:22.000 --> 00:01:27.000]  就成為了比金紙更寶貴的財寶
[00:01:27.000 --> 00:01:29.000]  向神買火煉的金紙
[00:01:29.000 --> 00:01:32.000]  叫你們真正的富足
[00:01:32.000 --> 00:01:33.000]  原來真正的富足
[00:01:33.000 --> 00:01:36.000]  不在乎你有多少的財富
[00:01:36.000 --> 00:01:38.000]  而是你的信心
[00:01:38.000 --> 00:01:41.000]  領受神給你的試驗之後
[00:01:41.000 --> 00:01:45.000]  經過磨煉成為真實的信心
[00:01:45.000 --> 00:01:48.000]  你就真正的富足
[00:01:48.000 --> 00:01:50.000]  在聖經裏面描寫信心的時候
[00:01:50.000 --> 00:01:54.000]  我們發覺其實很多人的信心成長之路
[00:01:54.000 --> 00:01:56.000]  不是說祈禱神立即賜信心
[00:01:56.000 --> 00:01:58.000]  你就變得很有信心
[00:01:58.000 --> 00:02:01.000]  而往往是神將一些試煉
[00:02:01.000 --> 00:02:03.000]  試驗給了你
[00:02:03.000 --> 00:02:06.000]  在過程當中你的信心得到磨煉
[00:02:06.000 --> 00:02:09.000]  以至成熟成長
[00:02:09.000 --> 00:02:11.000]  在那時候你得著
[00:02:11.000 --> 00:02:13.000]  所以當你求信心的時候
[00:02:13.000 --> 00:02:14.000]  你留心
[00:02:14.000 --> 00:02:18.000]  神可能會給你一些困難的環境
[00:02:18.000 --> 00:02:22.000]  因為這正是回應你禱告的英文
[00:02:22.000 --> 00:02:25.000]  讓你在當中得到真實的信心
[00:02:25.000 --> 00:02:27.000]  詩篇118篇
[00:02:27.000 --> 00:02:29.000]  詩人面對著很多的困難
[00:02:29.000 --> 00:02:31.000]  但是經過困難之後
[00:02:31.000 --> 00:02:32.000]  神保守了他
[00:02:32.000 --> 00:02:36.000]  他在經歷當中經驗神的幫助
[00:02:36.000 --> 00:02:39.000]  因此他的信心堅固
[00:02:39.000 --> 00:02:42.000]  他就呼籲我們去信靠神
[00:02:42.000 --> 00:02:45.000]  而今天我們就從他的經歷當中
[00:02:45.000 --> 00:02:49.000]  一起思想我們怎樣能夠得到神的幫助
[00:02:49.000 --> 00:02:54.000]  我們翻看聖經剛才讀過的118篇
[00:02:54.000 --> 00:02:56.000]  我們試試從四方面思想這段經文
[00:02:56.000 --> 00:02:59.000]  首先提到不要忘記
[00:02:59.000 --> 00:03:02.000]  神的慈愛是永遠長存的
[00:03:02.000 --> 00:03:03.000]  第一節
[00:03:03.000 --> 00:03:05.000]  你們要稱謝耶和華
[00:03:05.000 --> 00:03:06.000]  因他本為善
[00:03:06.000 --> 00:03:09.000]  他的慈愛永遠長存
[00:03:09.000 --> 00:03:12.000]  當時這位詩人相信是一位君王
[00:03:12.000 --> 00:03:14.000]  他剛剛從戰場回來
[00:03:14.000 --> 00:03:16.000]  他打勝仗
[00:03:16.000 --> 00:03:20.000]  因此他準備去聖殿當中獻上感謝祭
[00:03:20.000 --> 00:03:24.000]  他經歷過很多很凶險的環境
[00:03:24.000 --> 00:03:27.000]  他在戰事結束之後
[00:03:27.000 --> 00:03:29.000]  他一回來就說
[00:03:29.000 --> 00:03:30.000]  你們要稱謝神
[00:03:30.000 --> 00:03:32.000]  因為他本為善
[00:03:32.000 --> 00:03:34.000]  他的慈愛永遠長存
[00:03:34.000 --> 00:03:37.000]  如一艘輪船
[00:03:37.000 --> 00:03:39.000]  剛剛經過暴風雨
[00:03:39.000 --> 00:03:41.000]  泊岸的時候
[00:03:41.000 --> 00:03:42.000]  乘客下來
[00:03:42.000 --> 00:03:46.000]  這些乘客很開心地跟周圍的人說
[00:03:46.000 --> 00:03:48.000]  這艘船很牢固
[00:03:48.000 --> 00:03:50.000]  就算大風雨也好
[00:03:50.000 --> 00:03:52.000]  我們在裡面只是小小搖動
[00:03:52.000 --> 00:03:54.000]  完全沒有受損傷
[00:03:54.000 --> 00:03:57.000]  你們放心再乘這艘船吧
[00:03:57.000 --> 00:04:00.000]  你們會很放心繼續再乘
[00:04:00.000 --> 00:04:02.000]  一個君王
[00:04:02.000 --> 00:04:03.000]  一個詩人
[00:04:03.000 --> 00:04:05.000]  經歷了戰場的風暴之後
[00:04:05.000 --> 00:04:07.000]  他一回來就告訴我們
[00:04:07.000 --> 00:04:09.000]  他本為善
[00:04:09.000 --> 00:04:12.000]  他的慈愛永遠長存
[00:04:12.000 --> 00:04:15.000]  這些說話值得我們小心去聽
[00:04:15.000 --> 00:04:17.000]  神的本質
[00:04:17.000 --> 00:04:20.000]  他的本性就是慈善
[00:04:20.000 --> 00:04:22.000]  他是良善的
[00:04:22.000 --> 00:04:26.000]  而他的慈愛是永遠不會改變的
[00:04:26.000 --> 00:04:28.000]  英文聖經我很喜歡這個翻譯
[00:04:28.000 --> 00:04:31.000]  這個永遠不變的愛叫做
[00:04:31.000 --> 00:04:33.000]  Enduring Love
[00:04:33.000 --> 00:04:35.000]  是能夠經歷一切的衝擊
[00:04:35.000 --> 00:04:37.000]  一切的難處
[00:04:37.000 --> 00:04:40.000]  永遠不改變的慈愛
[00:04:40.000 --> 00:04:43.000]  因此是叫我們得著很大的把握
[00:04:43.000 --> 00:04:45.000]  叫我們牢牢地思想
[00:04:45.000 --> 00:04:47.000]  不要忘記
