
[00:00:00.000 --> 00:00:02.720]  在祖的恩代之下
[00:00:02.720 --> 00:00:07.480]  德美、华人、福音、师公推进会议
[00:00:07.480 --> 00:00:10.600]  能够如期在这里举行
[00:00:10.600 --> 00:00:16.120]  这真是让我们万分的、崇信的感谢祖
[00:00:16.120 --> 00:00:19.000]  我相信在这里的每一位同工
[00:00:19.000 --> 00:00:22.520]  每一位祖内的弟兄姊妹
[00:00:22.520 --> 00:00:26.640]  都有统一的寻求和盼望
[00:00:26.640 --> 00:00:30.240]  就是寻求、盼望、神
[00:00:30.240 --> 00:00:33.200]  在今天这个时代里面
[00:00:33.200 --> 00:00:37.320]  更多地使用北美的华侨的教会
[00:00:37.320 --> 00:00:39.840]  和各茶经办
[00:00:39.840 --> 00:00:44.440]  让我们在祖的手里更加呵护祂用
[00:00:44.440 --> 00:00:50.280]  求祂将更多的合一、更大的福星赐下来
[00:00:50.280 --> 00:00:54.080]  我相信如果各位没有这样的寻求和盼望
[00:00:54.080 --> 00:00:58.040]  不会付很多的时间的代价、金钱的代价
[00:00:58.040 --> 00:01:01.840]  和其他方面的代价到这来
[00:01:01.840 --> 00:01:05.680]  兄弟,十分地感谢祖赐给我这个机会
[00:01:05.680 --> 00:01:09.560]  能够参加这次的大会
[00:01:09.560 --> 00:01:13.280]  我觉得这是我一个很大的特权
[00:01:13.280 --> 00:01:17.360]  同时我感觉到战惊俱怕
[00:01:17.360 --> 00:01:21.120]  我请求大家多为我祷告
[00:01:21.120 --> 00:01:25.280]  我所怕的就是不能够将神的心意
[00:01:25.280 --> 00:01:28.320]  在这个大会里面借助茶经的时间
[00:01:28.320 --> 00:01:30.800]  传达给各位
[00:01:30.800 --> 00:01:35.000]  求神给我们每一个人真正谦卑的心
[00:01:35.000 --> 00:01:37.480]  一颗要德的心
[00:01:37.480 --> 00:01:40.040]  让我们一同在祖的面前
[00:01:40.040 --> 00:01:45.640]  直接地从生灵游说领受
[00:01:45.640 --> 00:01:48.680]  我们这四天的早上在茶经的时间里面
[00:01:48.680 --> 00:01:52.680]  要一同查考师徒心转
[00:01:52.680 --> 00:01:55.040]  我有四个分题
[00:01:55.040 --> 00:02:01.080]  这四个分题都是与初期教会的情形有关
[00:02:01.080 --> 00:02:05.200]  特别与师徒们有关
