
[00:00:00.000 --> 00:00:01.800]  想得到的福
[00:00:01.800 --> 00:00:03.600]  真的可以說是
[00:00:03.600 --> 00:00:05.200]  大相徑庭
[00:00:05.200 --> 00:00:07.800]  南轅北轍
[00:00:07.800 --> 00:00:11.800]  因為這三節經文裡說到
[00:00:11.800 --> 00:00:14.600]  我們做僕人的要凡事
[00:00:14.600 --> 00:00:16.400]  即是說一切的事
[00:00:16.400 --> 00:00:18.800]  全部所有的事情裡
[00:00:18.800 --> 00:00:21.600]  要敬畏順服主人
[00:00:21.600 --> 00:00:25.200]  如果順服一些很善良
[00:00:25.200 --> 00:00:27.000]  很溫和的主人
[00:00:27.000 --> 00:00:29.800]  或者每個人都想的主人
[00:00:29.800 --> 00:00:31.800]  上司老闆是這些人
[00:00:31.800 --> 00:00:34.800]  但是經文這裡強調
[00:00:34.800 --> 00:00:37.800]  順服的對象包括什麼人呢?
[00:00:37.800 --> 00:00:40.800]  乖僻的人
[00:00:40.800 --> 00:00:42.800]  乖僻是什麼意思呢?
[00:00:42.800 --> 00:00:44.800]  原來在原文
[00:00:44.800 --> 00:00:45.800]  希臘文那裡
[00:00:45.800 --> 00:00:46.800]  乖僻的意思是
[00:00:46.800 --> 00:00:47.800]  彎曲的
[00:00:47.800 --> 00:00:49.200]  不正直的
[00:00:49.200 --> 00:00:50.800]  難相處的
[00:00:50.800 --> 00:00:51.800]  苛刻的
[00:00:51.800 --> 00:00:54.800]  即是面對著一些很苛刻
[00:00:54.800 --> 00:00:56.800]  很難相處
[00:00:56.800 --> 00:00:57.800]  很難頂的
[00:00:57.800 --> 00:00:58.800]  不公平的主人
[00:00:58.800 --> 00:01:02.800]  那叫人還怎麼可以順服得到呢?
[00:01:02.800 --> 00:01:05.800]  這些都叫做有福
[00:01:05.800 --> 00:01:08.800]  是不是叫我們要有被虐狂
[00:01:08.800 --> 00:01:10.800]  即是被虐的傾向
[00:01:10.800 --> 00:01:13.800]  不過經文在十九二十節那裡
[00:01:13.800 --> 00:01:14.800]  其實有跟我們說
