
[00:00:00.000 --> 00:00:04.800]  在主耶穌所講的講論裏面是罕有的
[00:00:04.800 --> 00:00:06.600]  這麼詳細
[00:00:06.600 --> 00:00:11.400]  這麼深刻的來講祂再來的時候的情況
[00:00:11.400 --> 00:00:14.000]  所以很多研究集中在這裏
[00:00:14.000 --> 00:00:15.000]  因為很特別
[00:00:15.000 --> 00:00:19.200]  是那位上帝降臨人間的耶穌基督
[00:00:19.200 --> 00:00:22.400]  親自講祂再來的時候的情況
[00:00:22.400 --> 00:00:23.800]  當然啟示錄有很多
[00:00:23.800 --> 00:00:25.600]  在保羅的作品裏面
[00:00:25.600 --> 00:00:27.000]  貼上羅來加前書
[00:00:27.000 --> 00:00:29.600]  或者是哥倫多前書
[00:00:29.600 --> 00:00:30.800]  都有講到
[00:00:30.800 --> 00:00:32.400]  但是這麼全面的
[00:00:32.400 --> 00:00:33.600]  這麼重要的篇章
[00:00:33.600 --> 00:00:35.000]  成為很多的研究
[00:00:35.000 --> 00:00:38.000]  當然也有很多不容易了解的地方
[00:00:38.000 --> 00:00:39.800]  不過今天我想和大家看看
[00:00:39.800 --> 00:00:42.600]  就是這麼重要的講論
[00:00:42.600 --> 00:00:45.400]  其實最近因
[00:00:45.400 --> 00:00:48.400]  是來自祝發起耶穌基督這樣講
[00:00:48.400 --> 00:00:51.800]  是這些門徒的無知
[00:00:51.800 --> 00:00:54.200]  以及激氣的東西
[00:00:54.200 --> 00:00:55.800]  我這麼說
[00:00:55.800 --> 00:00:57.800]  希望我不是太誇張
[00:00:57.800 --> 00:00:59.200]  首先
[00:00:59.200 --> 00:01:01.000]  怎麼激氣呢?
[00:01:01.000 --> 00:01:04.600]  你看馬太福音的23章就很清楚了
[00:01:04.600 --> 00:01:08.800]  因為24章開始說耶穌出了聖殿
[00:01:08.800 --> 00:01:11.000]  就是說之前耶穌在聖殿裏面
[00:01:11.000 --> 00:01:13.000]  耶穌在聖殿裏面做什麼呢?
[00:01:13.000 --> 00:01:14.200]  耶穌在聖殿裏面
[00:01:14.200 --> 00:01:17.000]  被那幫猶太人的領袖
[00:01:17.000 --> 00:01:18.800]  民事、法利塞人
[00:01:18.800 --> 00:01:20.400]  這樣來攻擊他
[00:01:20.400 --> 00:01:21.400]  那幫人
[00:01:21.400 --> 00:01:22.800]  應該是宗教的領袖
[00:01:22.800 --> 00:01:24.400]  應該是最明白神自己的
[00:01:24.400 --> 00:01:25.400]  但是就攻擊耶穌
[00:01:25.400 --> 00:01:26.800]  攻擊得很厲害
[00:01:26.800 --> 00:01:29.200]  耶穌就跟他很多的辯駁
[00:01:29.200 --> 00:01:30.600]  最後耶穌想
[00:01:30.600 --> 00:01:32.800]  我相信他覺得自己在世日子不多
[00:01:32.800 --> 00:01:37.800]  於是他徹底的來斥責這幫人
[00:01:37.800 --> 00:01:39.200]  所以你可以想象
[00:01:39.200 --> 00:01:41.200]  耶穌在聖殿裏面
[00:01:41.200 --> 00:01:44.000]  是很怒氣的
[00:01:44.000 --> 00:01:45.800]  人們這樣來攻擊他
[00:01:45.800 --> 00:01:47.800]  然後他跟他們說的時候
[00:01:47.800 --> 00:01:49.200]  他怎麼說都不明白
[00:01:49.200 --> 00:01:50.400]  一肚子火
[00:01:50.400 --> 00:01:51.400]  可以說是
[00:01:51.400 --> 00:01:53.200]  走出來聖殿
[00:01:53.200 --> 00:01:55.000]  然後聖經說門徒前來
[00:01:55.000 --> 00:01:56.800]  就把聖殿建築
[00:01:56.800 --> 00:01:58.400]  止給他看
[00:01:58.400 --> 00:02:01.400]  究竟門徒為什麼把聖殿止給他看呢?
[00:02:01.400 --> 00:02:02.200]  我相信當然不會說
[00:02:02.200 --> 00:02:04.000]  師父,這個叫聖殿
[00:02:04.000 --> 00:02:05.200]  何必你說
