
[00:00:00.000 --> 00:00:03.560]  因為今天我們會從歷史神學的角度觀點
[00:00:03.560 --> 00:00:05.840]  來看回聖經裡面的基督論
[00:00:05.840 --> 00:00:07.640]  特別是新約的基督論
[00:00:07.640 --> 00:00:10.440]  這個題目好像很熟悉
[00:00:10.440 --> 00:00:13.360]  但是我想你可能還沒這樣想過
[00:00:13.360 --> 00:00:16.000]  不一定保證你覺得很新鮮
[00:00:16.000 --> 00:00:17.640]  但是我相信是好的
[00:00:17.640 --> 00:00:19.160]  因為我們救恩論
[00:00:19.160 --> 00:00:20.600]  我們花了時間講聖經
[00:00:20.600 --> 00:00:22.640]  基督論一定要花時間來講聖經
[00:00:22.640 --> 00:00:25.600]  然後才進入一些較為哲學性
[00:00:25.600 --> 00:00:28.520]  以及我們所直接關顧的問題
[00:00:28.520 --> 00:00:30.600]  否則我們講完基督論
[00:00:30.600 --> 00:00:32.520]  聖經裡面怎麼講
[00:00:32.520 --> 00:00:33.480]  我們都沒有講過
[00:00:33.480 --> 00:00:36.560]  我相信就很不負責任了
[00:00:36.560 --> 00:00:38.000]  但是另一方面
[00:00:38.000 --> 00:00:38.960]  大家很熟悉
[00:00:38.960 --> 00:00:40.640]  聖經裡面怎麼講耶穌是很熟悉的
[00:00:40.640 --> 00:00:43.720]  所以我就想了一個特別的方法
[00:00:43.720 --> 00:00:46.480]  就是從一個歷史神學的發展角度
[00:00:46.480 --> 00:00:47.280]  來看回聖經
[00:00:47.280 --> 00:00:48.600]  聖經裡面也有時間
[00:00:48.600 --> 00:00:50.800]  和地理文化背景的轉變
[00:00:50.800 --> 00:00:53.120]  我們看到原來聖經裡面
[00:00:53.120 --> 00:00:55.200]  也有一個歷史神學在裡面
[00:00:55.200 --> 00:00:57.760]  所以今天同時是在講聖經神學
[00:00:57.760 --> 00:00:59.080]  也在講歷史神學
[00:00:59.080 --> 00:01:02.480]  這也是我系統神學裡面的一個起始點
[00:01:02.480 --> 00:01:05.040]  所以這是我今天嘗試去做的
[00:01:05.040 --> 00:01:07.600]  希望帶給大家一些不同的角度
[00:01:07.600 --> 00:01:09.240]  去看一些你很熟悉的東西
[00:01:09.240 --> 00:01:10.920]  譬如《約翰福音》第一章
[00:01:10.920 --> 00:01:11.680]  大家都很熟悉的
[00:01:11.680 --> 00:01:12.520]  《道成肉身》
[00:01:12.520 --> 00:01:15.040]  但是我可能你沒有從這樣的角度
[00:01:15.040 --> 00:01:16.960]  去了解過《約翰福音》第一章
[00:01:16.960 --> 00:01:18.640]  我一起來先祈禱
[00:01:19.240 --> 00:01:22.320]  主耶穌我們感謝祢
[00:01:22.320 --> 00:01:25.520]  我們承認祢自己所帶來的救恩
[00:01:25.520 --> 00:01:27.640]  甚至祢自己的道成肉身
[00:01:27.640 --> 00:01:29.440]  仍然存留在我們的理智上
[00:01:29.440 --> 00:01:31.920]  有很多不能夠了解的地方
[00:01:31.920 --> 00:01:33.400]  主我們承認我們有限
[00:01:33.400 --> 00:01:36.520]  我們承認我們的不足
[00:01:36.520 --> 00:01:38.040]  神啊其實我們已經需要感謝祢
[00:01:38.040 --> 00:01:40.440]  因為我們活在這個二十世紀的時代
[00:01:40.440 --> 00:01:42.080]  我們有過去差不多近二千年
[00:01:42.080 --> 00:01:43.520]  那麼多聰明的人
[00:01:43.520 --> 00:01:44.600]  去努力耕耘
[00:01:44.600 --> 00:01:46.840]  已經留給我們有很多的基礎
[00:01:46.840 --> 00:01:48.040]  今天我們去了解祢
[00:01:48.040 --> 00:01:49.080]  了解真理的時候
[00:01:49.080 --> 00:01:49.800]  容易很多
[00:01:49.800 --> 00:01:51.160]  我們多謝祢
[00:01:51.160 --> 00:01:53.560]  求主讓我們仍然存有一個謙卑的心
[00:01:53.560 --> 00:01:56.720]  知道有一些關於祢自己的真理和奧秘
[00:01:56.720 --> 00:01:59.520]  是人類永遠都不可以了解得到
[00:01:59.520 --> 00:02:01.160]  讓我們的心在祢面前
[00:02:01.160 --> 00:02:03.560]  因著我們所不能夠了解的
[00:02:03.560 --> 00:02:06.440]  所產生的感覺和反應
[00:02:06.440 --> 00:02:08.840]  主不是一些的不滿
[00:02:08.840 --> 00:02:13.840]  不是一些的覺得不值得的地方
[00:02:13.840 --> 00:02:17.040]  反而主因為我們對祢自己有所不了解
[00:02:17.040 --> 00:02:19.000]  明白我們不能夠認識
