
[00:00:00.000 --> 00:00:05.160]  我相信我們不需要解釋這個題目的重要性
[00:00:05.160 --> 00:00:09.520]  我只想說說我為什麼會選這個題目來講
[00:00:09.520 --> 00:00:14.880]  其實在過去一年我自己主要花時間寫作
[00:00:14.880 --> 00:00:19.920]  特別是其中我寫關於基督教信仰的書
[00:00:19.920 --> 00:00:23.520]  我差不多用了一年時間
[00:00:23.520 --> 00:00:27.520]  來研究關於聖經裏面的信仰經驗
[00:00:27.520 --> 00:00:31.120]  人與神相遇的經驗由舊約一直到新約
[00:00:31.120 --> 00:00:35.680]  在這段日子當中我發現了很多珍貴的真理
[00:00:35.680 --> 00:00:38.560]  當然不會在今晚有機會跟大家講完
[00:00:38.560 --> 00:00:41.280]  但其中我看到關於新約的時候
[00:00:41.280 --> 00:00:45.920]  當然是一定要牽涉到聖靈的教導和經歷
[00:00:45.920 --> 00:00:49.440]  我越看的時候心裏面越有一個很深的感動
[00:00:49.440 --> 00:00:53.280]  我覺得今晚我想跟大家一起分享
[00:00:53.280 --> 00:00:55.840]  邀請劉牧師我們一起聊
[00:00:55.840 --> 00:00:59.440]  我與劉牧師的觀點未必完全相同
[00:00:59.440 --> 00:01:02.800]  我們也不要志在大家針鋒相對
[00:01:02.800 --> 00:01:05.200]  或者擦出火花製造氣氛
[00:01:05.200 --> 00:01:06.160]  我覺得沒有什麼意思
[00:01:06.160 --> 00:01:07.920]  我與劉牧師一起祈禱的時候
[00:01:07.920 --> 00:01:10.720]  我覺得我們按照聖靈的感動帶領
[00:01:10.720 --> 00:01:14.000]  我相信聖靈其中一個很重要的工作
[00:01:14.000 --> 00:01:16.640]  是令我們在主裏合而為一
[00:01:16.640 --> 00:01:19.800]  所以我有東西我就會講
[00:01:19.800 --> 00:01:22.400]  我不贊成就跟大家一起提
[00:01:22.400 --> 00:01:31.760]  不過我先想跟大家分享我自己的體會
[00:01:31.760 --> 00:01:35.600]  在講義裏我說有一段令我震撼的經文
[00:01:35.600 --> 00:01:37.360]  可能對很多人來說不是很震撼
[00:01:37.360 --> 00:01:38.400]  但對我來說
[00:01:38.400 --> 00:01:39.520]  我一直研究的時候
[00:01:39.520 --> 00:01:43.080]  有些新的體會起碼對於我來說
[00:01:43.080 --> 00:01:44.880]  《約翰福音》裏當然大家都知道
[00:01:44.880 --> 00:01:50.160]  第十四章耶穌說到他去猜險聖靈做保衛師
[00:01:50.160 --> 00:01:53.520]  那段聖經其實不是很深
[00:01:53.520 --> 00:01:55.680]  我一直以為我明白這段聖經
[00:01:55.680 --> 00:01:57.440]  你看見那段聖經裏面
[00:01:57.440 --> 00:01:59.240]  如果你沒有聖經你就聽我說
[00:01:59.240 --> 00:02:01.240]  有你就一起看
[00:02:01.240 --> 00:02:06.280]  第十四章第十六至十七節是講聖靈的
[00:02:06.280 --> 00:02:08.760]  耶穌說他求父就猜險聖靈來
[00:02:08.760 --> 00:02:15.040]  接著第二十五至二十六節也是講聖靈的
[00:02:15.040 --> 00:02:18.720]  所以很明顯這段聖經整段是包含著
[00:02:18.720 --> 00:02:22.360]  一前一後三文字是講聖靈的
[00:02:22.360 --> 00:02:28.720]  但中間那段為甚麼特別牽涉到第十八至二十一節
[00:02:28.720 --> 00:02:31.280]  十八至二十一節那段很奇怪
[00:02:31.280 --> 00:02:33.480]  「我不撇下你們為孤兒,我不必」
[00:02:33.480 --> 00:02:35.360]  「我必到你們這裡來」
[00:02:35.360 --> 00:02:39.560]  「我還有不多的時候,世人不再看見我,你們卻看見我」
[00:02:39.560 --> 00:02:41.360]  「因為我活著,你們也要活著」
[00:02:41.360 --> 00:02:44.840]  「到那一天,你們就知道我在父裏面,你們在我裏面」
[00:02:44.840 --> 00:02:49.000]  「我也在你們裏面,有了我的命令,有遵守的己人就是愛我的」
[00:02:49.000 --> 00:02:54.640]  「愛我的,必無我乎愛他,我也是要愛他,並且要向他顯現」
[00:02:54.640 --> 00:03:01.760]  我一直以來將這段當作是耶穌基督說自己復活的時候向門道顯現
[00:03:01.760 --> 00:03:06.920]  有時是想到耶穌基督再來的時候向世人顯現
[00:03:06.920 --> 00:03:08.440]  當我再研究這段的時候
[00:03:08.440 --> 00:03:12.080]  我越來越看一些參考和研究整個結構
[00:03:12.080 --> 00:03:15.440]  我發覺最後我得到一個新的結論,就是不可能
[00:03:15.440 --> 00:03:17.080]  不是可能說那兩樣東西
[00:03:17.080 --> 00:03:20.480]  我不想今天詳細地和大家研究解經的問題
[00:03:20.480 --> 00:03:22.640]  不過如果有興趣的話可以再問
[00:03:22.640 --> 00:03:27.520]  因為起碼不可能是耶穌基督復活
[00:03:27.520 --> 00:03:29.840]  也不可以是耶穌基督再來的
[00:03:29.840 --> 00:03:32.560]  因為耶穌基督再來的時候,不只是門道才看到他
[00:03:32.560 --> 00:03:34.920]  所有人,世人都看到他
[00:03:34.920 --> 00:03:37.560]  也不是耶穌基督剛剛復活
[00:03:37.560 --> 00:03:40.480]  因為耶穌基督說你們看見我
[00:03:40.480 --> 00:03:42.760]  世人看見不到我,因為你們相信我
[00:03:42.760 --> 00:03:45.320]  然後後面那段是說到聖靈
[00:03:45.320 --> 00:03:47.080]  所以我只能夠有一個解釋
[00:03:47.080 --> 00:03:49.160]  這段聖經其實是在說聖靈來
[00:03:49.160 --> 00:03:51.560]  不過耶穌用第一身,我再來
[00:03:51.560 --> 00:03:54.160]  這裡突然間感覺到哇,這麼真
[00:03:54.160 --> 00:03:57.840]  說你們世人看不見我,是你們看見我
[00:03:57.840 --> 00:03:59.720]  因為世人不信
[00:03:59.720 --> 00:04:04.680]  然後你們誰愛我,我就向他顯現
[00:04:04.680 --> 00:04:10.760]  這擺明了聖靈透過在我們心裡出現的時候
[00:04:10.760 --> 00:04:12.360]  神向我們顯現
[00:04:12.360 --> 00:04:15.080]  那種顯現的真實和厲害的方式
[00:04:15.080 --> 00:04:17.720]  真的好像是……後面很吵
[00:04:17.720 --> 00:04:20.360]  後面不要這麼吵
[00:04:20.360 --> 00:04:23.880]  不關門也可以,不過稍微靜一點
[00:04:23.880 --> 00:04:29.640]  聖靈的顯現好像耶穌這麼真實
[00:04:29.640 --> 00:04:31.960]  這就是我越看的時候,心裡越覺得
[00:04:31.960 --> 00:04:33.760]  我問我自己看聖經
[00:04:33.760 --> 00:04:37.600]  我問我自己有沒有像耶穌說的這麼真實
[00:04:37.600 --> 00:04:39.840]  耶穌說我去,在十六章說
[00:04:39.840 --> 00:04:41.840]  我去是為了你的好處
[00:04:41.840 --> 00:04:43.200]  如果我不去,聖靈就不來了
[00:04:43.200 --> 00:04:45.760]  耶穌走是為了我們的好處
[00:04:45.760 --> 00:04:47.520]  門徒拖著他不肯走,為什麼呢?
[00:04:47.520 --> 00:04:48.920]  沒有耶穌他不知道怎麼辦
[00:04:48.920 --> 00:04:51.400]  不知道問誰,不知道怎麼走路
[00:04:51.400 --> 00:04:53.520]  去面對福音挑戰
[00:04:53.520 --> 00:04:55.520]  然後耶穌說我去更好
[00:04:55.520 --> 00:04:57.680]  因為聖靈比我還真實
[00:04:57.680 --> 00:05:00.000]  聖靈那種真實感
[00:05:00.000 --> 00:05:02.960]  等於當天門徒見耶穌
[00:05:02.960 --> 00:05:04.480]  如果我想做耶穌的門徒
[00:05:04.480 --> 00:05:07.960]  我想我真的沒有那種這麼強的真實感
[00:05:07.960 --> 00:05:09.160]  在這段日子裡邊
[00:05:09.160 --> 00:05:11.720]  我自己一直在反省我自己
[00:05:11.720 --> 00:05:14.920]  所以我今天的講座是反省我自己開始
[00:05:14.920 --> 00:05:17.720]  我對聖靈的教訓
[00:05:17.720 --> 00:05:19.600]  很多神學的研究我認識很多
[00:05:19.600 --> 00:05:20.920]  聖經也很多
[00:05:20.920 --> 00:05:23.120]  但是那個經歷
[00:05:23.120 --> 00:05:27.360]  我不少,不過我覺得不夠真實
[00:05:27.360 --> 00:05:30.400]  第二我想提的就是在我研究的裡面
[00:05:30.400 --> 00:05:33.080]  我們看到21世紀是一個什麼樣的世紀
[00:05:33.080 --> 00:05:35.200]  這個當然是另一個話題
[00:05:35.200 --> 00:05:38.480]  但肯定21世紀是一個新的世紀
[00:05:38.480 --> 00:05:41.760]  是一個宗教經驗的世紀
[00:05:41.760 --> 00:05:43.720]  如果我們回看過去的日子裡邊
[00:05:43.720 --> 00:05:46.120]  在16世紀宗教改革的時候
[00:05:46.120 --> 00:05:49.200]  那個最核心的神學問題
[00:05:49.200 --> 00:05:51.840]  是人怎麼可以在神面前稱義
[00:05:51.840 --> 00:05:53.800]  神的懲罰、神的要求
[00:05:53.800 --> 00:05:55.480]  透過耶穌基督的十字架
[00:05:55.480 --> 00:05:56.640]  白白地被稱為義
[00:05:56.640 --> 00:05:58.440]  這個就成為基督教信仰裡面
[00:05:58.440 --> 00:05:59.880]  那個最重要的核心
[00:05:59.880 --> 00:06:01.360]  當時的主題是這樣
[00:06:01.360 --> 00:06:03.200]  其他教義都很重要
[00:06:03.200 --> 00:06:05.000]  但這個是核心
[00:06:05.000 --> 00:06:08.160]  於是這個核心基本上是建立一個
[00:06:08.160 --> 00:06:11.560]  穩陣不會異端的神學
[00:06:11.560 --> 00:06:14.200]  但是宗教改革之後我們發覺
[00:06:14.200 --> 00:06:18.960]  開始神學和世間上的哲學就分家了
[00:06:18.960 --> 00:06:22.280]  哲學有蒂卡兒、希爾姆那些
[00:06:22.280 --> 00:06:23.480]  哲學有哲學家
[00:06:23.480 --> 00:06:24.800]  神學有神學家
[00:06:24.800 --> 00:06:25.720]  以前就不是了
[00:06:25.720 --> 00:06:27.720]  中世紀的神學家只是哲學家
[00:06:27.720 --> 00:06:29.520]  亞奎納或者奧古斯丁
[00:06:29.520 --> 00:06:31.120]  這些神學家也是哲學家
[00:06:31.120 --> 00:06:32.520]  分家了之後我們發覺
[00:06:32.520 --> 00:06:33.880]  接著幾個世紀
[00:06:33.880 --> 00:06:36.560]  神學家以為可以建立一個很好的系統
[00:06:36.560 --> 00:06:39.600]  這個就是系統神學是當時出現的
[00:06:39.600 --> 00:06:43.360]  但是他發覺在外面的世界開始越來越多攻擊
[00:06:43.360 --> 00:06:45.240]  學問、科學
[00:06:45.240 --> 00:06:46.400]  接著到了十九世紀
[00:06:46.400 --> 00:06:48.120]  再批判聖經可不可信
[00:06:48.120 --> 00:06:49.840]  到二十世紀初的時候
[00:06:49.840 --> 00:06:50.920]  人類從哪裡來的
[00:06:50.920 --> 00:06:52.480]  進化論這些一切
[00:06:52.480 --> 00:06:55.920]  將整個聖經、整個神學打到遍體鱗傷
[00:06:55.920 --> 00:06:59.360]  在那個時候我覺得整個神學的轉向就是要護教
[00:06:59.360 --> 00:07:02.920]  要建立聖經怎樣可以面對這個世界
[00:07:02.920 --> 00:07:06.920]  神怎樣可以在講科學、講科技的世界裏面
[00:07:06.920 --> 00:07:09.000]  重新建立他的必需性
