
[00:00:00.000 --> 00:00:03.640]  上一次我們就講了很多有關的課題
[00:00:03.640 --> 00:00:09.360]  就提到婚姻性和愛之間的關係
[00:00:09.360 --> 00:00:11.840]  這次我們會繼續思想到
[00:00:11.840 --> 00:00:14.560]  怎樣能夠去面對著
[00:00:14.560 --> 00:00:17.560]  防備一些情慾的試探
[00:00:17.560 --> 00:00:20.960]  亦都怎樣能夠去處理一個人有的一些的性慾
[00:00:20.960 --> 00:00:24.080]  適當地去看自己的性慾
[00:00:24.080 --> 00:00:26.080]  適當地去處理
[00:00:26.080 --> 00:00:29.560]  我自己有很多次機會講這方面的題目的時候就覺得
[00:00:29.560 --> 00:00:32.560]  不在乎怎樣講的
[00:00:32.560 --> 00:00:35.200]  是在乎你怎樣聽的
[00:00:35.200 --> 00:00:37.400]  所以待會時間你要帶著一種
[00:00:37.400 --> 00:00:39.840]  真的依靠神的心來聽
[00:00:39.840 --> 00:00:44.200]  你留心著可能聖靈會特別透過某一些的重點
[00:00:44.200 --> 00:00:46.320]  對你有提醒的
[00:00:46.320 --> 00:00:48.320]  可能其他你都知道
[00:00:48.320 --> 00:00:50.840]  但是某一些地方可能神特別提醒你
[00:00:50.840 --> 00:00:52.200]  要鼓勵你的
[00:00:52.200 --> 00:00:55.760]  你留心著聖靈在你心中對你的指教
[00:00:55.760 --> 00:00:58.560]  所以不單單是聽師牧師講一些講座
[00:00:58.560 --> 00:01:03.320]  而是留意有沒有哪些地方是神特別要你知要你聽的
[00:01:03.320 --> 00:01:05.320]  開始的時候我想大家這樣做
[00:01:05.320 --> 00:01:07.320]  你試下兩個兩個人
[00:01:07.320 --> 00:01:10.760]  你就特別為隔離的那個人來祈禱
[00:01:10.760 --> 00:01:13.080]  就算不認識的弟兄或姊妹也好
[00:01:13.080 --> 00:01:16.200]  你只要按照聖靈給你的感動
[00:01:16.200 --> 00:01:17.920]  你去求神賜福給他
[00:01:17.920 --> 00:01:19.920]  讓他今天這個時間
[00:01:19.920 --> 00:01:21.720]  無論講座或是分組的時間
[00:01:21.720 --> 00:01:23.280]  神是恩待他
[00:01:23.280 --> 00:01:25.800]  我們有一個彼此待討的短短的時間
[00:01:25.800 --> 00:01:27.120]  大家不需要怎樣聊天了
[00:01:27.120 --> 00:01:28.640]  大家介紹了聖靈之後
[00:01:28.640 --> 00:01:32.160]  你就可以直接去為他祈禱
[00:01:32.160 --> 00:01:34.720]  大概四五分鐘之後
[00:01:34.720 --> 00:01:38.080]  我就會在外面結束祈禱
[00:01:38.080 --> 00:01:40.720]  大家開始兩個兩個或是三個
[00:01:40.720 --> 00:01:42.720]  來祈禱的時間
[00:01:42.720 --> 00:01:46.720]  我們一起祈禱
[00:01:46.720 --> 00:01:49.720]  天父我們感謝你
[00:01:49.720 --> 00:01:52.720]  因為你永遠是我們的依靠
[00:01:52.720 --> 00:01:55.520]  主祢說過我們雖然軟弱
[00:01:55.520 --> 00:01:57.520]  但祢剛強
[00:01:57.520 --> 00:02:01.520]  主祢靠著我們能得勝邪惡
[00:02:01.520 --> 00:02:03.520]  主在你裡面藏著有
[00:02:03.520 --> 00:02:05.520]  從天而來的能力
[00:02:05.520 --> 00:02:08.520]  這個聖靈還在我們生命當中
[00:02:08.520 --> 00:02:10.520]  所以主我們祈禱
[00:02:10.520 --> 00:02:12.520]  求主賜我們一顆誠實
[00:02:12.520 --> 00:02:13.520]  依靠你的心
[00:02:13.520 --> 00:02:15.520]  在依靠你的時候得著力量
[00:02:15.520 --> 00:02:17.520]  有聖愛試探
[00:02:17.520 --> 00:02:20.520]  主我們仰望你在今天下午這段時間
[00:02:20.520 --> 00:02:22.520]  祢賜福給每一位弟兄姊妹
[00:02:22.520 --> 00:02:24.520]  無論他們在什麼狀況
[00:02:24.520 --> 00:02:26.520]  什麼心境
[00:02:26.520 --> 00:02:28.520]  主也求你恩待他們
[00:02:28.520 --> 00:02:32.520]  讓他們聽見聖靈要給他們的引導
[00:02:32.520 --> 00:02:35.520]  讓他們心中得著見脈
[00:02:35.520 --> 00:02:38.520]  又叫我們不單止在這次講座
[00:02:38.520 --> 00:02:40.520]  在今後靠著你的恩典
[00:02:40.520 --> 00:02:42.520]  能夠站立得穩
[00:02:42.520 --> 00:02:44.520]  能夠真的離開罪惡
[00:02:44.520 --> 00:02:46.520]  進入你給我們每一個人
[00:02:46.520 --> 00:02:49.520]  豐盛的生命中
[00:02:49.520 --> 00:02:52.520]  主也求你恩待今天餘下的時間
[00:02:52.520 --> 00:02:54.520]  無論講座或分組的時間
