
[00:00:00.000 --> 00:00:01.280]  五丈的經文
[00:00:01.280 --> 00:00:03.400]  我們思想靠著聖靈的能力
[00:00:03.400 --> 00:00:05.200]  來作主的見證
[00:00:05.200 --> 00:00:08.440]  我剛剛在中學生的崇拜
[00:00:08.440 --> 00:00:09.640]  來分享訊息
[00:00:09.640 --> 00:00:12.560]  他們也有一位姐妹來分享見證
[00:00:12.560 --> 00:00:15.360]  她是一位少年人中四
[00:00:15.360 --> 00:00:18.600]  聽完的時候心裡很為她快樂
[00:00:18.600 --> 00:00:21.200]  因為她說有四個很好的同學
[00:00:21.200 --> 00:00:22.600]  大家平時很熟絡
[00:00:22.600 --> 00:00:23.440]  很多事情談
[00:00:23.440 --> 00:00:26.680]  但偏偏很難說及信仰的事情
[00:00:26.680 --> 00:00:28.520]  覺得好像有點尷尬
[00:00:29.560 --> 00:00:33.320]  後來她嘗試邀請他們回教會聚會
[00:00:33.320 --> 00:00:35.280]  但他們很多次都推遲她
[00:00:35.280 --> 00:00:38.720]  但有一次她再鼓起勇氣再邀請他們
[00:00:38.720 --> 00:00:41.320]  他們四個人都一起答應了
[00:00:41.320 --> 00:00:43.440]  來參加教會的報道會
[00:00:43.440 --> 00:00:46.960]  一位姐妹一方面很開心
[00:00:46.960 --> 00:00:49.120]  另一方面很震驚
[00:00:49.120 --> 00:00:51.960]  不知道他們來到會不會很不喜歡
[00:00:51.960 --> 00:00:54.120]  為什麼把我們拉來這些聚會
[00:00:54.120 --> 00:00:56.920]  所以聚會之前的晚上
[00:00:56.920 --> 00:00:59.640]  她就說她一直在祈禱
[00:00:59.640 --> 00:01:01.000]  祈禱了很久才睡得著
[00:01:01.000 --> 00:01:04.240]  但她從沒想到
[00:01:04.240 --> 00:01:06.840]  當這四位同學第一次踏足教會
[00:01:06.840 --> 00:01:08.760]  聽到福音的訊息
[00:01:08.760 --> 00:01:11.240]  在講完呼召的時候
[00:01:11.240 --> 00:01:13.840]  竟然四個人都缺席
[00:01:13.840 --> 00:01:18.400]  而且四個人都是哭著出來
[00:01:18.400 --> 00:01:20.760]  不是勉強
[00:01:20.760 --> 00:01:24.880]  而是覺得很真實地來決心信耶穌
[00:01:25.880 --> 00:01:27.080]  這四個人的反應
[00:01:27.080 --> 00:01:29.520]  令到這位姐妹的心裡很感動
[00:01:29.520 --> 00:01:31.040]  她說之前很害怕
[00:01:31.040 --> 00:01:32.320]  不知道他們會怎樣反應
[00:01:32.320 --> 00:01:35.200]  但想不到神都透過一件事情
[00:01:35.200 --> 00:01:36.240]  鼓勵她的心
[00:01:36.240 --> 00:01:38.720]  無論如何放膽
