
[00:00:00.000 --> 00:00:03.400]  在上文講到耶穌與一群人
[00:00:03.400 --> 00:00:05.000]  有一篇講論之後
[00:00:05.000 --> 00:00:07.400]  有些人相信耶穌
[00:00:07.400 --> 00:00:10.000]  在第八章的三十節
[00:00:10.000 --> 00:00:13.400]  接著耶穌繼續帶出
[00:00:13.400 --> 00:00:15.600]  這一群人說相信祂
[00:00:15.600 --> 00:00:17.800]  究竟是不是真的相信祂呢?
[00:00:17.800 --> 00:00:20.200]  第八章31-32節這樣說
[00:00:20.200 --> 00:00:22.400]  耶穌對信他的猶太人說
[00:00:22.400 --> 00:00:24.400]  你們若上上遵守我的道
[00:00:24.400 --> 00:00:26.200]  就真是我的門徒
[00:00:26.200 --> 00:00:27.800]  你們必曉得真理
[00:00:27.800 --> 00:00:30.600]  真理必叫你們得以自由
[00:00:30.600 --> 00:00:33.200]  在耶穌所面對的這一群人
[00:00:33.200 --> 00:00:35.800]  是相信的猶太人
[00:00:35.800 --> 00:00:38.400]  已經相信祂的這群猶太人當中
[00:00:38.400 --> 00:00:41.000]  他們表面上說跟從耶穌
[00:00:41.000 --> 00:00:43.000]  在耶穌的眼中是怎樣呢?
[00:00:43.000 --> 00:00:44.200]  在耶穌的眼中
[00:00:44.200 --> 00:00:45.800]  他們是罪的奴隸
[00:00:45.800 --> 00:00:48.000]  他們對耶穌的教導
[00:00:48.000 --> 00:00:49.600]  可以說漠不關心
[00:00:49.600 --> 00:00:52.800]  這一群人是屬於魔鬼的兒女
[00:00:52.800 --> 00:00:54.400]  他們都是說謊的
[00:00:54.400 --> 00:00:59.000]  他們更加採用暴力的手段
[00:00:59.000 --> 00:01:01.000]  去殺害耶穌
[00:01:01.000 --> 00:01:04.200]  在這裡可以說出
[00:01:04.200 --> 00:01:05.200]  在《讓風》裡面
[00:01:05.200 --> 00:01:07.800]  如果大家仔細去看
[00:01:07.800 --> 00:01:09.200]  有很多人說一開始的時候
[00:01:09.200 --> 00:01:11.000]  都是相信耶穌
[00:01:11.000 --> 00:01:12.400]  但是他們的信心
[00:01:12.400 --> 00:01:14.400]  是不是真是真的呢?
[00:01:14.400 --> 00:01:17.000]  抑或只是假的信心
[00:01:17.000 --> 00:01:20.400]  可以說我們從《讓風》裡面
[00:01:20.400 --> 00:01:23.200]  看這個信的字就不太看得出來
[00:01:23.200 --> 00:01:25.200]  有些人真的信心
[00:01:25.200 --> 00:01:26.200]  假的信心
[00:01:26.200 --> 00:01:28.200]  都是說要相信耶穌
[00:01:28.200 --> 00:01:30.400]  不過耶穌在這裡
[00:01:30.400 --> 00:01:34.800]  卻是用一個很好的條件
[00:01:34.800 --> 00:01:38.000]  標準去衡量哪些是真的信心
[00:01:38.000 --> 00:01:39.600]  哪些是假的信心
