
[00:00:00.000 --> 00:00:02.240]  《史坦傳》第九章
[00:00:02.240 --> 00:00:05.760]  如果還記得我們剛才所讀的聖經
[00:00:05.760 --> 00:00:08.480]  你記得這段聖經裡面記載了兩個人物
[00:00:08.480 --> 00:00:10.560]  兩個的經驗
[00:00:10.560 --> 00:00:12.320]  一個叫做蘇羅
[00:00:12.320 --> 00:00:14.520]  就是我們後來所熟悉的保羅
[00:00:14.520 --> 00:00:17.120]  待會我們說的時候就用保羅
[00:00:17.120 --> 00:00:18.400]  因為後來他改了名字
[00:00:18.400 --> 00:00:20.360]  我們比較認識他多一點
[00:00:20.360 --> 00:00:23.560]  第二位就是亞拿尼亞
[00:00:23.560 --> 00:00:24.600]  我們沒有那麼熟悉的
[00:00:24.600 --> 00:00:26.600]  一個基督徒叫亞拿尼亞
[00:00:26.600 --> 00:00:30.400]  他幫助剛剛信主的蘇羅或者保羅
[00:00:30.400 --> 00:00:34.760]  他能夠進入耶穌基督的教會之中
[00:00:34.760 --> 00:00:40.200]  我們試試從一個歷史的角度回顧的時候
[00:00:40.200 --> 00:00:42.400]  我們可以很大膽地說
[00:00:42.400 --> 00:00:45.240]  剛才我們所讀到的這兩個人物
[00:00:45.240 --> 00:00:46.680]  兩個的經驗
[00:00:46.680 --> 00:00:50.760]  保羅和亞拿尼亞這兩個的經驗
[00:00:50.760 --> 00:00:53.920]  可以說是扭轉了基督教的歷史
[00:00:54.240 --> 00:00:57.120]  甚至可以再進一步說
[00:00:57.120 --> 00:01:00.760]  扭轉了人類歷史的兩個經驗
[00:01:00.760 --> 00:01:05.320]  我相信他這麼說的時候不會太誇張
[00:01:05.320 --> 00:01:07.720]  因為真的從一個歷史的角度來說
[00:01:07.720 --> 00:01:09.720]  基督教的起始點
[00:01:09.720 --> 00:01:12.200]  當然是耶穌基督
[00:01:12.200 --> 00:01:14.920]  但是從一個歷史文化的角度來說
[00:01:14.920 --> 00:01:16.760]  從一個世界歷史的角度來說
[00:01:16.760 --> 00:01:18.880]  當時的猶太人
[00:01:18.880 --> 00:01:19.920]  猶太民族
[00:01:19.920 --> 00:01:24.520]  只不過是羅馬帝國裡面的一個三四等的公民
[00:01:24.520 --> 00:01:28.480]  一個很小的被統治的民族
[00:01:28.480 --> 00:01:31.960]  而耶穌只不過是當時
[00:01:31.960 --> 00:01:34.440]  或者耶穌加上他的門徒
[00:01:34.440 --> 00:01:41.240]  只不過是當時猶太教裡面的一個背叛的宗派或者支派而已
[00:01:41.240 --> 00:01:45.480]  以這麼狹窄的起始點
[00:01:45.480 --> 00:01:48.440]  基督教從人的理解來說
[00:01:48.440 --> 00:01:51.640]  根本不可能成為今天你和我站在這裡
[00:01:51.640 --> 00:01:52.760]  坐在這裡
[00:01:52.760 --> 00:01:56.840]  聽到整個世界的歷史裡面最大的宗教
[00:01:56.840 --> 00:01:58.440]  透過宗教士
[00:01:58.440 --> 00:02:02.280]  從歐美傳到亞洲和整個世界
[00:02:02.280 --> 00:02:07.560]  就是因為這個保羅在大馬士革的路上
[00:02:07.560 --> 00:02:10.160]  被耶穌基督呼召
[00:02:10.160 --> 00:02:13.480]  成為一個歷史裡面的轉捩點的人物
[00:02:13.480 --> 00:02:16.760]  將基督教突破了猶太教
[00:02:16.760 --> 00:02:22.480]  轉到整個羅馬帝國當中
[00:02:22.480 --> 00:02:25.400]  其實從歷史來說神已經預備好了
[00:02:25.400 --> 00:02:30.960]  基督教神的真理絕對不可以規限在一個小小的民族
[00:02:30.960 --> 00:02:32.560]  就是猶太教裡面
[00:02:32.560 --> 00:02:34.480]  它要成為普世的宗教
[00:02:34.480 --> 00:02:39.760]  所以一定需要有一些突破的人物或者神手裡面的器皿
[00:02:39.760 --> 00:02:42.360]  將整個基督教擴展
[00:02:42.360 --> 00:02:45.840]  加上羅馬帝國的土壤
[00:02:45.840 --> 00:02:47.840]  其實這個土壤早已預備好了
[00:02:47.840 --> 00:02:52.080]  幾百年之前在希臘的哲學和思想裡面
[00:02:52.080 --> 00:02:55.680]  已經預備了一個精密的思考的土壤
[00:02:55.680 --> 00:02:58.520]  將基督教的信仰更加有系統
[00:02:58.520 --> 00:03:00.400]  更加精彩的描述出來
[00:03:00.400 --> 00:03:05.080]  然後在羅馬帝國又預備好了這種
[00:03:05.080 --> 00:03:06.920]  我們今天經常聽到的人說
[00:03:06.920 --> 00:03:10.320]  條條大路通羅馬
[00:03:10.320 --> 00:03:14.960]  當然羅馬帝國建了這麼多的公路網
[00:03:14.960 --> 00:03:16.720]  或者運輸網的時候
[00:03:16.720 --> 00:03:17.720]  他為了錢
[00:03:17.720 --> 00:03:18.840]  為了食物
[00:03:18.840 --> 00:03:19.960]  為了軍事
[00:03:19.960 --> 00:03:22.520]  他當然不會想到是為了宗教信仰
[00:03:22.520 --> 00:03:24.480]  但是在神的計劃手裡
[00:03:24.480 --> 00:03:25.240]  今天回頭看
[00:03:25.240 --> 00:03:27.080]  這些全部部署好了
[00:03:27.080 --> 00:03:28.520]  土壤部署好了
[00:03:28.520 --> 00:03:29.600]  思想的
[00:03:29.600 --> 00:03:31.040]  行動上的
[00:03:31.040 --> 00:03:32.120]  網絡的
[00:03:32.120 --> 00:03:35.120]  這個文化完全預備好了
[00:03:35.120 --> 00:03:36.520]  就差那顆種子
[00:03:36.520 --> 00:03:38.920]  這顆種子就是神要選的保羅
[00:03:38.920 --> 00:03:41.640]  保羅成為這個種子
[00:03:41.640 --> 00:03:43.000]  因為他有一個獨特性
[00:03:43.000 --> 00:03:44.640]  他不僅是一個猶太人
[00:03:44.640 --> 00:03:48.480]  當然他是精通猶太教的猶太人訓練出來的
[00:03:48.480 --> 00:03:49.760]  保羅曾經自述說
[00:03:49.760 --> 00:03:53.120]  我是法利賽人當中的法利賽人
