
[00:00:00.000 --> 00:00:01.300]  在聖誕節期間
[00:00:01.300 --> 00:00:04.000]  我們常常說到主耶穌的救恩
[00:00:04.000 --> 00:00:05.300]  我們會說到
[00:00:05.300 --> 00:00:08.800]  這份救恩是神為人預備的
[00:00:08.800 --> 00:00:11.000]  在聖經裏面常常說到
[00:00:11.000 --> 00:00:12.000]  沒錯
[00:00:12.000 --> 00:00:14.800]  神為人預備了救恩
[00:00:14.800 --> 00:00:17.500]  當世面先知見到聖嬰的時候
[00:00:17.500 --> 00:00:19.800]  祂就很歡喜很快樂地說
[00:00:19.800 --> 00:00:23.300]  祂說我眼睛已經看見了你的救恩
[00:00:23.300 --> 00:00:28.000]  就是在萬民面前所預備的救恩
[00:00:28.000 --> 00:00:33.000]  神預備了救恩讓我們去領受去接受
[00:00:33.000 --> 00:00:37.000]  但世上很多人他們不歡喜去接受
[00:00:37.000 --> 00:00:40.000]  他們歡喜自己去走自己的路
[00:00:40.000 --> 00:00:45.000]  因此羅馬書其中第十章第三節就說
[00:00:45.000 --> 00:00:49.000]  因為人不明白神的義
[00:00:49.000 --> 00:00:53.000]  因此在內心裏面就想要立自己的義
[00:00:53.000 --> 00:00:56.000]  不服神的義
[00:00:56.000 --> 00:00:58.000]  因為內心裏面很想要有自己
[00:00:58.000 --> 00:01:00.000]  去建立起自己的義
[00:01:00.000 --> 00:01:03.000]  因此就不理會神所預備的救恩
[00:01:03.000 --> 00:01:05.000]  就設立自己的義
[00:01:05.000 --> 00:01:08.500]  但他們不知道就是在整個聖經的真理當中
[00:01:08.500 --> 00:01:11.500]  耶穌基督是律法的總歸
[00:01:11.500 --> 00:01:17.500]  而當信靠耶穌就領受神的義
[00:01:17.500 --> 00:01:19.500]  這份義是神預備好
[00:01:19.500 --> 00:01:22.500]  讓我們能夠蒙恩得生生命的
[00:01:22.500 --> 00:01:26.500]  但人要用自己的聰明才智去建立自己的義
[00:01:26.500 --> 00:01:29.000]  因此就失去了神的義
[00:01:29.000 --> 00:01:30.000]  各位電影姊妹
[00:01:30.000 --> 00:01:31.500]  我們今天所思想的就是
[00:01:31.500 --> 00:01:34.500]  神預備好的一條救恩的路
[00:01:34.500 --> 00:01:36.500]  是一條什麼的路?
[00:01:36.500 --> 00:01:40.000]  是一條歸回和安息的路
[00:01:40.000 --> 00:01:41.500]  我們一起揭開聖經
[00:01:41.500 --> 00:01:46.000]  在剛才讀過的《二創亞書》第三十章
[00:01:46.000 --> 00:01:49.000]  大家知道《二創亞書》在舊約聖經來講
[00:01:49.000 --> 00:01:53.000]  是一本救恩的先知書
[00:01:53.000 --> 00:01:56.000]  整本《二創亞書》裡面的重要主題
[00:01:56.000 --> 00:02:00.000]  就是神的審判和神的拯救
[00:02:00.000 --> 00:02:02.000]  沒錯 神是公義審判的主
[00:02:02.000 --> 00:02:04.500]  但同時祂是拯救的主
[00:02:04.500 --> 00:02:07.000]  因此二創亞這個名字
[00:02:07.000 --> 00:02:11.000]  就是耶和華是拯救的意思
[00:02:11.000 --> 00:02:12.500]  因此讀二創亞書的時候
[00:02:12.500 --> 00:02:15.000]  就會看到神很多奇妙的拯救
[00:02:15.000 --> 00:02:17.000]  今天蒙恩的驕圖
[00:02:17.000 --> 00:02:19.000]  我們知道按聖經所講
[00:02:19.000 --> 00:02:26.000]  已經進入「因信得進入現在所站的恩典中」
[00:02:26.000 --> 00:02:29.000]  我們是站在恩典的領域裡面
[00:02:29.000 --> 00:02:33.000]  在恩的信心我們進入了這種恩典裡面
[00:02:33.000 --> 00:02:35.000]  但什麼時候我們信了主之後
[00:02:35.000 --> 00:02:38.000]  我們疏忽了繼續去信靠神
[00:02:38.000 --> 00:02:40.500]  依靠自己不再去信靠神
[00:02:40.500 --> 00:02:44.500]  我們就會落入一種很大的羞辱裡面
[00:02:44.500 --> 00:02:49.500]  大家先看聖經二創亞書第30章
[00:02:49.500 --> 00:02:51.500]  在聖經第一節這樣說
[00:02:51.500 --> 00:02:54.500]  「耶和華說:禍災者 勃逆的兒女
